it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
    13  0.26000000E-08  0.71040423E-12  0.14648437E+07  0.27642960E+12  0.27055679E+12  0.59604690E+10  0.15437059E+08  0.91552734E-06  0.11407196E+00  0.16770173E+21  0.14648437E-04  0.11538574E+00  0.96981890E+07  0.47790527E-03  0.11438782E+00 -0.68342478E+06  0.26400000E+06  0.11382202E+00  0.11956055E+00  0.15437059E+08  0.91552734E-06  0.11407196E+00  0.67419231E+02       90496  0.18310547E-05 11
    14  0.28000000E-08  0.72051007E-12  0.14648438E+07  0.29381526E+12  0.28495945E+12  0.62767490E+10  0.15088325E+08  0.91552734E-06  0.11377899E+00  0.16730359E+21  0.14648437E-04  0.11538574E+00  0.94082542E+07  0.51086426E-03  0.11411682E+00 -0.69515187E+06  0.26400000E+06  0.11352173E+00  0.11956055E+00  0.15088325E+08  0.91552734E-06  0.11377899E+00  0.76088360E+02       91648  0.18310547E-05 11
    15  0.30000000E-08  0.73094233E-12  0.14648437E+07  0.31220626E+12  0.30017487E+12  0.66138807E+10  0.14840991E+08  0.91552734E-06  0.11348602E+00  0.16690710E+21  0.14648437E-04  0.11538574E+00  0.91710487E+07  0.54382324E-03  0.11384583E+00 -0.70490849E+06  0.26400000E+06  0.11322144E+00  0.11956055E+00  0.14840991E+08  0.91552734E-06  0.11348602E+00  0.84602143E+02       91456  0.18310547E-05 11
    16  0.32000000E-08  0.74176965E-12  0.14923096E+07  0.33166899E+12  0.31625977E+12  0.69705780E+10  0.14670880E+08  0.91552734E-06  0.11318756E+00  0.16650846E+21  0.14648437E-04  0.11538574E+00  0.89837830E+07  0.56579590E-03  0.11355652E+00 -0.72028886E+06  0.26400000E+06  0.11291565E+00  0.11956055E+00  0.14670880E+08  0.91552734E-06  0.11318756E+00  0.92861538E+02       88960  0.18310547E-05 11
    17  0.34000000E-08  0.75277263E-12  0.15197754E+07  0.35232860E+12  0.33331696E+12  0.73457234E+10  0.14552174E+08  0.91552734E-06  0.11288361E+00  0.16610449E+21  0.14648437E-04  0.11538574E+00  0.88425270E+07  0.59143066E-03  0.11327087E+00 -0.71962362E+06  0.26400000E+06  0.11260620E+00  0.11956055E+00  0.14552174E+08  0.91552734E-06  0.11288361E+00  0.10099169E+03       89536  0.18310547E-05 11
    18  0.36000000E-08  0.76411044E-12  0.15380859E+07  0.37432778E+12  0.35146298E+12  0.77383225E+10  0.14468628E+08  0.91552734E-06  0.11257599E+00  0.16569271E+21  0.14648437E-04  0.11538574E+00  0.87379676E+07  0.60974121E-03  0.11297058E+00 -0.71006102E+06  0.26400000E+06  0.11229126E+00  0.11956055E+00  0.14468628E+08  0.91552734E-06  0.11257599E+00  0.10906655E+03       91264  0.18310547E-05 11
    19  0.38000000E-08  0.77598995E-12  0.15838623E+07  0.39781750E+12  0.37082056E+12  0.81474189E+10  0.14407319E+08  0.91552734E-06  0.11225922E+00  0.16527111E+21  0.14648437E-04  0.11538574E+00  0.86623636E+07  0.62438965E-03  0.11265930E+00 -0.70167160E+06  0.26400000E+06  0.11196899E+00  0.11956055E+00  0.14407319E+08  0.91552734E-06  0.11225922E+00  0.11735713E+03       93952  0.18310547E-05 11
    20  0.40000000E-08  0.78867742E-12  0.16113281E+07  0.42295590E+12  0.39151771E+12  0.85725274E+10  0.14358700E+08  0.91552734E-06  0.11193695E+00  0.16241888E+21  0.29296875E-04  0.11534180E+00  0.86082884E+07  0.64270020E-03  0.11234802E+00 -0.71662053E+06  0.26400000E+06  0.11163940E+00  0.11956055E+00  0.14358700E+08  0.91552734E-06  0.11193695E+00  0.12544473E+03       92992  0.18310547E-05 11
    21  0.42000000E-08  0.82130104E-12  0.16616884E+07  0.44989393E+12  0.41367681E+12  0.90130896E+10  0.14318953E+08  0.18310547E-05  0.11160461E+00  0.16199905E+21  0.29296875E-04  0.11534180E+00  0.85691328E+07  0.66101074E-03  0.11202942E+00 -0.72456492E+06  0.26400000E+06  0.11130249E+00  0.11956055E+00  0.14318953E+08  0.18310547E-05  0.11160461E+00  0.13338560E+03       95104  0.18310547E-05 11
    22  0.44000000E-08  0.19600571E-11  0.16845703E+07  0.47877929E+12  0.43741788E+12  0.94687507E+10  0.14297419E+08  0.18310547E-05  0.11126770E+00  0.16156213E+21  0.29296875E-04  0.11534180E+00  0.85417672E+07  0.67565918E-03  0.11169617E+00 -0.73014739E+06  0.26400000E+06  0.11095825E+00  0.11956055E+00  0.14297419E+08  0.18310547E-05  0.11126770E+00  0.13735343E+03       94144  0.36621094E-05 10
