O(1D) + H2O2 -> H2O + O2,c1,5.2e-10,cm
O(1S) + H2O -> O(3P) + H2O,c1,3e-10,cm
O(1S) + H2O -> OH + OH,c1,5e-10,cm
O(1S) + H2O -> H2 + O2,c1,5e-10,cm
O3 + H -> OH + O2,c1*exp(-c2/Tg),1.4e-10 480.0,cm
O3 + NO -> NO2 + O2,c1*exp(-c2/Tg),3.16e-12 -1563.0,cm
O3 + O(3P) -> O2 + O2,c1*exp(-c2/Tg),8e-12 2060.0,cm
O3 + O(1D) -> O2 + O(3P) + O(3P),c1,1.2e-10,cm
O3 + OH -> HO2 + O2,c1*exp(-c2/Tg),1.7e-12 940.0,cm
O3 + O3 -> O2 + O(3P) + O3,c1*exp(-c2/Tg),7.16e-10 11200.0,cm
OH + OH + N2 -> H2O2 + N2,c1*(Tg/c2)**c3,6.9e-31 300.0 -0.8,cm
OH + OH + O2 -> H2O2 + O2,c1*(Tg/c2)**c3,6.05e-31 300.0 -3.0,cm
OH + OH + H2O -> H2O2 + H2O,c1*(Tg/300)**c2*exp(-c3/Tg),1.54e-31 -2.0 -183.6,cm
OH + OH -> H2O2,c1,2.6e-11,cm
OH + OH -> H2O + O(3P),c1*(Tg/300)**c2*exp(-c3/Tg),6.2e-14 2.6 -945.0,cm
OH + H + N2 -> H2O + N2,c1*(Tg/c2)**c3,6.87e-31 300.0 -2.0,cm
OH + H + H2O -> H2O + H2O,c1*(Tg/c2)**c3,4.38e-31 300.0 -2.0,cm
OH + HO2 -> H2O + O2,c1*exp(-c2/Tg),4.8e-11 -250.0,cm
OH + N(4S) -> NO + H,c1*exp(-c2/Tg),3.8e-11 -85.39,cm
OH + O(3P) -> O2 + H,c1*exp(-c2/Tg),2.4e-11 -110.0,cm
OH + NO + N2 -> HNO2 + N2,c1*(Tg/c2)**c3,7.4e-31 300.0 -2.4,cm
OH + NO + O2 -> HNO2 + O2,c1*(Tg/c2)**c3,7.4e-31 300.0 -2.4,cm
OH + NO2 + N2 -> HNO3 + N2,c1*(Tg/c2)**c3,2.6e-30 300.0 -2.9,cm
OH + NO2 + O2 -> HNO3 + O2,c1*(Tg/c2)**c3,2.2e-30 300.0 -2.9,cm
HO2 + HO2 -> H2O2 + O2,c1*exp(-c2/Tg),2.2e-19 -600.2,cm
HO2 + NO -> OH + NO2,c1*exp(-c2/Tg),3.6e-12 -269.4,cm
HO2 + HO2 + N2 -> H2O2 + O2 + N2,c1*exp(-c2/Tg),1.9e-33 -980.0,cm
HO2 + HO2 + O2 -> H2O2 + O2 + O2,c1*exp(-c2/Tg),1.9e-33 -980.0,cm
HO2 + NO2 -> HNO2 + O2,c1,1.2e-13,cm
H + HO2 -> H2 + O2,c1*exp(-c2/Tg),1.75e-10 1030.0,cm
H + HO2 -> H2O + O(3P),c1*exp(-c2/Tg),5e-11 866.0,cm
H + HO2 -> OH + OH,c1*exp(-c2/Tg),7.4e-10 700.0,cm
H + O2 + O2 -> HO2 + O2,c1*(Tg/c2)**c3,5.94e-32 300.0 -1.0,cm
H + O2 + N2 -> HO2 + N2,c1*(Tg/c2)**c3,5.94e-32 300.0 -1.0,cm
