it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
    13  0.26000000E-08  0.62002059E-11  0.98876953E+06  0.79885901E+11  0.56529675E+11 -0.69356061E+10  0.95583298E+07  0.36621094E-05  0.11377808E+00  0.25261059E+20  0.22705078E-03  0.11603760E+00  0.49835913E+05  0.52001953E-03  0.11455811E+00 -0.50022631E+07 -0.21600000E+06  0.11356567E+00  0.11684326E+00  0.95583298E+07  0.36621094E-05  0.11377808E+00  0.13521166E+02       54208  0.73242187E-05  9
    14  0.28000000E-08  0.61903414E-11  0.98876953E+06  0.86769726E+11  0.61537628E+11 -0.74217484E+10  0.95717055E+07  0.36621094E-05  0.11358032E+00  0.25147094E+20  0.22705078E-03  0.11603760E+00  0.62806364E+05  0.60058594E-03  0.11447754E+00 -0.48344132E+07 -0.21600000E+06  0.11336060E+00  0.11684326E+00  0.95717055E+07  0.36621094E-05  0.11358032E+00  0.14357221E+02       54208  0.73242187E-05  9
    15  0.30000000E-08  0.61782966E-11  0.10253906E+07  0.93662910E+11  0.66574574E+11 -0.79029449E+10  0.95922687E+07  0.36621094E-05  0.11337524E+00  0.25077331E+20  0.43945312E-04  0.11573730E+00  0.76260824E+05  0.62988281E-03  0.11436035E+00 -0.48575726E+07 -0.21600000E+06  0.11316284E+00  0.11684326E+00  0.95922687E+07  0.36621094E-05  0.11337524E+00  0.15111976E+02       54400  0.73242187E-05  9
    16  0.32000000E-08  0.61661114E-11  0.98876953E+06  0.10059073E+12  0.71659774E+11 -0.83803167E+10  0.96173357E+07  0.36621094E-05  0.11317749E+00  0.25017654E+20  0.43945312E-04  0.11573730E+00  0.89288334E+05  0.68847656E-03  0.11430176E+00 -0.48992315E+07 -0.21600000E+06  0.11296143E+00  0.11684326E+00  0.96173357E+07  0.36621094E-05  0.11317749E+00  0.15816935E+02       54400  0.73242187E-05  9
    17  0.34000000E-08  0.61535453E-11  0.10253906E+07  0.10757706E+12  0.76811393E+11 -0.88546650E+10  0.96422054E+07  0.36621094E-05  0.11297241E+00  0.24958432E+20  0.43945312E-04  0.11573730E+00  0.10180653E+06  0.71777344E-03  0.11418457E+00 -0.49373676E+07 -0.21600000E+06  0.11276001E+00  0.11684326E+00  0.96422054E+07  0.36621094E-05  0.11297241E+00  0.16550464E+02       54784  0.73242187E-05  9
    18  0.36000000E-08  0.61408017E-11  0.10253906E+07  0.11464301E+12  0.82045670E+11 -0.93264071E+10  0.96684125E+07  0.36621094E-05  0.11276733E+00  0.24899628E+20  0.43945312E-04  0.11573730E+00  0.11436742E+06  0.77636719E-03  0.11415527E+00 -0.49723858E+07 -0.21600000E+06  0.11254761E+00  0.11684326E+00  0.96684125E+07  0.36621094E-05  0.11276733E+00  0.17290881E+02       55360  0.73242187E-05  9
    19  0.38000000E-08  0.61280112E-11  0.10253906E+07  0.12180720E+12  0.87376693E+11 -0.97962046E+10  0.96965112E+07  0.36621094E-05  0.11256226E+00  0.24841106E+20  0.43945312E-04  0.11573730E+00  0.12581884E+06  0.80566406E-03  0.11406738E+00 -0.50043406E+07 -0.21600000E+06  0.11234253E+00  0.11684326E+00  0.96965112E+07  0.36621094E-05  0.11256226E+00  0.18041090E+02       55936  0.73242187E-05  9
    20  0.40000000E-08  0.61155094E-11  0.10620117E+07  0.12908519E+12  0.92816270E+11 -0.10264619E+11  0.97217054E+07  0.36621094E-05  0.11234985E+00  0.24782791E+20  0.43945312E-04  0.11573730E+00  0.13539421E+06  0.84960937E-03  0.11399414E+00 -0.50323621E+07 -0.21600000E+06  0.11213013E+00  0.11684326E+00  0.97217054E+07  0.36621094E-05  0.11234985E+00  0.18805192E+02       56320  0.73242187E-05  9
    21  0.42000000E-08  0.61028029E-11  0.10253906E+07  0.13649111E+12  0.98375289E+11 -0.10731992E+11  0.97506498E+07  0.36621094E-05  0.11214478E+00  0.24724630E+20  0.43945312E-04  0.11573730E+00  0.14590055E+06  0.90820312E-03  0.11399414E+00 -0.50579548E+07 -0.21600000E+06  0.11191772E+00  0.11696045E+00  0.97506498E+07  0.36621094E-05  0.11214478E+00  0.19561247E+02       55936  0.73242187E-05  9
    22  0.44000000E-08  0.60899259E-11  0.10620117E+07  0.14403680E+12  0.10406271E+12 -0.11198851E+11  0.97789548E+07  0.36621094E-05  0.11193237E+00  0.24666522E+20  0.43945312E-04  0.11573730E+00  0.15622665E+06  0.90820312E-03  0.11387695E+00 -0.50787197E+07 -0.21600000E+06  0.11170532E+00  0.11696045E+00  0.97789548E+07  0.36621094E-05  0.11193237E+00  0.20332734E+02       57088  0.73242187E-05  9
    23  0.46000000E-08  0.60771914E-11  0.10986328E+07  0.15173419E+12  0.10988776E+12 -0.11665500E+11  0.98110572E+07  0.36621094E-05  0.11171265E+00  0.24626094E+20  0.36621094E-05  0.11180786E+00  0.16598322E+06  0.95214844E-03  0.11389160E+00 -0.51009215E+07 -0.21600000E+06  0.11148560E+00  0.11696045E+00  0.98110572E+07  0.36621094E-05  0.11171265E+00  0.21098452E+02       58240  0.73242187E-05  9
    24  0.48000000E-08  0.60639621E-11  0.10620117E+07  0.15959418E+12  0.11585891E+12 -0.12132196E+11  0.98379768E+07  0.36621094E-05  0.11150024E+00  0.24885909E+20  0.36621094E-05  0.11159546E+00  0.17499122E+06  0.95214844E-03  0.11380371E+00 -0.51182917E+07 -0.21600000E+06  0.11126587E+00  0.11696045E+00  0.98379768E+07  0.36621094E-05  0.11150024E+00  0.21884066E+02       58432  0.73242187E-05  9
    25  0.50000000E-08  0.60543650E-11  0.10986328E+07  0.16762477E+12  0.12198249E+12 -0.12599149E+11  0.98686580E+07  0.36621094E-05  0.11128052E+00  0.25142320E+20  0.36621094E-05  0.11137573E+00  0.18386849E+06  0.98144531E-03  0.11377441E+00 -0.51364787E+07 -0.21600000E+06  0.11104614E+00  0.11696045E+00  0.98686580E+07  0.36621094E-05  0.11128052E+00  0.22701124E+02       58816  0.73242187E-05  9
    26  0.52000000E-08  0.60417069E-11  0.11352539E+07  0.17583445E+12  0.12826534E+12 -0.13066577E+11  0.98982524E+07  0.36621094E-05  0.11105347E+00  0.25392673E+20  0.36621094E-05  0.11115601E+00  0.19067860E+06  0.10253906E-02  0.11375977E+00 -0.51552295E+07 -0.21600000E+06  0.11082642E+00  0.11696045E+00  0.98982524E+07  0.36621094E-05  0.11105347E+00  0.23512501E+02       59584  0.73242187E-05  9
    27  0.54000000E-08  0.60291065E-11  0.10986328E+07  0.18423131E+12  0.13471382E+12 -0.13534816E+11  0.99294074E+07  0.36621094E-05  0.11083374E+00  0.25641992E+20  0.36621094E-05  0.11092896E+00  0.19578820E+06  0.10253906E-02  0.11370117E+00 -0.51743093E+07 -0.21600000E+06  0.11059937E+00  0.11696045E+00  0.99294074E+07  0.36621094E-05  0.11083374E+00  0.24274848E+02       59968  0.73242187E-05  9
    28  0.56000000E-08  0.60165048E-11  0.11352539E+07  0.19282373E+12  0.14133474E+12 -0.14004045E+11  0.99587865E+07  0.36621094E-05  0.11060669E+00  0.25887165E+20  0.36621094E-05  0.11070190E+00  0.20575702E+06  0.10839844E-02  0.11370117E+00 -0.51937271E+07 -0.21600000E+06  0.11037231E+00  0.11696045E+00  0.99587865E+07  0.36621094E-05  0.11060669E+00  0.25072552E+02       59968  0.73242187E-05  9
    29  0.58000000E-08  0.60040436E-11  0.11352539E+07  0.20161942E+12  0.14813443E+12 -0.14474364E+11  0.99863530E+07  0.36621094E-05  0.11037964E+00  0.26145098E+20  0.36621094E-05  0.11047485E+00  0.21455950E+06  0.10839844E-02  0.11364258E+00 -0.52137797E+07 -0.21600000E+06  0.11013794E+00  0.11696045E+00  0.99863530E+07  0.36621094E-05  0.11037964E+00  0.25877973E+02       60544  0.73242187E-05  9
    30  0.60000000E-08  0.59918664E-11  0.11718750E+07  0.21062718E+12  0.15512009E+12 -0.14945913E+11  0.10014518E+08  0.36621094E-05  0.11014526E+00  0.26397062E+20  0.36621094E-05  0.11024780E+00  0.21921070E+06  0.10839844E-02  0.11358398E+00 -0.52341633E+07 -0.21600000E+06  0.10991089E+00  0.11696045E+00  0.10014518E+08  0.36621094E-05  0.11014526E+00  0.26698044E+02       61120  0.73242187E-05  9
    31  0.62000000E-08  0.59799085E-11  0.11718750E+07  0.21985516E+12  0.16229850E+12 -0.15418806E+11  0.10039888E+08  0.36621094E-05  0.10991089E+00  0.26645771E+20  0.36621094E-05  0.11001343E+00  0.22845824E+06  0.11425781E-02  0.11358398E+00 -0.52546225E+07 -0.21600000E+06  0.10967651E+00  0.11696777E+00  0.10039888E+08  0.36621094E-05  0.10991089E+00  0.27554580E+02       61312  0.73242187E-05  9
    32  0.64000000E-08  0.59683946E-11  0.11718750E+07  0.22931092E+12  0.16967610E+12 -0.15892832E+11  0.10068833E+08  0.36621094E-05  0.10967651E+00  0.26888292E+20  0.36621094E-05  0.10977905E+00  0.23717880E+06  0.11425781E-02  0.11352539E+00 -0.52750819E+07 -0.21600000E+06  0.10943481E+00  0.11696777E+00  0.10068833E+08  0.36621094E-05  0.10967651E+00  0.28305519E+02       61120  0.73242187E-05  9
    33  0.66000000E-08  0.59569062E-11  0.11718750E+07  0.23900187E+12  0.17725866E+12 -0.16368730E+11  0.10096648E+08  0.36621094E-05  0.10944214E+00  0.27120906E+20  0.36621094E-05  0.10954468E+00  0.24340824E+06  0.11425781E-02  0.11352539E+00 -0.52951363E+07 -0.21600000E+06  0.10920044E+00  0.11696777E+00  0.10096648E+08  0.36621094E-05  0.10944214E+00  0.29119364E+02       61312  0.73242187E-05  9
