it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286607E+09  0.54286607E+09  0.00000000E+00  0.12164324E+08  0.75073242E-04  0.11600281E+00  0.10000000E+12  0.60468750E-01  0.46875000E-03  0.67652857E+05  0.88806152E-03  0.11654114E+00 -0.82161884E+07 -0.23199996E+06  0.12000000E+00  0.00000000E+00  0.37533223E+07  0.10034180E-02  0.11754639E+00  0.00000000E+00       67264  0.36621094E-05 10
     1  0.10000000E-08  0.23549406E-11  0.84546360E+06  0.38013172E+11  0.26722343E+11 -0.36360380E+10  0.10774549E+08  0.18310547E-05  0.11516052E+00  0.34260231E+20  0.18310547E-05  0.11524841E+00  0.40408324E+05  0.52917480E-03  0.11616028E+00 -0.68177007E+07 -0.23199996E+06  0.11494263E+00  0.11683960E+00  0.10774549E+08  0.18310547E-05  0.11516052E+00  0.10113300E+02       72448  0.36621094E-05 10
     2  0.20000000E-08  0.24175977E-11  0.12377930E+07  0.99703949E+11  0.71741796E+11 -0.71188909E+10  0.10405284E+08  0.18310547E-05  0.11392273E+00  0.32782405E+20  0.14648437E-04  0.11573730E+00  0.27361941E+05  0.48339844E-03  0.11465332E+00 -0.55361601E+07 -0.23199996E+06  0.11367554E+00  0.11684326E+00  0.10405284E+08  0.18310547E-05  0.11392273E+00  0.19639942E+02       72064  0.36621094E-05 10
     3  0.30000000E-08  0.24045112E-11  0.12854004E+07  0.16317711E+12  0.11890695E+12 -0.10390950E+11  0.10478422E+08  0.18310547E-05  0.11263733E+00  0.32350080E+20  0.14648437E-04  0.11573730E+00  0.91014646E+05  0.80566406E-03  0.11406738E+00 -0.55318664E+07 -0.23199996E+06  0.11237915E+00  0.11696045E+00  0.10478422E+08  0.18310547E-05  0.11263733E+00  0.29509051E+02       78592  0.36621094E-05 10
     4  0.40000000E-08  0.23834697E-11  0.13623047E+07  0.23531941E+12  0.17364704E+12 -0.13652478E+11  0.10627204E+08  0.18310547E-05  0.11127502E+00  0.32238126E+20  0.18310547E-05  0.11138489E+00  0.14677868E+06  0.10107422E-02  0.11371582E+00 -0.56441170E+07 -0.23199996E+06  0.11100220E+00  0.11696777E+00  0.10627204E+08  0.18310547E-05  0.11127502E+00  0.39947120E+02       83584  0.36621094E-05 10
     5  0.50000000E-08  0.23602420E-11  0.14611816E+07  0.32049419E+12  0.23942384E+12 -0.16994442E+11  0.10788536E+08  0.18310547E-05  0.10981384E+00  0.33836573E+20  0.18310547E-05  0.10993103E+00  0.19301966E+06  0.11572266E-02  0.11342285E+00 -0.57485919E+07 -0.23199996E+06  0.10953003E+00  0.11696777E+00  0.10788536E+08  0.18310547E-05  0.10981384E+00  0.50831696E+02       89152  0.36621094E-05 10
     6  0.60000000E-08  0.23398011E-11  0.15637207E+07  0.42229767E+12  0.31920254E+12 -0.20454042E+11  0.10932095E+08  0.18310547E-05  0.10825012E+00  0.35293104E+20  0.18310547E-05  0.10837097E+00  0.23860717E+06  0.12597656E-02  0.11329102E+00 -0.58617739E+07 -0.23199996E+06  0.10794800E+00  0.11696777E+00  0.10932095E+08  0.18310547E-05  0.10825012E+00  0.62446429E+02       94720  0.36621094E-05 10
     7  0.70000000E-08  0.23413990E-11  0.16589355E+07  0.54298958E+12  0.41489184E+12 -0.23909861E+11  0.10888340E+08  0.18310547E-05  0.10659119E+00  0.35059688E+20  0.18310547E-05  0.10671936E+00  0.29349791E+06  0.13476562E-02  0.11314453E+00 -0.59222329E+07 -0.22116877E+06  0.10627808E+00  0.11707764E+00  0.10888340E+08  0.18310547E-05  0.10659119E+00  0.74430015E+02      101632  0.36621094E-05 10
     8  0.80000000E-08  0.24207079E-11  0.15710449E+07  0.65643804E+12  0.50513573E+12 -0.26421038E+11  0.10259332E+08  0.18310547E-05  0.10502014E+00  0.32858008E+20  0.29296875E-04  0.10719727E+00  0.38294911E+06  0.14648438E-02  0.11314453E+00 -0.57252380E+07 -0.19478397E+06  0.10471802E+00  0.11707764E+00  0.10259332E+08  0.18310547E-05  0.10502014E+00  0.86271985E+02       93376  0.36621094E-05 10
     9  0.90000000E-08  0.26478772E-11  0.13842773E+07  0.74718748E+12  0.57824424E+12 -0.28556449E+11  0.96774716E+07  0.18310547E-05  0.10363586E+00  0.32330890E+20  0.58593750E-04  0.10716797E+00  0.44398199E+06  0.14648438E-02  0.11314453E+00 -0.54379968E+07 -0.17751852E+06  0.10334839E+00  0.11707764E+00  0.96774716E+07  0.18310547E-05  0.10363586E+00  0.97206896E+02       84352  0.36621094E-05 10
    10  0.10000000E-07  0.62627137E-11  0.12249770E+07  0.81869896E+12  0.63720314E+12 -0.30542762E+11  0.92388523E+07  0.36621094E-05  0.10241089E+00  0.32005615E+20  0.58593750E-04  0.10716797E+00  0.45911652E+06  0.15820312E-02  0.11314453E+00 -0.51738147E+07 -0.16569159E+06  0.10213257E+00  0.11707764E+00  0.92388523E+07  0.36621094E-05  0.10241089E+00  0.10250869E+03       78016  0.73242187E-05  9
    11  0.11000000E-07  0.64233042E-11  0.11206055E+07  0.87593193E+12  0.68584275E+12 -0.32448943E+11  0.89071953E+07  0.36621094E-05  0.10129028E+00  0.31676143E+20  0.58593750E-04  0.10716797E+00  0.48791105E+06  0.15820312E-02  0.11302734E+00 -0.49552501E+07 -0.15716602E+06  0.10102661E+00  0.11707764E+00  0.89071953E+07  0.36621094E-05  0.10129028E+00  0.10626492E+03       76672  0.73242187E-05  9
    12  0.12000000E-07  0.65525100E-11  0.10253906E+07  0.92264134E+12  0.72699452E+12 -0.34299013E+11  0.86639474E+07  0.36621094E-05  0.10026489E+00  0.31343271E+20  0.58593750E-04  0.10716797E+00  0.49034844E+06  0.15820312E-02  0.11302734E+00 -0.47767698E+07 -0.15078064E+06  0.10000122E+00  0.11719482E+00  0.86639474E+07  0.36621094E-05  0.10026489E+00  0.10995869E+03       75520  0.73242187E-05  9
    13  0.13000000E-07  0.66530922E-11  0.97412109E+06  0.96150341E+12  0.76264538E+12 -0.36105244E+11  0.84858314E+07  0.36621094E-05  0.99290771E-01  0.31007960E+20  0.58593750E-04  0.10716797E+00  0.47804669E+06  0.15820312E-02  0.11302734E+00 -0.46319678E+07 -0.14588248E+06  0.99041748E-01  0.11719482E+00  0.84858314E+07  0.36621094E-05  0.99290771E-01  0.11361016E+03       73984  0.73242187E-05  9
    14  0.14000000E-07  0.67305379E-11  0.91552734E+06  0.99440065E+12  0.79417427E+12 -0.37875646E+11  0.83571342E+07  0.36621094E-05  0.98375244E-01  0.30671461E+20  0.58593750E-04  0.10716797E+00  0.45879455E+06  0.15820312E-02  0.11291016E+00 -0.45160031E+07 -0.14200827E+06  0.98126221E-01  0.11719482E+00  0.83571342E+07  0.36621094E-05  0.98375244E-01  0.11722346E+03       73792  0.73242187E-05  9
    15  0.15000000E-07  0.67864452E-11  0.88623047E+06  0.10226680E+13  0.82254725E+12 -0.39615439E+11  0.82664456E+07  0.36621094E-05  0.97489014E-01  0.30334410E+20  0.58593750E-04  0.10716797E+00  0.46211846E+06  0.16992187E-02  0.11279297E+00 -0.44240189E+07 -0.13893589E+06  0.97258301E-01  0.11719482E+00  0.82664456E+07  0.36621094E-05  0.97489014E-01  0.12063314E+03       73984  0.73242187E-05  9
    16  0.16000000E-07  0.68285318E-11  0.85693359E+06  0.10472762E+13  0.84846019E+12 -0.41328355E+11  0.82047529E+07  0.36621094E-05  0.96632080E-01  0.29997322E+20  0.58593750E-04  0.10716797E+00  0.46234898E+06  0.16992187E-02  0.11279297E+00 -0.43511535E+07 -0.13637307E+06  0.96397705E-01  0.11719482E+00  0.82047529E+07  0.36621094E-05  0.96632080E-01  0.12410866E+03       73216  0.73242187E-05  9
    17  0.17000000E-07  0.68590071E-11  0.83496094E+06  0.10689453E+13  0.87242304E+12 -0.43017589E+11  0.81645575E+07  0.36621094E-05  0.95797119E-01  0.29660898E+20  0.58593750E-04  0.10716797E+00  0.45885205E+06  0.16992187E-02  0.11279297E+00 -0.42980686E+07 -0.13427454E+06  0.95562744E-01  0.11731201E+00  0.81645575E+07  0.36621094E-05  0.95797119E-01  0.12748351E+03       72448  0.73242187E-05  9
    18  0.18000000E-07  0.68775526E-11  0.82031250E+06  0.10882163E+13  0.89481444E+12 -0.44685386E+11  0.81418764E+07  0.36621094E-05  0.94976807E-01  0.29325824E+20  0.58593750E-04  0.10716797E+00  0.45365966E+06  0.16992187E-02  0.11267578E+00 -0.42587276E+07 -0.13254178E+06  0.94749756E-01  0.11731201E+00  0.81418764E+07  0.36621094E-05  0.94976807E-01  0.13085588E+03       72832  0.73242187E-05  9
    19  0.19000000E-07  0.68887304E-11  0.80566406E+06  0.11055003E+13  0.91591813E+12 -0.46334113E+11  0.81322048E+07  0.36621094E-05  0.94171143E-01  0.28992501E+20  0.58593750E-04  0.10716797E+00  0.44713050E+06  0.16992187E-02  0.11267578E+00 -0.42297958E+07 -0.13109352E+06  0.93951416E-01  0.11731201E+00  0.81322048E+07  0.36621094E-05  0.94171143E-01  0.13424165E+03       71680  0.73242187E-05  9
    20  0.20000000E-07  0.68928029E-11  0.79101563E+06  0.11211134E+13  0.93595080E+12 -0.47965068E+11  0.81309073E+07  0.36621094E-05  0.93380127E-01  0.28661343E+20  0.58593750E-04  0.10716797E+00  0.43971744E+06  0.16992187E-02  0.11267578E+00 -0.42093426E+07 -0.12986421E+06  0.93156738E-01  0.11731201E+00  0.81309073E+07  0.36621094E-05  0.93380127E-01  0.13765204E+03       69568  0.73242187E-05  9
    21  0.21000000E-07  0.68918525E-11  0.79101563E+06  0.11353021E+13  0.95507905E+12 -0.49579791E+11  0.81368157E+07  0.36621094E-05  0.92589111E-01  0.28332733E+20  0.58593750E-04  0.10716797E+00  0.43189780E+06  0.16992187E-02  0.11255859E+00 -0.41968631E+07 -0.12883341E+06  0.92376709E-01  0.11742920E+00  0.81368157E+07  0.36621094E-05  0.92589111E-01  0.14094025E+03       69568  0.73242187E-05  9
