it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
    13  0.13000000E-07  0.68871896E-11  0.84960937E+06  0.90314807E+12  0.71832458E+12 -0.34534433E+11  0.80453693E+07  0.36621094E-05  0.99774170E-01  0.30976013E+20  0.58593750E-04  0.10716797E+00  0.47469745E+06  0.15820312E-02  0.11302734E+00 -0.44266785E+07 -0.13604701E+06  0.99539795E-01  0.11719482E+00  0.80453693E+07  0.36621094E-05  0.99774170E-01  0.11174193E+03       69568  0.73242187E-05  9
    14  0.14000000E-07  0.70038114E-11  0.79101563E+06  0.92411394E+12  0.74076859E+12 -0.35984660E+11  0.78604545E+07  0.36621094E-05  0.98983154E-01  0.30623767E+20  0.58593750E-04  0.10716797E+00  0.45687259E+06  0.16992187E-02  0.11302734E+00 -0.42768000E+07 -0.13177411E+06  0.98752441E-01  0.11719482E+00  0.78604545E+07  0.36621094E-05  0.98983154E-01  0.11509277E+03       66688  0.73242187E-05  9
    15  0.15000000E-07  0.71037978E-11  0.75439453E+06  0.94050910E+12  0.76006148E+12 -0.37394579E+11  0.77153713E+07  0.36621094E-05  0.98228760E-01  0.30267659E+20  0.58593750E-04  0.10716797E+00  0.45764752E+06  0.16992187E-02  0.11291016E+00 -0.41513199E+07 -0.12831272E+06  0.98009033E-01  0.11719482E+00  0.77153713E+07  0.36621094E-05  0.98228760E-01  0.11829472E+03       66688  0.73242187E-05  9
    16  0.16000000E-07  0.71864725E-11  0.71044922E+06  0.95330999E+12  0.77689753E+12 -0.38769129E+11  0.75975827E+07  0.36621094E-05  0.97518311E-01  0.29908298E+20  0.58593750E-04  0.10716797E+00  0.45410494E+06  0.16992187E-02  0.11291016E+00 -0.40424831E+07 -0.12548007E+06  0.97305908E-01  0.11721680E+00  0.75975827E+07  0.36621094E-05  0.97518311E-01  0.12138593E+03       65728  0.73242187E-05  9
    17  0.17000000E-07  0.72582656E-11  0.68115234E+06  0.96322674E+12  0.79177526E+12 -0.40111704E+11  0.74993632E+07  0.36621094E-05  0.96837158E-01  0.29546648E+20  0.58593750E-04  0.10716797E+00  0.44731164E+06  0.16992187E-02  0.11291016E+00 -0.39511701E+07 -0.12310281E+06  0.96628418E-01  0.11731201E+00  0.74993632E+07  0.36621094E-05  0.96837158E-01  0.12450472E+03       64000  0.73242187E-05  9
    18  0.18000000E-07  0.73182415E-11  0.65917969E+06  0.97078312E+12  0.80505705E+12 -0.41425293E+11  0.74175309E+07  0.36621094E-05  0.96177979E-01  0.29183136E+20  0.58593750E-04  0.10716797E+00  0.43930318E+06  0.16992187E-02  0.11279297E+00 -0.38709855E+07 -0.12111086E+06  0.95980225E-01  0.11731201E+00  0.74175309E+07  0.36621094E-05  0.96177979E-01  0.12746099E+03       63808  0.73242187E-05  9
    19  0.19000000E-07  0.73997422E-11  0.62988281E+06  0.97638174E+12  0.81701727E+12 -0.42712715E+11  0.73451758E+07  0.36621094E-05  0.95548096E-01  0.28818693E+20  0.58593750E-04  0.10716797E+00  0.43019818E+06  0.16992187E-02  0.11279297E+00 -0.38033216E+07 -0.11941679E+06  0.95354004E-01  0.11731201E+00  0.73451758E+07  0.36621094E-05  0.95548096E-01  0.13039195E+03       62464  0.73242187E-05  9
    20  0.20000000E-07  0.74419796E-11  0.61523438E+06  0.98033344E+12  0.82786545E+12 -0.43975578E+11  0.72829967E+07  0.36621094E-05  0.94932861E-01  0.28453536E+20  0.58593750E-04  0.10716797E+00  0.42038910E+06  0.16992187E-02  0.11279297E+00 -0.37415166E+07 -0.11794678E+06  0.94738770E-01  0.11731201E+00  0.72829967E+07  0.36621094E-05  0.94932861E-01  0.13324843E+03       62656  0.73242187E-05  9
    21  0.21000000E-07  0.75674082E-11  0.60058594E+06  0.98287965E+12  0.83776179E+12 -0.45215607E+11  0.72290439E+07  0.36621094E-05  0.94332275E-01  0.28088724E+20  0.58593750E-04  0.10716797E+00  0.41032863E+06  0.16992187E-02  0.11267578E+00 -0.36920979E+07 -0.11670530E+06  0.94152832E-01  0.11742920E+00  0.72290439E+07  0.36621094E-05  0.94332275E-01  0.13612756E+03       61888  0.73242187E-05  9
    22  0.22000000E-07  0.75988002E-11  0.58593750E+06  0.98421352E+12  0.84683186E+12 -0.46434461E+11  0.71733064E+07  0.36621094E-05  0.93746338E-01  0.27724711E+20  0.58593750E-04  0.10716797E+00  0.40048158E+06  0.16992187E-02  0.11267578E+00 -0.36366685E+07 -0.11560110E+06  0.93566895E-01  0.11742920E+00  0.71733064E+07  0.36621094E-05  0.93746338E-01  0.13894305E+03       61312  0.73242187E-05  9
    23  0.23000000E-07  0.77850003E-11  0.56396484E+06  0.98448591E+12  0.85517281E+12 -0.47633101E+11  0.71231101E+07  0.36621094E-05  0.93182373E-01  0.27361467E+20  0.58593750E-04  0.10716797E+00  0.39057437E+06  0.16992187E-02  0.11267578E+00 -0.36045027E+07 -0.11466543E+06  0.93010254E-01  0.11742920E+00  0.71231101E+07  0.36621094E-05  0.93182373E-01  0.14173121E+03       59968  0.73242187E-05  9
    24  0.24000000E-07  0.80623119E-11  0.55664062E+06  0.98382269E+12  0.86286474E+12 -0.48812671E+11  0.70708862E+07  0.36621094E-05  0.92625732E-01  0.26999664E+20  0.58593750E-04  0.10716797E+00  0.38076132E+06  0.16992187E-02  0.11267578E+00 -0.35584974E+07 -0.11382834E+06  0.92453613E-01  0.11754639E+00  0.70708862E+07  0.36621094E-05  0.92625732E-01  0.14447417E+03       59200  0.73242187E-05  9
    25  0.25000000E-07  0.84281451E-11  0.53466797E+06  0.98232726E+12  0.86997228E+12 -0.49973897E+11  0.70334919E+07  0.36621094E-05  0.92091064E-01  0.26639883E+20  0.58593750E-04  0.10716797E+00  0.37304703E+06  0.18164062E-02  0.11244141E+00 -0.35127425E+07 -0.11311681E+06  0.91926270E-01  0.11754639E+00  0.70334919E+07  0.36621094E-05  0.92091064E-01  0.14699201E+03       57856  0.73242187E-05  9
    26  0.26000000E-07  0.17327122E-10  0.53101849E+06  0.98009378E+12  0.87655438E+12 -0.51117564E+11  0.69861116E+07  0.73242187E-05  0.91560059E-01  0.26282593E+20  0.58593750E-04  0.10716797E+00  0.37030382E+06  0.18164062E-02  0.11244141E+00 -0.34948451E+07 -0.11247650E+06  0.91398926E-01  0.11754639E+00  0.69861116E+07  0.73242187E-05  0.91560059E-01  0.14876978E+03       58048  0.14648437E-04  8
    27  0.27000000E-07  0.17429540E-10  0.51269531E+06  0.97721223E+12  0.88266719E+12 -0.52244496E+11  0.69272307E+07  0.73242187E-05  0.91047363E-01  0.25928155E+20  0.58593750E-04  0.10716797E+00  0.36719788E+06  0.18164062E-02  0.11244141E+00 -0.34440770E+07 -0.11191548E+06  0.90886230E-01  0.11766357E+00  0.69272307E+07  0.73242187E-05  0.91047363E-01  0.14991721E+03       57280  0.14648437E-04  8
    28  0.28000000E-07  0.17531289E-10  0.49804687E+06  0.97374262E+12  0.88834659E+12 -0.53354994E+11  0.68583944E+07  0.73242187E-05  0.90549316E-01  0.25576541E+20  0.58593750E-04  0.10716797E+00  0.36402980E+06  0.18164062E-02  0.11232422E+00 -0.34098073E+07 -0.11142290E+06  0.90388184E-01  0.11766357E+00  0.68583944E+07  0.73242187E-05  0.90549316E-01  0.15109470E+03       58048  0.14648437E-04  8
    29  0.29000000E-07  0.17646959E-10  0.49804688E+06  0.96973289E+12  0.89362063E+12 -0.54449609E+11  0.67871043E+07  0.73242187E-05  0.90051270E-01  0.25227691E+20  0.58593750E-04  0.10716797E+00  0.36070262E+06  0.18164062E-02  0.11232422E+00 -0.33814325E+07 -0.11098951E+06  0.89904785E-01  0.11766357E+00  0.67871043E+07  0.73242187E-05  0.90051270E-01  0.15226976E+03       57472  0.14648437E-04  8
    30  0.30000000E-07  0.17798812E-10  0.46875000E+06  0.96522720E+12  0.89851520E+12 -0.55528680E+11  0.67104969E+07  0.73242187E-05  0.89582520E-01  0.24881825E+20  0.58593750E-04  0.10716797E+00  0.35720394E+06  0.18164062E-02  0.11232422E+00 -0.33422538E+07 -0.11059606E+06  0.89421387E-01  0.11778076E+00  0.67104969E+07  0.73242187E-05  0.89582520E-01  0.15349187E+03       56896  0.14648437E-04  8
