it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286607E+09  0.54286607E+09 -0.11920929E-06  0.12164324E+08  0.75073242E-04  0.11600281E+00  0.10000000E+12  0.60468750E-01  0.15468750E-01  0.67652857E+05  0.88806152E-03  0.11654114E+00 -0.82161884E+07 -0.23199996E+06  0.12000000E+00  0.00000000E+00  0.37533223E+07  0.10034180E-02  0.11754639E+00  0.00000000E+00       67264  0.36621094E-05 10
     1  0.10000000E-08  0.23549406E-11  0.84546360E+06  0.38013172E+11  0.26722343E+11 -0.36360380E+10  0.10774549E+08  0.18310547E-05  0.11516052E+00  0.34260231E+20  0.18310547E-05  0.11524841E+00  0.40408324E+05  0.52917480E-03  0.11616028E+00 -0.68177007E+07 -0.23199996E+06  0.11494263E+00  0.11683960E+00  0.10774549E+08  0.18310547E-05  0.11516052E+00  0.10210141E+02       72448  0.36621094E-05 10
     2  0.20000000E-08  0.24175977E-11  0.12377930E+07  0.99703949E+11  0.71741796E+11 -0.71188909E+10  0.10405284E+08  0.18310547E-05  0.11392273E+00  0.32782405E+20  0.14648437E-04  0.11573730E+00  0.27361941E+05  0.48339844E-03  0.11465332E+00 -0.55361601E+07 -0.23199996E+06  0.11367554E+00  0.11684326E+00  0.10405284E+08  0.18310547E-05  0.11392273E+00  0.20095723E+02       72064  0.36621094E-05 10
     3  0.30000000E-08  0.24045112E-11  0.12854004E+07  0.16317711E+12  0.11890695E+12 -0.10390950E+11  0.10478422E+08  0.18310547E-05  0.11263733E+00  0.32350080E+20  0.14648437E-04  0.11573730E+00  0.91014646E+05  0.80566406E-03  0.11406738E+00 -0.55318664E+07 -0.23199996E+06  0.11237915E+00  0.11696045E+00  0.10478422E+08  0.18310547E-05  0.11263733E+00  0.30605210E+02       78592  0.36621094E-05 10
     4  0.40000000E-08  0.23834697E-11  0.13623047E+07  0.23531941E+12  0.17364704E+12 -0.13652478E+11  0.10627204E+08  0.18310547E-05  0.11127502E+00  0.32238126E+20  0.18310547E-05  0.11138489E+00  0.14677868E+06  0.10107422E-02  0.11371582E+00 -0.56441170E+07 -0.23199996E+06  0.11100220E+00  0.11696777E+00  0.10627204E+08  0.18310547E-05  0.11127502E+00  0.41129585E+02       83584  0.36621094E-05 10
     5  0.50000000E-08  0.23602420E-11  0.14611816E+07  0.32049419E+12  0.23942384E+12 -0.16994442E+11  0.10788536E+08  0.18310547E-05  0.10981384E+00  0.33836573E+20  0.18310547E-05  0.10993103E+00  0.19301966E+06  0.11572266E-02  0.11342285E+00 -0.57485919E+07 -0.23199996E+06  0.10953003E+00  0.11696777E+00  0.10788536E+08  0.18310547E-05  0.10981384E+00  0.51954880E+02       89152  0.36621094E-05 10
     6  0.60000000E-08  0.23398011E-11  0.15637207E+07  0.42229767E+12  0.31920254E+12 -0.20454042E+11  0.10932095E+08  0.18310547E-05  0.10825012E+00  0.35293104E+20  0.18310547E-05  0.10837097E+00  0.23860717E+06  0.12597656E-02  0.11329102E+00 -0.58617739E+07 -0.23199996E+06  0.10794800E+00  0.11696777E+00  0.10932095E+08  0.18310547E-05  0.10825012E+00  0.63217659E+02       94720  0.36621094E-05 10
     7  0.70000000E-08  0.23387202E-11  0.16589355E+07  0.54317583E+12  0.41504663E+12 -0.23928903E+11  0.10911433E+08  0.18310547E-05  0.10659119E+00  0.35263829E+20  0.18310547E-05  0.10671936E+00  0.29204057E+06  0.13476562E-02  0.11314453E+00 -0.59271488E+07 -0.22268651E+06  0.10627808E+00  0.11707764E+00  0.10911433E+08  0.18310547E-05  0.10659119E+00  0.75167557E+02      101824  0.36621094E-05 10
     8  0.80000000E-08  0.24050998E-11  0.15966797E+07  0.66070262E+12  0.50851661E+12 -0.26607145E+11  0.10376690E+08  0.18310547E-05  0.10499451E+00  0.32850436E+20  0.29296875E-04  0.10719727E+00  0.37513975E+06  0.14648438E-02  0.11314453E+00 -0.57654784E+07 -0.19963697E+06  0.10468872E+00  0.11707764E+00  0.10376690E+08  0.18310547E-05  0.10499451E+00  0.86983625E+02       94912  0.36621094E-05 10
     9  0.90000000E-08  0.25023350E-11  0.14428711E+07  0.76018802E+12  0.58836403E+12 -0.28970298E+11  0.98758902E+07  0.18310547E-05  0.10355164E+00  0.32327855E+20  0.58593750E-04  0.10716797E+00  0.43612868E+06  0.14648438E-02  0.11314453E+00 -0.55177046E+07 -0.18426418E+06  0.10325317E+00  0.11707764E+00  0.98758902E+07  0.18310547E-05  0.10355164E+00  0.98183578E+02       88576  0.36621094E-05 10
    10  0.10000000E-07  0.61526243E-11  0.13092054E+07  0.84331539E+12  0.65620873E+12 -0.31216120E+11  0.95069956E+07  0.36621094E-05  0.10224243E+00  0.32005460E+20  0.58593750E-04  0.10716797E+00  0.44950682E+06  0.15820312E-02  0.11302734E+00 -0.52883604E+07 -0.17365478E+06  0.10194946E+00  0.11707764E+00  0.95069956E+07  0.36621094E-05  0.10224243E+00  0.10687889E+03       80512  0.73242187E-05  9
    11  0.11000000E-07  0.62736155E-11  0.12158203E+07  0.91389848E+12  0.71505242E+12 -0.33404272E+11  0.92394024E+07  0.36621094E-05  0.10102661E+00  0.31681276E+20  0.58593750E-04  0.10716797E+00  0.48473370E+06  0.15820312E-02  0.11302734E+00 -0.51036531E+07 -0.16600800E+06  0.10074097E+00  0.11707764E+00  0.92394024E+07  0.36621094E-05  0.10102661E+00  0.11082886E+03       80320  0.73242187E-05  9
    12  0.12000000E-07  0.63688978E-11  0.11499023E+07  0.97510381E+12  0.76730768E+12 -0.35555670E+11  0.90508922E+07  0.36621094E-05  0.99876709E-01  0.31355845E+20  0.58593750E-04  0.10716797E+00  0.49312840E+06  0.15820312E-02  0.11291016E+00 -0.49599251E+07 -0.16032714E+06  0.99605713E-01  0.11719482E+00  0.90508922E+07  0.36621094E-05  0.99876709E-01  0.11470599E+03       79552  0.73242187E-05  9
    13  0.13000000E-07  0.64362098E-11  0.10986328E+07  0.10292906E+13  0.81474329E+12 -0.37680575E+11  0.89228316E+07  0.36621094E-05  0.98778076E-01  0.31029908E+20  0.58593750E-04  0.10716797E+00  0.48718883E+06  0.15820312E-02  0.11291016E+00 -0.48524610E+07 -0.15593073E+06  0.98507080E-01  0.11719482E+00  0.89228316E+07  0.36621094E-05  0.98778076E-01  0.11848860E+03       79168  0.73242187E-05  9
    14  0.14000000E-07  0.64801840E-11  0.10620117E+07  0.10781771E+13  0.85863091E+12 -0.39785315E+11  0.88428090E+07  0.36621094E-05  0.97716064E-01  0.30704289E+20  0.58593750E-04  0.10716797E+00  0.47332776E+06  0.15820312E-02  0.11291016E+00 -0.47719883E+07 -0.15252835E+06  0.97452393E-01  0.11719482E+00  0.88428090E+07  0.36621094E-05  0.97716064E-01  0.12226686E+03       79552  0.73242187E-05  9
    15  0.15000000E-07  0.65072296E-11  0.10327148E+07  0.11230336E+13  0.89990220E+12 -0.41874200E+11  0.87971632E+07  0.36621094E-05  0.96683350E-01  0.30379724E+20  0.58593750E-04  0.10716797E+00  0.47637400E+06  0.16992187E-02  0.11267578E+00 -0.47152781E+07 -0.14982469E+06  0.96419678E-01  0.11719482E+00  0.87971632E+07  0.36621094E-05  0.96683350E-01  0.12592652E+03       80320  0.73242187E-05  9
    16  0.16000000E-07  0.65221267E-11  0.10253906E+07  0.11648141E+13  0.93925077E+12 -0.43950309E+11  0.87770684E+07  0.36621094E-05  0.95657959E-01  0.30056874E+20  0.58593750E-04  0.10716797E+00  0.48173628E+06  0.16992187E-02  0.11267578E+00 -0.46799882E+07 -0.14765368E+06  0.95401611E-01  0.11731201E+00  0.87770684E+07  0.36621094E-05  0.95657959E-01  0.12960798E+03       80128  0.73242187E-05  9
    17  0.17000000E-07  0.65262974E-11  0.10107422E+07  0.12042431E+13  0.97719996E+12 -0.46015926E+11  0.87721608E+07  0.36621094E-05  0.94647217E-01  0.29736122E+20  0.58593750E-04  0.10716797E+00  0.48315272E+06  0.16992187E-02  0.11255859E+00 -0.46624873E+07 -0.14589412E+06  0.94390869E-01  0.11731201E+00  0.87721608E+07  0.36621094E-05  0.94647217E-01  0.13340296E+03       79168  0.73242187E-05  9
    18  0.18000000E-07  0.65246075E-11  0.10034180E+07  0.12418639E+13  0.10141391E+13 -0.48073072E+11  0.87763127E+07  0.36621094E-05  0.93643799E-01  0.29417867E+20  0.58593750E-04  0.10716797E+00  0.48280913E+06  0.16992187E-02  0.11255859E+00 -0.46576093E+07 -0.14446601E+06  0.93387451E-01  0.11731201E+00  0.87763127E+07  0.36621094E-05  0.93643799E-01  0.13709693E+03       79552  0.73242187E-05  9
    19  0.19000000E-07  0.65200220E-11  0.99609375E+06  0.12780844E+13  0.10503575E+13 -0.50123224E+11  0.87836648E+07  0.36621094E-05  0.92647705E-01  0.29102422E+20  0.58593750E-04  0.10716797E+00  0.48079335E+06  0.16992187E-02  0.11255859E+00 -0.46604654E+07 -0.14330527E+06  0.92391357E-01  0.11731201E+00  0.87836648E+07  0.36621094E-05  0.92647705E-01  0.14085536E+03       79360  0.73242187E-05  9
