it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286607E+09  0.54286607E+09  0.00000000E+00  0.12164324E+08  0.75073242E-04  0.11600281E+00  0.10000000E+12  0.46875000E-03  0.30468750E-01  0.67652857E+05  0.88806152E-03  0.11654114E+00 -0.82161884E+07 -0.23199996E+06  0.12000000E+00  0.00000000E+00  0.37533223E+07  0.10034180E-02  0.11754639E+00  0.00000000E+00       67264  0.36621094E-05 10
     1  0.10000000E-08  0.23549406E-11  0.84546360E+06  0.38013172E+11  0.26722343E+11 -0.36360380E+10  0.10774549E+08  0.18310547E-05  0.11516052E+00  0.34260231E+20  0.18310547E-05  0.11524841E+00  0.40408324E+05  0.52917480E-03  0.11616028E+00 -0.68177007E+07 -0.23199996E+06  0.11494263E+00  0.11683960E+00  0.10774549E+08  0.18310547E-05  0.11516052E+00  0.10090761E+02       72448  0.36621094E-05 10
     2  0.20000000E-08  0.24175977E-11  0.12377930E+07  0.99703949E+11  0.71741796E+11 -0.71188909E+10  0.10405284E+08  0.18310547E-05  0.11392273E+00  0.32782405E+20  0.14648437E-04  0.11573730E+00  0.27361941E+05  0.48339844E-03  0.11465332E+00 -0.55361601E+07 -0.23199996E+06  0.11367554E+00  0.11684326E+00  0.10405284E+08  0.18310547E-05  0.11392273E+00  0.19870241E+02       72064  0.36621094E-05 10
     3  0.30000000E-08  0.24045112E-11  0.12854004E+07  0.16317711E+12  0.11890695E+12 -0.10390950E+11  0.10478422E+08  0.18310547E-05  0.11263733E+00  0.32350080E+20  0.14648437E-04  0.11573730E+00  0.91014646E+05  0.80566406E-03  0.11406738E+00 -0.55318664E+07 -0.23199996E+06  0.11237915E+00  0.11696045E+00  0.10478422E+08  0.18310547E-05  0.11263733E+00  0.30128191E+02       78592  0.36621094E-05 10
     4  0.40000000E-08  0.23834697E-11  0.13623047E+07  0.23531941E+12  0.17364704E+12 -0.13652478E+11  0.10627204E+08  0.18310547E-05  0.11127502E+00  0.32238126E+20  0.18310547E-05  0.11138489E+00  0.14677868E+06  0.10107422E-02  0.11371582E+00 -0.56441170E+07 -0.23199996E+06  0.11100220E+00  0.11696777E+00  0.10627204E+08  0.18310547E-05  0.11127502E+00  0.40547832E+02       83584  0.36621094E-05 10
     5  0.50000000E-08  0.23602420E-11  0.14611816E+07  0.32049419E+12  0.23942384E+12 -0.16994442E+11  0.10788536E+08  0.18310547E-05  0.10981384E+00  0.33836573E+20  0.18310547E-05  0.10993103E+00  0.19301966E+06  0.11572266E-02  0.11342285E+00 -0.57485919E+07 -0.23199996E+06  0.10953003E+00  0.11696777E+00  0.10788536E+08  0.18310547E-05  0.10981384E+00  0.74005471E+02       89152  0.36621094E-05 10
     6  0.60000000E-08  0.23398011E-11  0.15637207E+07  0.42229767E+12  0.31920254E+12 -0.20454042E+11  0.10932095E+08  0.18310547E-05  0.10825012E+00  0.35293104E+20  0.18310547E-05  0.10837097E+00  0.23860717E+06  0.12597656E-02  0.11329102E+00 -0.58617739E+07 -0.23199996E+06  0.10794800E+00  0.11696777E+00  0.10932095E+08  0.18310547E-05  0.10825012E+00  0.93737452E+02       94720  0.36621094E-05 10
     7  0.70000000E-08  0.23419577E-11  0.16589355E+07  0.54294990E+12  0.41485907E+12 -0.23905695E+11  0.10883354E+08  0.18310547E-05  0.10659119E+00  0.35015911E+20  0.18310547E-05  0.10671936E+00  0.29378785E+06  0.13476562E-02  0.11314453E+00 -0.59211782E+07 -0.22084683E+06  0.10627808E+00  0.11707764E+00  0.10883354E+08  0.18310547E-05  0.10659119E+00  0.10568481E+03      101632  0.36621094E-05 10
     8  0.80000000E-08  0.24241115E-11  0.15637207E+07  0.65555476E+12  0.50444064E+12 -0.26381142E+11  0.10234727E+08  0.18310547E-05  0.10502747E+00  0.32859430E+20  0.29296875E-04  0.10719727E+00  0.38470510E+06  0.14648438E-02  0.11326172E+00 -0.57167347E+07 -0.19378655E+06  0.10472534E+00  0.11707764E+00  0.10234727E+08  0.18310547E-05  0.10502747E+00  0.11745779E+03       93184  0.36621094E-05 10
     9  0.90000000E-08  0.26999770E-11  0.13732910E+07  0.74455134E+12  0.57620686E+12 -0.28469301E+11  0.96364908E+07  0.18310547E-05  0.10365417E+00  0.32331172E+20  0.58593750E-04  0.10716797E+00  0.44568882E+06  0.14648438E-02  0.11314453E+00 -0.54215613E+07 -0.17606469E+06  0.10336304E+00  0.11707764E+00  0.96364908E+07  0.18310547E-05  0.10365417E+00  0.12794586E+03       83584  0.36621094E-05 10
    10  0.10000000E-07  0.62851031E-11  0.12139906E+07  0.81381365E+12  0.63345732E+12 -0.30402393E+11  0.91823979E+07  0.36621094E-05  0.10244019E+00  0.32005120E+20  0.58593750E-04  0.10716797E+00  0.46126652E+06  0.15820312E-02  0.11314453E+00 -0.51503743E+07 -0.16404590E+06  0.10216919E+00  0.11707764E+00  0.91823979E+07  0.36621094E-05  0.10244019E+00  0.13266633E+03       77632  0.73242187E-05  9
    11  0.11000000E-07  0.64538989E-11  0.10913086E+07  0.86853362E+12  0.68019033E+12 -0.32250563E+11  0.88394289E+07  0.36621094E-05  0.10134888E+00  0.31674423E+20  0.58593750E-04  0.10716797E+00  0.48883654E+06  0.15820312E-02  0.11314453E+00 -0.49252634E+07 -0.15535973E+06  0.10108521E+00  0.11707764E+00  0.88394289E+07  0.36621094E-05  0.10134888E+00  0.13638527E+03       76288  0.73242187E-05  9
    12  0.12000000E-07  0.65926043E-11  0.10107422E+07  0.91259456E+12  0.71932901E+12 -0.34038345E+11  0.85827817E+07  0.36621094E-05  0.10033813E+00  0.31339773E+20  0.58593750E-04  0.10716797E+00  0.49027976E+06  0.15820312E-02  0.11302734E+00 -0.47406640E+07 -0.14883577E+06  0.10008179E+00  0.11719482E+00  0.85827817E+07  0.36621094E-05  0.10033813E+00  0.14014168E+03       73792  0.73242187E-05  9
    13  0.13000000E-07  0.67011123E-11  0.94482422E+06  0.94873176E+12  0.75290094E+12 -0.35779844E+11  0.83922387E+07  0.36621094E-05  0.99393311E-01  0.31002297E+20  0.58593750E-04  0.10716797E+00  0.47706981E+06  0.15820312E-02  0.11302734E+00 -0.45877185E+07 -0.14381679E+06  0.99144287E-01  0.11719482E+00  0.83922387E+07  0.36621094E-05  0.99393311E-01  0.14364155E+03       73408  0.73242187E-05  9
    14  0.14000000E-07  0.67859512E-11  0.89355469E+06  0.97886100E+12  0.78230827E+12 -0.37483096E+11  0.82526376E+07  0.36621094E-05  0.98499756E-01  0.30663097E+20  0.58593750E-04  0.10716797E+00  0.45663789E+06  0.15820312E-02  0.11291016E+00 -0.44642439E+07 -0.13986386E+06  0.98258057E-01  0.11719482E+00  0.82526376E+07  0.36621094E-05  0.98499756E-01  0.14708516E+03       73408  0.73242187E-05  9
    15  0.15000000E-07  0.68511138E-11  0.84960937E+06  0.10043254E+13  0.80852248E+12 -0.39152985E+11  0.81518187E+07  0.36621094E-05  0.97650146E-01  0.30322615E+20  0.58593750E-04  0.10716797E+00  0.46067828E+06  0.16992187E-02  0.11291016E+00 -0.43629677E+07 -0.13670371E+06  0.97415771E-01  0.11719482E+00  0.81518187E+07  0.36621094E-05  0.97650146E-01  0.15045854E+03       71488  0.73242187E-05  9
    16  0.16000000E-07  0.69004153E-11  0.82763672E+06  0.10261061E+13  0.83224393E+12 -0.40793901E+11  0.80796452E+07  0.36621094E-05  0.96822510E-01  0.29981686E+20  0.58593750E-04  0.10716797E+00  0.45987621E+06  0.16992187E-02  0.11279297E+00 -0.42844991E+07 -0.13409758E+06  0.96595459E-01  0.11719482E+00  0.80796452E+07  0.36621094E-05  0.96822510E-01  0.15376984E+03       71872  0.73242187E-05  9
    17  0.17000000E-07  0.69363056E-11  0.79833984E+06  0.10449204E+13  0.85397952E+12 -0.42408860E+11  0.80265109E+07  0.36621094E-05  0.96024170E-01  0.29641090E+20  0.58593750E-04  0.10716797E+00  0.45575225E+06  0.16992187E-02  0.11279297E+00 -0.42230867E+07 -0.13194042E+06  0.95797119E-01  0.11731201E+00  0.80265109E+07  0.36621094E-05  0.96024170E-01  0.15706791E+03       70912  0.73242187E-05  9
    18  0.18000000E-07  0.69608108E-11  0.78369141E+06  0.10613069E+13  0.87410500E+12 -0.44000618E+11  0.79918589E+07  0.36621094E-05  0.95240479E-01  0.29301456E+20  0.58593750E-04  0.10716797E+00  0.44946403E+06  0.16992187E-02  0.11267578E+00 -0.41734117E+07 -0.13014057E+06  0.95017090E-01  0.11731201E+00  0.79918589E+07  0.36621094E-05  0.95240479E-01  0.16032410E+03       69568  0.73242187E-05  9
    19  0.19000000E-07  0.69794240E-11  0.76904297E+06  0.10756780E+13  0.89290477E+12 -0.45571128E+11  0.79673107E+07  0.36621094E-05  0.94471436E-01  0.28963270E+20  0.58593750E-04  0.10716797E+00  0.44238809E+06  0.16992187E-02  0.11267578E+00 -0.41385828E+07 -0.12864087E+06  0.94259033E-01  0.11731201E+00  0.79673107E+07  0.36621094E-05  0.94471436E-01  0.16354165E+03       70336  0.73242187E-05  9
    20  0.20000000E-07  0.69920628E-11  0.75439453E+06  0.10883447E+13  0.91059007E+12 -0.47122104E+11  0.79491223E+07  0.36621094E-05  0.93717041E-01  0.28626770E+20  0.58593750E-04  0.10716797E+00  0.43446485E+06  0.16992187E-02  0.11267578E+00 -0.41126846E+07 -0.12736369E+06  0.93508301E-01  0.11731201E+00  0.79491223E+07  0.36621094E-05  0.93717041E-01  0.16678639E+03       68224  0.73242187E-05  9
