it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286141E+09  0.54286141E+09  0.11920929E-06  0.13369886E+08  0.18310547E-05  0.10679993E+00  0.10000000E+12  0.60468750E-01  0.45468750E-01  0.13912312E+06  0.11956787E-02  0.10798645E+00 -0.99879414E+07 -0.12698520E+06  0.12000000E+00  0.00000000E+00  0.10577549E+07  0.11953125E+00  0.11296875E+00  0.00000000E+00      136192  0.36621094E-05 10
     1  0.10000000E-08  0.24346271E-11  0.11352539E+07  0.13783941E+12  0.99806471E+11 -0.91689757E+10  0.99403432E+07  0.18310547E-05  0.10566467E+00  0.43185652E+20  0.15380859E-03  0.10682373E+00  0.69230081E+05  0.11901855E-02  0.10827759E+00 -0.74819140E+07 -0.12698520E+06  0.10536987E+00  0.10822632E+00  0.99403432E+07  0.18310547E-05  0.10566467E+00  0.15583329E+02      129472  0.36621094E-05 10
     2  0.20000000E-08  0.64528424E-11  0.12103285E+07  0.26870307E+12  0.19564371E+12 -0.15329774E+11  0.87086688E+07  0.36621094E-05  0.10445435E+00  0.42661239E+20  0.15380859E-03  0.10682373E+00  0.26106176E+04  0.12084961E-02  0.10787842E+00 -0.64014996E+07 -0.12698520E+06  0.10416870E+00  0.10852295E+00  0.87086688E+07  0.36621094E-05  0.10445435E+00  0.22611044E+02      117760  0.73242187E-05  9
     3  0.30000000E-08  0.67648668E-11  0.10180664E+07  0.35429914E+12  0.25881251E+12 -0.20279166E+11  0.82629234E+07  0.36621094E-05  0.10343628E+00  0.42196754E+20  0.15380859E-03  0.10682373E+00  0.20328322E+05  0.12084961E-02  0.10798096E+00 -0.57444774E+07 -0.12698520E+06  0.10315796E+00  0.10864014E+00  0.82629234E+07  0.36621094E-05  0.10343628E+00  0.27099261E+02      115072  0.73242187E-05  9
     4  0.40000000E-08  0.69044938E-11  0.93750000E+06  0.41910115E+12  0.30759543E+12 -0.24592147E+11  0.80989037E+07  0.36621094E-05  0.10249878E+00  0.41746008E+20  0.15380859E-03  0.10682373E+00  0.61214676E+05  0.16113281E-02  0.10508789E+00 -0.52694000E+07 -0.12698520E+06  0.10223511E+00  0.10887451E+00  0.80989037E+07  0.36621094E-05  0.10249878E+00  0.31363838E+02      113920  0.73242187E-05  9
     5  0.50000000E-08  0.69318646E-11  0.89355469E+06  0.47251444E+12  0.34880480E+12 -0.28510407E+11  0.80770151E+07  0.36621094E-05  0.10160522E+00  0.41302892E+20  0.15380859E-03  0.10682373E+00  0.10547610E+06  0.17871094E-02  0.10491211E+00 -0.48953677E+07 -0.12698520E+06  0.10134521E+00  0.10899170E+00  0.80770151E+07  0.36621094E-05  0.10160522E+00  0.35594743E+02      111808  0.73242187E-05  9
     6  0.60000000E-08  0.69003917E-11  0.88623047E+06  0.51904651E+12  0.38565109E+12 -0.32159232E+11  0.81359371E+07  0.36621094E-05  0.10071899E+00  0.40858281E+20  0.15380859E-03  0.10682373E+00  0.13432250E+06  0.19628906E-02  0.10479492E+00 -0.45978985E+07 -0.12698520E+06  0.10046265E+00  0.10910889E+00  0.81359371E+07  0.36621094E-05  0.10071899E+00  0.39749747E+02      111232  0.73242187E-05  9
     7  0.70000000E-08  0.68415724E-11  0.89355469E+06  0.56135998E+12  0.42001837E+12 -0.35611718E+11  0.82364133E+07  0.36621094E-05  0.99825439E-01  0.40416971E+20  0.15380859E-03  0.10682373E+00  0.15457615E+06  0.20214844E-02  0.10467773E+00 -0.43263384E+07 -0.12698520E+06  0.99576416E-01  0.10934326E+00  0.82364133E+07  0.36621094E-05  0.99825439E-01  0.43916219E+02      112192  0.73242187E-05  9
     8  0.80000000E-08  0.67767130E-11  0.90087891E+06  0.60115393E+12  0.45309636E+12 -0.38916570E+11  0.83519006E+07  0.36621094E-05  0.98924561E-01  0.39976287E+20  0.15380859E-03  0.10682373E+00  0.17251621E+06  0.21386719E-02  0.10461914E+00 -0.42627883E+07 -0.12698520E+06  0.98675537E-01  0.10946045E+00  0.83519006E+07  0.36621094E-05  0.98924561E-01  0.48125185E+02      112576  0.73242187E-05  9
     9  0.90000000E-08  0.67146634E-11  0.91552734E+06  0.63947192E+12  0.48560458E+12 -0.42104898E+11  0.84677619E+07  0.36621094E-05  0.98009033E-01  0.39532532E+20  0.15380859E-03  0.10682373E+00  0.16975326E+06  0.21679687E-02  0.10458984E+00 -0.43493562E+07 -0.12698520E+06  0.97767334E-01  0.10957764E+00  0.84677619E+07  0.36621094E-05  0.98009033E-01  0.52345099E+02      112768  0.73242187E-05  9
