it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286141E+09  0.54286141E+09  0.00000000E+00  0.13043774E+08  0.18310547E-05  0.10679993E+00  0.10000000E+12  0.60468750E-01  0.60468750E-01  0.13572969E+06  0.11956787E-02  0.10798645E+00 -0.97443199E+07 -0.12388800E+06  0.12000000E+00  0.00000000E+00  0.10319560E+07  0.11953125E+00  0.11296875E+00  0.00000000E+00      133696  0.36621094E-05 10
     1  0.20000000E-09  0.19463724E-11  0.00000000E+00  0.55097310E+09  0.54908802E+09 -0.16569022E+07  0.13019808E+08  0.18310547E-05  0.10679993E+00  0.25611296E+18  0.18310547E-05  0.10679993E+00  0.13572910E+06  0.11956787E-02  0.10798645E+00 -0.97441203E+07 -0.12388800E+06  0.10672302E+00  0.10725769E+00  0.13019808E+08  0.18310547E-05  0.10679993E+00  0.29723747E+01      133696  0.36621094E-05 10
     2  0.40000000E-09  0.21294418E-11  0.10620117E+07  0.18845101E+11  0.12648826E+11 -0.29567275E+10  0.11911622E+08  0.18310547E-05  0.10658752E+00  0.42106169E+20  0.26000977E-03  0.10683472E+00  0.13247352E+06  0.11956787E-02  0.10798645E+00 -0.91103383E+07 -0.12388800E+06  0.10640808E+00  0.10784363E+00  0.11911622E+08  0.18310547E-05  0.10658752E+00  0.62554606E+01      136192  0.36621094E-05 10
     3  0.60000000E-09  0.22403249E-11  0.14099121E+07  0.51394150E+11  0.36168627E+11 -0.53287835E+10  0.10948372E+08  0.18310547E-05  0.10630554E+00  0.39996381E+20  0.15380859E-03  0.10682373E+00  0.11826272E+06  0.11956787E-02  0.10798645E+00 -0.85897757E+07 -0.12388800E+06  0.10605835E+00  0.10799194E+00  0.10948372E+08  0.18310547E-05  0.10630554E+00  0.95599474E+01      135232  0.36621094E-05 10
     4  0.80000000E-09  0.23528751E-11  0.14282227E+07  0.85414651E+11  0.61022040E+11 -0.70475760E+10  0.10318649E+08  0.18310547E-05  0.10601990E+00  0.39957249E+20  0.15380859E-03  0.10682373E+00  0.95082292E+05  0.11956787E-02  0.10798645E+00 -0.79187683E+07 -0.12388800E+06  0.10575073E+00  0.10810913E+00  0.10318649E+08  0.18310547E-05  0.10601990E+00  0.12590625E+02      130624  0.36621094E-05 10
     5  0.10000000E-08  0.24612609E-11  0.13549805E+07  0.11668456E+12  0.83887555E+11 -0.84984467E+10  0.98338457E+07  0.18310547E-05  0.10574890E+00  0.39869525E+20  0.15380859E-03  0.10682373E+00  0.70069368E+05  0.11901855E-02  0.10827759E+00 -0.74049525E+07 -0.12388800E+06  0.10547241E+00  0.10822632E+00  0.98338457E+07  0.18310547E-05  0.10574890E+00  0.15373925E+02      123520  0.36621094E-05 10
     6  0.12000000E-08  0.30023753E-11  0.12726159E+07  0.14469938E+12  0.10433888E+12 -0.98025993E+10  0.94614841E+07  0.36621094E-05  0.10549438E+00  0.39764552E+20  0.15380859E-03  0.10682373E+00  0.62091155E+05  0.11901855E-02  0.10827759E+00 -0.71418877E+07 -0.12388800E+06  0.10521606E+00  0.10822632E+00  0.94614841E+07  0.36621094E-05  0.10549438E+00  0.17959418E+02      118336  0.36621094E-05 10
     7  0.14000000E-08  0.61978258E-11  0.12084961E+07  0.16975043E+12  0.12260513E+12 -0.11009013E+11  0.91773906E+07  0.36621094E-05  0.10525269E+00  0.39666078E+20  0.15380859E-03  0.10682373E+00  0.40746513E+05  0.11901855E-02  0.10804321E+00 -0.69180026E+07 -0.12388800E+06  0.10497437E+00  0.10828857E+00  0.91773906E+07  0.36621094E-05  0.10525269E+00  0.19280535E+02      117184  0.73242187E-05  9
     8  0.16000000E-08  0.63166991E-11  0.11352539E+07  0.19229882E+12  0.13904465E+12 -0.12140762E+11  0.89508202E+07  0.36621094E-05  0.10502563E+00  0.39574083E+20  0.15380859E-03  0.10682373E+00  0.25884509E+00  0.10034180E-02  0.10735107E+00 -0.67163333E+07 -0.12388800E+06  0.10474731E+00  0.10828857E+00  0.89508202E+07  0.36621094E-05  0.10502563E+00  0.20391256E+02      116224  0.73242187E-05  9
     9  0.18000000E-08  0.64235581E-11  0.10986328E+07  0.21269855E+12  0.15391137E+12 -0.13215716E+11  0.87672194E+07  0.36621094E-05  0.10480591E+00  0.39475704E+20  0.15380859E-03  0.10682373E+00  0.11954109E+00  0.10034180E-02  0.10735107E+00 -0.65356694E+07 -0.12388800E+06  0.10452759E+00  0.10828857E+00  0.87672194E+07  0.36621094E-05  0.10480591E+00  0.21483161E+02      116608  0.73242187E-05  9
    10  0.20000000E-08  0.65160354E-11  0.10253906E+07  0.23131117E+12  0.16748789E+12 -0.14242160E+11  0.86205231E+07  0.36621094E-05  0.10460083E+00  0.39385932E+20  0.15380859E-03  0.10682373E+00  0.71138658E+04  0.11938477E-02  0.10787842E+00 -0.63718885E+07 -0.12388800E+06  0.10432251E+00  0.10840576E+00  0.86205231E+07  0.36621094E-05  0.10460083E+00  0.22551651E+02      115840  0.73242187E-05  9
    11  0.22000000E-08  0.66005898E-11  0.10253906E+07  0.24841512E+12  0.17998444E+12 -0.15226539E+11  0.84997689E+07  0.36621094E-05  0.10439575E+00  0.39296139E+20  0.15380859E-03  0.10682373E+00  0.36315877E+03  0.11938477E-02  0.10787842E+00 -0.62234144E+07 -0.12388800E+06  0.10412476E+00  0.10840576E+00  0.84997689E+07  0.36621094E-05  0.10439575E+00  0.23615313E+02      113728  0.73242187E-05  9
    12  0.24000000E-08  0.66752569E-11  0.98876953E+06  0.26423461E+12  0.19156895E+12 -0.16174044E+11  0.84001093E+07  0.36621094E-05  0.10419800E+00  0.39206485E+20  0.15380859E-03  0.10682373E+00  0.26206003E+04  0.12084961E-02  0.10790771E+00 -0.60898466E+07 -0.12388800E+06  0.10392700E+00  0.10852295E+00  0.84001093E+07  0.36621094E-05  0.10419800E+00  0.24642255E+02      112768  0.73242187E-05  9
