it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
    11  0.55000000E-08  0.67871596E-11  0.96679688E+06  0.57933853E+12  0.43113031E+12 -0.32817437E+11  0.83372201E+07  0.36621094E-05  0.10077026E+00  0.44440274E+20  0.15380859E-03  0.10682373E+00  0.12659999E+06  0.19628906E-02  0.10479492E+00 -0.47207233E+07 -0.13018920E+06  0.10049927E+00  0.10922607E+00  0.83372201E+07  0.36621094E-05  0.10077026E+00  0.40254101E+02      114880  0.73242187E-05  9
    12  0.60000000E-08  0.67560769E-11  0.96679687E+06  0.60701454E+12  0.45322428E+12 -0.34781085E+11  0.83917161E+07  0.36621094E-05  0.10028687E+00  0.44199415E+20  0.15380859E-03  0.10682373E+00  0.14037237E+06  0.20214844E-02  0.10473633E+00 -0.45844290E+07 -0.13018920E+06  0.10001587E+00  0.10922607E+00  0.83917161E+07  0.36621094E-05  0.10028687E+00  0.42571667E+02      114304  0.73242187E-05  9
    13  0.65000000E-08  0.67218171E-11  0.96679688E+06  0.63373529E+12  0.47480041E+12 -0.36695786E+11  0.84522608E+07  0.36621094E-05  0.99803467E-01  0.43959874E+20  0.15380859E-03  0.10682373E+00  0.15174258E+06  0.20800781E-02  0.10467773E+00 -0.44437866E+07 -0.13018920E+06  0.99532471E-01  0.10934326E+00  0.84522608E+07  0.36621094E-05  0.99803467E-01  0.44856187E+02      114496  0.73242187E-05  9
    14  0.70000000E-08  0.66823850E-11  0.98144531E+06  0.65977505E+12  0.49605217E+12 -0.38569732E+11  0.85182701E+07  0.36621094E-05  0.99312744E-01  0.43722760E+20  0.15380859E-03  0.10682373E+00  0.16103410E+06  0.21386719E-02  0.10461914E+00 -0.43615595E+07 -0.13018920E+06  0.99041748E-01  0.10946045E+00  0.85182701E+07  0.36621094E-05  0.99312744E-01  0.47172629E+02      113920  0.73242187E-05  9
    15  0.75000000E-08  0.66434123E-11  0.99609375E+06  0.68533983E+12  0.51712587E+12 -0.40406730E+11  0.85856063E+07  0.36621094E-05  0.98814697E-01  0.43482401E+20  0.15380859E-03  0.10682373E+00  0.16699959E+06  0.21972656E-02  0.10456055E+00 -0.44109273E+07 -0.13018920E+06  0.98551025E-01  0.10946045E+00  0.85856063E+07  0.36621094E-05  0.98814697E-01  0.49538252E+02      116224  0.73242187E-05  9
    16  0.80000000E-08  0.66052887E-11  0.99609375E+06  0.71058846E+12  0.53813177E+12 -0.42211934E+11  0.86465656E+07  0.36621094E-05  0.98316650E-01  0.43246127E+20  0.15380859E-03  0.10682373E+00  0.17415784E+06  0.21972656E-02  0.10456055E+00 -0.44627427E+07 -0.13018920E+06  0.98052979E-01  0.10957764E+00  0.86465656E+07  0.36621094E-05  0.98316650E-01  0.51892411E+02      116992  0.73242187E-05  9
    17  0.85000000E-08  0.65713485E-11  0.10107422E+07  0.73564120E+12  0.55915093E+12 -0.43990445E+11  0.87041145E+07  0.36621094E-05  0.97811279E-01  0.43010233E+20  0.15380859E-03  0.10682373E+00  0.17579022E+06  0.22851562E-02  0.10458984E+00 -0.45163625E+07 -0.13018920E+06  0.97547607E-01  0.10969482E+00  0.87041145E+07  0.36621094E-05  0.97811279E-01  0.54269029E+02      116992  0.73242187E-05  9
    18  0.90000000E-08  0.65447634E-11  0.10253906E+07  0.76058257E+12  0.58023974E+12 -0.45745132E+11  0.87556484E+07  0.36621094E-05  0.97298584E-01  0.42771619E+20  0.15380859E-03  0.10682373E+00  0.17774630E+06  0.22851562E-02  0.10447266E+00 -0.45721759E+07 -0.13018920E+06  0.97034912E-01  0.10969482E+00  0.87556484E+07  0.36621094E-05  0.97298584E-01  0.56659357E+02      117376  0.73242187E-05  9
    19  0.95000000E-08  0.65198922E-11  0.10253906E+07  0.78546780E+12  0.60143266E+12 -0.47478660E+11  0.87985412E+07  0.36621094E-05  0.96785889E-01  0.42536527E+20  0.15380859E-03  0.10682373E+00  0.17660587E+06  0.24023437E-02  0.10447266E+00 -0.46222635E+07 -0.13018920E+06  0.96522217E-01  0.10981201E+00  0.87985412E+07  0.36621094E-05  0.96785889E-01  0.59080265E+02      117184  0.73242187E-05  9
    20  0.10000000E-07  0.64977128E-11  0.10400391E+07  0.81032614E+12  0.62274444E+12 -0.49193816E+11  0.88343771E+07  0.36621094E-05  0.96265869E-01  0.42302169E+20  0.15380859E-03  0.10682373E+00  0.18795702E+06  0.24023437E-02  0.10447266E+00 -0.46609437E+07 -0.13018920E+06  0.96002197E-01  0.10992920E+00  0.88343771E+07  0.36621094E-05  0.96265869E-01  0.61488481E+02      116992  0.73242187E-05  9
    21  0.10500000E-07  0.64808777E-11  0.10400391E+07  0.83516924E+12  0.64417996E+12 -0.50890737E+11  0.88627728E+07  0.36621094E-05  0.95745850E-01  0.42065522E+20  0.15380859E-03  0.10682373E+00  0.19351440E+06  0.24023437E-02  0.10447266E+00 -0.46892500E+07 -0.13018920E+06  0.95482178E-01  0.10992920E+00  0.88627728E+07  0.36621094E-05  0.95745850E-01  0.63927848E+02      119488  0.73242187E-05  9
    22  0.11000000E-07  0.64666655E-11  0.10400391E+07  0.86000371E+12  0.66573511E+12 -0.52574454E+11  0.88825686E+07  0.36621094E-05  0.95225830E-01  0.41832875E+20  0.15380859E-03  0.10682373E+00  0.19553580E+06  0.24023437E-02  0.10447266E+00 -0.47133615E+07 -0.13018920E+06  0.94962158E-01  0.11004639E+00  0.88825686E+07  0.36621094E-05  0.95225830E-01  0.66427238E+02      117952  0.73242187E-05  9
    23  0.11500000E-07  0.64568714E-11  0.10546875E+07  0.88482289E+12  0.68740135E+12 -0.54244690E+11  0.88967017E+07  0.36621094E-05  0.94698486E-01  0.41600836E+20  0.15380859E-03  0.10682373E+00  0.19531411E+06  0.24023437E-02  0.10447266E+00 -0.47389123E+07 -0.13018920E+06  0.94434814E-01  0.11016357E+00  0.88967017E+07  0.36621094E-05  0.94698486E-01  0.69019453E+02      118912  0.73242187E-05  9
    24  0.12000000E-07  0.64509511E-11  0.10546875E+07  0.90961697E+12  0.70916694E+12 -0.55902538E+11  0.89039930E+07  0.36621094E-05  0.94171143E-01  0.41369864E+20  0.15380859E-03  0.10682373E+00  0.19414394E+06  0.24023437E-02  0.10447266E+00 -0.47621247E+07 -0.13018920E+06  0.93907471E-01  0.11028076E+00  0.89039930E+07  0.36621094E-05  0.94171143E-01  0.71481585E+02      118912  0.73242187E-05  9
    25  0.12500000E-07  0.64483749E-11  0.10546875E+07  0.93437045E+12  0.73101597E+12 -0.57549002E+11  0.89067053E+07  0.36621094E-05  0.93643799E-01  0.41140038E+20  0.15380859E-03  0.10682373E+00  0.20043445E+06  0.25195313E-02  0.10435547E+00 -0.47791420E+07 -0.13018920E+06  0.93380127E-01  0.11028076E+00  0.89067053E+07  0.36621094E-05  0.93643799E-01  0.73974153E+02      118720  0.73242187E-05  9
    26  0.13000000E-07  0.64480564E-11  0.10546875E+07  0.95906664E+12  0.75293212E+12 -0.59185091E+11  0.89062641E+07  0.36621094E-05  0.93116455E-01  0.40911405E+20  0.15380859E-03  0.10682373E+00  0.20515325E+06  0.25195313E-02  0.10435547E+00 -0.47891961E+07 -0.13018920E+06  0.92852783E-01  0.11039795E+00  0.89062641E+07  0.36621094E-05  0.93116455E-01  0.76445925E+02      118336  0.73242187E-05  9
    27  0.13500000E-07  0.64489971E-11  0.10546875E+07  0.98368664E+12  0.77489806E+12 -0.60811384E+11  0.89034388E+07  0.36621094E-05  0.92589111E-01  0.40684018E+20  0.15380859E-03  0.10682373E+00  0.20834653E+06  0.25195313E-02  0.10435547E+00 -0.47931709E+07 -0.13018920E+06  0.92325439E-01  0.11051514E+00  0.89034388E+07  0.36621094E-05  0.92589111E-01  0.78946751E+02      119104  0.73242187E-05  9
    28  0.14000000E-07  0.64504006E-11  0.10546875E+07  0.10082161E+13  0.79690054E+12 -0.62428472E+11  0.88998499E+07  0.36621094E-05  0.92061768E-01  0.40457935E+20  0.15380859E-03  0.10682373E+00  0.21056550E+06  0.25195313E-02  0.10435547E+00 -0.47931567E+07 -0.13018920E+06  0.91798096E-01  0.11051514E+00  0.88998499E+07  0.36621094E-05  0.92061768E-01  0.81474256E+02      119680  0.73242187E-05  9
    29  0.14500000E-07  0.64522808E-11  0.10546875E+07  0.10326466E+13  0.81893120E+12 -0.64036978E+11  0.88954559E+07  0.36621094E-05  0.91534424E-01  0.40233112E+20  0.15380859E-03  0.10682373E+00  0.21208349E+06  0.25195313E-02  0.10435547E+00 -0.47913737E+07 -0.13018920E+06  0.91270752E-01  0.11063232E+00  0.88954559E+07  0.36621094E-05  0.91534424E-01  0.83923646E+02      120832  0.73242187E-05  9
    30  0.15000000E-07  0.64540605E-11  0.10546875E+07  0.10569691E+13  0.84098204E+12 -0.65637074E+11  0.88912079E+07  0.36621094E-05  0.91007080E-01  0.40009610E+20  0.15380859E-03  0.10682373E+00  0.21322642E+06  0.25195313E-02  0.10435547E+00 -0.47886006E+07 -0.13018920E+06  0.90736084E-01  0.11074951E+00  0.88912079E+07  0.36621094E-05  0.91007080E-01  0.86431921E+02      119680  0.73242187E-05  9
    31  0.15500000E-07  0.64557476E-11  0.10693359E+07  0.10811817E+13  0.86305026E+12 -0.67229252E+11  0.88880010E+07  0.36621094E-05  0.90472412E-01  0.39787439E+20  0.15380859E-03  0.10682373E+00  0.21422330E+06  0.25195313E-02  0.10435547E+00 -0.47861730E+07 -0.13018920E+06  0.90208740E-01  0.11086670E+00  0.88880010E+07  0.36621094E-05  0.90472412E-01  0.88888743E+02      121216  0.73242187E-05  9
    32  0.16000000E-07  0.64570927E-11  0.10546875E+07  0.11052849E+13  0.88513553E+12 -0.68813820E+11  0.88868190E+07  0.36621094E-05  0.89945068E-01  0.39566592E+20  0.15380859E-03  0.10682373E+00  0.21522236E+06  0.25195313E-02  0.10435547E+00 -0.47840358E+07 -0.13018920E+06  0.89681396E-01  0.11086670E+00  0.88868190E+07  0.36621094E-05  0.89945068E-01  0.91398609E+02      120640  0.73242187E-05  9
    33  0.16500000E-07  0.64581571E-11  0.10546875E+07  0.11292816E+13  0.90723911E+12 -0.70391180E+11  0.88861298E+07  0.36621094E-05  0.89417725E-01  0.39347054E+20  0.15380859E-03  0.10682373E+00  0.21638530E+06  0.25195313E-02  0.10435547E+00 -0.47819343E+07 -0.13018920E+06  0.89154053E-01  0.11098389E+00  0.88861298E+07  0.36621094E-05  0.89417725E-01  0.93913297E+02      121216  0.73242187E-05  9
    34  0.17000000E-07  0.64586718E-11  0.10546875E+07  0.11531774E+13  0.92936472E+12 -0.71961398E+11  0.88863885E+07  0.36621094E-05  0.88890381E-01  0.39128903E+20  0.15380859E-03  0.10682373E+00  0.21898714E+06  0.26367188E-02  0.10423828E+00 -0.47804011E+07 -0.13018920E+06  0.88626709E-01  0.11110107E+00  0.88863885E+07  0.36621094E-05  0.88890381E-01  0.96402243E+02      120256  0.73242187E-05  9
    35  0.17500000E-07  0.64588099E-11  0.10546875E+07  0.11769769E+13  0.95151516E+12 -0.73524822E+11  0.88871643E+07  0.36621094E-05  0.88363037E-01  0.38912076E+20  0.15380859E-03  0.10682373E+00  0.22226454E+06  0.26367188E-02  0.10423828E+00 -0.47790608E+07 -0.13018920E+06  0.88099365E-01  0.11121826E+00  0.88871643E+07  0.36621094E-05  0.88363037E-01  0.98934896E+02      120832  0.73242187E-05  9
    36  0.18000000E-07  0.64583063E-11  0.10546875E+07  0.12006897E+13  0.97369721E+12 -0.75081812E+11  0.88883870E+07  0.36621094E-05  0.87835693E-01  0.38696594E+20  0.15380859E-03  0.10682373E+00  0.22530081E+06  0.26367188E-02  0.10423828E+00 -0.47779260E+07 -0.13018920E+06  0.87564697E-01  0.11121826E+00  0.88883870E+07  0.36621094E-05  0.87835693E-01  0.10140030E+03      121216  0.73242187E-05  9
    37  0.18500000E-07  0.64572504E-11  0.10693359E+07  0.12243215E+13  0.99591504E+12 -0.76632328E+11  0.88925001E+07  0.36621094E-05  0.87301025E-01  0.38482302E+20  0.15380859E-03  0.10682373E+00  0.22818941E+06  0.26367188E-02  0.10423828E+00 -0.47774009E+07 -0.13018920E+06  0.87037354E-01  0.11133545E+00  0.88925001E+07  0.36621094E-05  0.87301025E-01  0.10396855E+03      121408  0.73242187E-05  9
    38  0.19000000E-07  0.64554252E-11  0.10546875E+07  0.12478805E+13  0.10181744E+13 -0.78176720E+11  0.88976303E+07  0.36621094E-05  0.86773682E-01  0.38269273E+20  0.15380859E-03  0.10682373E+00  0.23094502E+06  0.26367188E-02  0.10423828E+00 -0.47771731E+07 -0.13018920E+06  0.86510010E-01  0.11145264E+00  0.88976303E+07  0.36621094E-05  0.86773682E-01  0.10648864E+03      121408  0.73242187E-05  9
    39  0.19500000E-07  0.64532497E-11  0.10693359E+07  0.12713756E+13  0.10404820E+13 -0.79715026E+11  0.89017768E+07  0.36621094E-05  0.86239014E-01  0.38057559E+20  0.15380859E-03  0.10682373E+00  0.23372396E+06  0.26367188E-02  0.10423828E+00 -0.47774975E+07 -0.13018920E+06  0.85975342E-01  0.11156982E+00  0.89017768E+07  0.36621094E-05  0.86239014E-01  0.10898484E+03      121216  0.73242187E-05  9
    40  0.20000000E-07  0.64504037E-11  0.10546875E+07  0.12948146E+13  0.10628434E+13 -0.81247429E+11  0.89089756E+07  0.36621094E-05  0.85711670E-01  0.37847155E+20  0.15380859E-03  0.10682373E+00  0.23657298E+06  0.26367188E-02  0.10423828E+00 -0.47795134E+07 -0.13018920E+06  0.85440674E-01  0.11156982E+00  0.89089756E+07  0.36621094E-05  0.85711670E-01  0.11152483E+03      121408  0.73242187E-05  9
    41  0.20500000E-07  0.64472611E-11  0.10693359E+07  0.13182062E+13  0.10852653E+13 -0.82774077E+11  0.89155912E+07  0.36621094E-05  0.85177002E-01  0.37638059E+20  0.15380859E-03  0.10682373E+00  0.23960598E+06  0.25195313E-02  0.10447266E+00 -0.47814342E+07 -0.13018920E+06  0.84913330E-01  0.11168701E+00  0.89155912E+07  0.36621094E-05  0.85177002E-01  0.11402620E+03      121408  0.73242187E-05  9
    42  0.21000000E-07  0.64438785E-11  0.10693359E+07  0.13415576E+13  0.11077530E+13 -0.84295085E+11  0.89220679E+07  0.36621094E-05  0.84642334E-01  0.37430266E+20  0.15380859E-03  0.10682373E+00  0.24319518E+06  0.25195313E-02  0.10447266E+00 -0.47838591E+07 -0.13018920E+06  0.84378662E-01  0.11180420E+00  0.89220679E+07  0.36621094E-05  0.84642334E-01  0.11660009E+03      122176  0.73242187E-05  9
    43  0.21500000E-07  0.64401469E-11  0.10693359E+07  0.13648780E+13  0.11303136E+13 -0.85810684E+11  0.89285870E+07  0.36621094E-05  0.84107666E-01  0.37223778E+20  0.15380859E-03  0.10682373E+00  0.24674746E+06  0.25195313E-02  0.10447266E+00 -0.47880206E+07 -0.13018920E+06  0.83843994E-01  0.11192139E+00  0.89285870E+07  0.36621094E-05  0.84107666E-01  0.11915727E+03      122560  0.73242187E-05  9
    44  0.22000000E-07  0.64366243E-11  0.10693359E+07  0.13881724E+13  0.11529509E+13 -0.87320741E+11  0.89351666E+07  0.36621094E-05  0.83572998E-01  0.37018570E+20  0.15380859E-03  0.10682373E+00  0.25024642E+06  0.25195313E-02  0.10447266E+00 -0.47917628E+07 -0.13018920E+06  0.83309326E-01  0.11192139E+00  0.89351666E+07  0.36621094E-05  0.83572998E-01  0.12178384E+03      122752  0.73242187E-05  9
    45  0.22500000E-07  0.64328791E-11  0.10693359E+07  0.14114442E+13  0.11756673E+13 -0.88825432E+11  0.89409640E+07  0.36621094E-05  0.83038330E-01  0.36814639E+20  0.15380859E-03  0.10682373E+00  0.25367174E+06  0.25195313E-02  0.10447266E+00 -0.47967691E+07 -0.13018920E+06  0.82767334E-01  0.11203857E+00  0.89409640E+07  0.36621094E-05  0.83038330E-01  0.12436133E+03      123136  0.73242187E-05  9
    46  0.23000000E-07  0.64297956E-11  0.10693359E+07  0.14346987E+13  0.11984669E+13 -0.90324826E+11  0.89437546E+07  0.36621094E-05  0.82503662E-01  0.36611969E+20  0.15380859E-03  0.10682373E+00  0.25701802E+06  0.25195313E-02  0.10447266E+00 -0.48014130E+07 -0.13018920E+06  0.82232666E-01  0.11215576E+00  0.89437546E+07  0.36621094E-05  0.82503662E-01  0.12687302E+03      123328  0.73242187E-05  9
    47  0.23500000E-07  0.64271836E-11  0.10839844E+07  0.14579375E+13  0.12213505E+13 -0.91818979E+11  0.89492132E+07  0.36621094E-05  0.81961670E-01  0.36410553E+20  0.15380859E-03  0.10682373E+00  0.26028188E+06  0.25195313E-02  0.10447266E+00 -0.48063625E+07 -0.13018920E+06  0.81697998E-01  0.11215576E+00  0.89492132E+07  0.36621094E-05  0.81961670E-01  0.12945405E+03      123904  0.73242187E-05  9
    48  0.24000000E-07  0.64249359E-11  0.10693359E+07  0.14811612E+13  0.12443183E+13 -0.93308233E+11  0.89498408E+07  0.36621094E-05  0.81427002E-01  0.36210335E+20  0.15380859E-03  0.10682373E+00  0.26346103E+06  0.25195313E-02  0.10447266E+00 -0.48113543E+07 -0.13018920E+06  0.81156006E-01  0.11227295E+00  0.89498408E+07  0.36621094E-05  0.81427002E-01  0.13201323E+03      123520  0.73242187E-05  9
    49  0.24500000E-07  0.64232783E-11  0.10839844E+07  0.15043702E+13  0.12673709E+13 -0.94792098E+11  0.89534433E+07  0.36621094E-05  0.80885010E-01  0.36011320E+20  0.15380859E-03  0.10682373E+00  0.26654773E+06  0.25195313E-02  0.10447266E+00 -0.48158660E+07 -0.13018920E+06  0.80614014E-01  0.11239014E+00  0.89534433E+07  0.36621094E-05  0.80885010E-01  0.13453399E+03      123904  0.73242187E-05  9
    50  0.25000000E-07  0.64223246E-11  0.10839844E+07  0.15275631E+13  0.12905067E+13 -0.96270950E+11  0.89545869E+07  0.36621094E-05  0.80343018E-01  0.35813511E+20  0.15380859E-03  0.10682373E+00  0.26954202E+06  0.25195313E-02  0.10447266E+00 -0.48198545E+07 -0.13018920E+06  0.80072021E-01  0.11239014E+00  0.89545869E+07  0.36621094E-05  0.80343018E-01  0.13709793E+03      123904  0.73242187E-05  9
    51  0.25500000E-07  0.64218237E-11  0.10839844E+07  0.15507379E+13  0.13137239E+13 -0.97744762E+11  0.89540598E+07  0.36621094E-05  0.79801025E-01  0.35616898E+20  0.15380859E-03  0.10682373E+00  0.27244551E+06  0.25195313E-02  0.10447266E+00 -0.48228675E+07 -0.13018920E+06  0.79537354E-01  0.11250732E+00  0.89540598E+07  0.36621094E-05  0.79801025E-01  0.13961354E+03      124288  0.73242187E-05  9
    52  0.26000000E-07  0.64216130E-11  0.10839844E+07  0.15738907E+13  0.13370194E+13 -0.99213592E+11  0.89536673E+07  0.36621094E-05  0.79259033E-01  0.35421479E+20  0.15380859E-03  0.10682373E+00  0.27526438E+06  0.25195313E-02  0.10447266E+00 -0.48249195E+07 -0.13018920E+06  0.78995361E-01  0.11262451E+00  0.89536673E+07  0.36621094E-05  0.79259033E-01  0.14219820E+03      126016  0.73242187E-05  9
    53  0.26500000E-07  0.64215446E-11  0.10839844E+07  0.15970203E+13  0.13603920E+13 -0.10067746E+12  0.89534940E+07  0.36621094E-05  0.78717041E-01  0.35227264E+20  0.15380859E-03  0.10682373E+00  0.27802357E+06  0.25195313E-02  0.10447266E+00 -0.48261725E+07 -0.13018920E+06  0.78453369E-01  0.11274170E+00  0.89534940E+07  0.36621094E-05  0.78717041E-01  0.14477234E+03      126016  0.73242187E-05  9
    54  0.27000000E-07  0.64215180E-11  0.10839844E+07  0.16201250E+13  0.13838404E+13 -0.10213638E+12  0.89542176E+07  0.36621094E-05  0.78175049E-01  0.35034275E+20  0.15380859E-03  0.10682373E+00  0.28085338E+06  0.26367188E-02  0.10423828E+00 -0.48265973E+07 -0.13018920E+06  0.77911377E-01  0.11274170E+00  0.89542176E+07  0.36621094E-05  0.78175049E-01  0.14733751E+03      126784  0.73242187E-05  9
    55  0.27500000E-07  0.64212810E-11  0.10839844E+07  0.16432043E+13  0.14073639E+13 -0.10359037E+12  0.89560133E+07  0.36621094E-05  0.77633057E-01  0.34842480E+20  0.15380859E-03  0.10682373E+00  0.28388795E+06  0.26367188E-02  0.10423828E+00 -0.48268098E+07 -0.13018920E+06  0.77362061E-01  0.11285889E+00  0.89560133E+07  0.36621094E-05  0.77633057E-01  0.14994742E+03      126976  0.73242187E-05  9
