it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286141E+09  0.54286141E+09  0.00000000E+00  0.15751283E+08  0.46691895E-04  0.10680084E+00  0.10000000E+12  0.10546875E+00  0.97968750E-01  0.24045094E+06  0.90911865E-03  0.10721832E+00 -0.11759855E+08 -0.14952000E+06  0.12000000E+00  0.00000000E+00  0.12454641E+07  0.11953125E+00  0.11296875E+00  0.00000000E+00      192832  0.18310547E-05 11
     1  0.20000000E-09  0.72386530E-12  0.55311795E+06  0.10400653E+11  0.70401409E+10 -0.17538696E+10  0.14504091E+08  0.91552734E-06  0.10670013E+00  0.83216901E+20  0.31127930E-04  0.10680359E+00  0.20584900E+06  0.11810303E-03  0.10680817E+00 -0.11630106E+08 -0.14952000E+06  0.10655090E+00  0.10772644E+00  0.14504091E+08  0.91552734E-06  0.10670013E+00  0.41625960E+02      191104  0.18310547E-05 11
     2  0.40000000E-09  0.20234742E-11  0.21627093E+07  0.10348464E+12  0.76437951E+11 -0.69115806E+10  0.12878469E+08  0.34790039E-04  0.10626892E+00  0.72514060E+20  0.21972656E-04  0.10680908E+00  0.13153255E+06  0.11956787E-02  0.10804504E+00 -0.10172436E+08 -0.14952000E+06  0.10593384E+00  0.10805054E+00  0.12878469E+08  0.34790039E-04  0.10626892E+00  0.49210940E+02      177280  0.36621094E-05 10
     3  0.60000000E-09  0.21724509E-11  0.23495364E+07  0.21318861E+12  0.15925614E+12 -0.10071082E+11  0.11687977E+08  0.18310547E-05  0.10580017E+00  0.72360758E+20  0.21972656E-04  0.10680908E+00  0.92406354E+05  0.11956787E-02  0.10804504E+00 -0.93312799E+07 -0.14952000E+06  0.10542847E+00  0.10840210E+00  0.11687977E+08  0.18310547E-05  0.10580017E+00  0.53498960E+02      183040  0.36621094E-05 10
     4  0.80000000E-09  0.22715068E-11  0.21240234E+07  0.31171821E+12  0.23334456E+12 -0.12743144E+11  0.10887775E+08  0.18310547E-05  0.10537537E+00  0.72155653E+20  0.21972656E-04  0.10680908E+00  0.74310346E+05  0.11901855E-02  0.10874634E+00 -0.86328037E+07 -0.14952000E+06  0.10498901E+00  0.10863647E+00  0.10887775E+08  0.18310547E-05  0.10537537E+00  0.57294944E+02      181312  0.36621094E-05 10
     5  0.10000000E-08  0.23461121E-11  0.19592285E+07  0.39759498E+12  0.29770605E+12 -0.15162478E+11  0.10334326E+08  0.18310547E-05  0.10498352E+00  0.71956694E+20  0.21972656E-04  0.10680908E+00  0.67204310E+05  0.11901855E-02  0.10874634E+00 -0.80716249E+07 -0.14952000E+06  0.10460083E+00  0.10869507E+00  0.10334326E+08  0.18310547E-05  0.10498352E+00  0.60851162E+02      168448  0.36621094E-05 10
     6  0.12000000E-08  0.24039955E-11  0.18127441E+07  0.47293360E+12  0.35402698E+12 -0.17408763E+11  0.99310004E+07  0.18310547E-05  0.10462097E+00  0.71778730E+20  0.21972656E-04  0.10680908E+00  0.51554793E+05  0.12084961E-02  0.10792236E+00 -0.76189079E+07 -0.14952000E+06  0.10423462E+00  0.10875732E+00  0.99310004E+07  0.18310547E-05  0.10462097E+00  0.64243682E+02      162880  0.36621094E-05 10
     7  0.14000000E-08  0.25592428E-11  0.17211914E+07  0.54004209E+12  0.40415094E+12 -0.19515506E+11  0.96222280E+07  0.18310547E-05  0.10427673E+00  0.71607654E+20  0.21972656E-04  0.10680908E+00  0.66891242E+05  0.12084961E-02  0.10795166E+00 -0.72445196E+07 -0.14952000E+06  0.10389038E+00  0.10887451E+00  0.96222280E+07  0.18310547E-05  0.10427673E+00  0.67449510E+02      155200  0.36621094E-05 10
     8  0.16000000E-08  0.60040627E-11  0.16388195E+07  0.60070125E+12  0.44947138E+12 -0.21508691E+11  0.93779975E+07  0.36621094E-05  0.10394897E+00  0.71450467E+20  0.21972656E-04  0.10680908E+00  0.89165911E+05  0.12084961E-02  0.10798096E+00 -0.69286911E+07 -0.14952000E+06  0.10356812E+00  0.10899170E+00  0.93779975E+07  0.36621094E-05  0.10394897E+00  0.69834830E+02      145792  0.73242187E-05  9
     9  0.18000000E-08  0.60857178E-11  0.15380859E+07  0.65625225E+12  0.49102920E+12 -0.23407061E+11  0.91784901E+07  0.36621094E-05  0.10364136E+00  0.71292615E+20  0.21972656E-04  0.10680908E+00  0.10611708E+06  0.12084961E-02  0.10799561E+00 -0.66582789E+07 -0.14952000E+06  0.10326050E+00  0.10899170E+00  0.91784901E+07  0.36621094E-05  0.10364136E+00  0.71144914E+02      146752  0.73242187E-05  9
