it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286141E+09  0.54286141E+09  0.00000000E+00  0.11874215E+08  0.18310547E-05  0.10679993E+00  0.10000000E+12  0.46875000E-03  0.45468750E-01  0.89862544E+05  0.11901855E-02  0.10816040E+00 -0.88706635E+07 -0.11278080E+06  0.12000000E+00  0.00000000E+00  0.93943578E+06  0.11953125E+00  0.11296875E+00  0.00000000E+00      119296  0.36621094E-05 10
     1  0.20000000E-09  0.20621673E-11  0.00000000E+00  0.54232044E+09  0.54324473E+09 -0.12062626E+06  0.11872855E+08  0.18310547E-05  0.10679993E+00  0.12197975E+17  0.18310547E-05  0.10679993E+00  0.89862514E+05  0.11901855E-02  0.10816040E+00 -0.88706385E+07 -0.11278080E+06  0.10678894E+00  0.10682190E+00  0.11872855E+08  0.18310547E-05  0.10679993E+00  0.25803361E+01      119296  0.36621094E-05 10
     2  0.40000000E-09  0.22693546E-11  0.65917969E+06  0.58820334E+10  0.38545480E+10 -0.11529651E+10  0.10720755E+08  0.18310547E-05  0.10666809E+00  0.34127989E+20  0.36621094E-05  0.10680542E+00  0.15616521E+06  0.60424805E-04  0.10680359E+00 -0.87546799E+07 -0.11278080E+06  0.10657288E+00  0.10766785E+00  0.10720755E+08  0.18310547E-05  0.10666809E+00  0.55442218E+01      119104  0.36621094E-05 10
     3  0.60000000E-09  0.22811688E-11  0.95214844E+06  0.23561262E+11  0.15673736E+11 -0.36542821E+10  0.10443237E+08  0.18310547E-05  0.10647766E+00  0.29538787E+20  0.15380859E-03  0.10682373E+00  0.86225410E+05  0.11901855E-02  0.10816040E+00 -0.78148289E+07 -0.11278080E+06  0.10628540E+00  0.10781616E+00  0.10443237E+08  0.18310547E-05  0.10647766E+00  0.84884349E+01      119488  0.36621094E-05 10
     4  0.80000000E-09  0.24291488E-11  0.11352539E+07  0.42339171E+11  0.29059699E+11 -0.50829793E+10  0.98144662E+07  0.18310547E-05  0.10625061E+00  0.29415161E+20  0.15380859E-03  0.10682373E+00  0.80307753E+05  0.11901855E-02  0.10816040E+00 -0.77757293E+07 -0.11278080E+06  0.10602905E+00  0.10793335E+00  0.98144662E+07  0.18310547E-05  0.10625061E+00  0.11278084E+02      112576  0.36621094E-05 10
     5  0.10000000E-08  0.29601043E-11  0.10712061E+07  0.60435577E+11  0.42039326E+11 -0.61949523E+10  0.93746510E+07  0.36621094E-05  0.10603638E+00  0.29373580E+20  0.15380859E-03  0.10682373E+00  0.73544116E+05  0.11901855E-02  0.10816040E+00 -0.72785046E+07 -0.11278080E+06  0.10580200E+00  0.10805054E+00  0.93746510E+07  0.36621094E-05  0.10603638E+00  0.13679060E+02      105664  0.36621094E-05 10
     6  0.12000000E-08  0.61992752E-11  0.10620117E+07  0.77056522E+11  0.53964800E+11 -0.71876958E+10  0.90280844E+07  0.36621094E-05  0.10582397E+00  0.29313363E+20  0.15380859E-03  0.10682373E+00  0.66853637E+05  0.11901855E-02  0.10816040E+00 -0.68905180E+07 -0.11278080E+06  0.10558960E+00  0.10810913E+00  0.90280844E+07  0.36621094E-05  0.10582397E+00  0.14896835E+02      106432  0.73242187E-05  9
     7  0.14000000E-08  0.63857655E-11  0.95214844E+06  0.92169423E+11  0.64795329E+11 -0.81186996E+10  0.87427565E+07  0.36621094E-05  0.10563354E+00  0.29244725E+20  0.15380859E-03  0.10682373E+00  0.57658311E+05  0.11901855E-02  0.10804321E+00 -0.66187293E+07 -0.11278080E+06  0.10539185E+00  0.10805420E+00  0.87427565E+07  0.36621094E-05  0.10563354E+00  0.15871906E+02      104512  0.73242187E-05  9
     8  0.16000000E-08  0.65160280E-11  0.95214844E+06  0.10583121E+12  0.74565526E+11 -0.90010363E+10  0.85141066E+07  0.36621094E-05  0.10544312E+00  0.29173808E+20  0.15380859E-03  0.10682373E+00  0.50205789E+05  0.11901855E-02  0.10804321E+00 -0.64508017E+07 -0.11278080E+06  0.10520142E+00  0.10817139E+00  0.85141066E+07  0.36621094E-05  0.10544312E+00  0.16892839E+02      106816  0.73242187E-05  9
     9  0.18000000E-08  0.66306161E-11  0.87890625E+06  0.11821233E+12  0.83412783E+11 -0.98397486E+10  0.83223821E+07  0.36621094E-05  0.10526733E+00  0.29101727E+20  0.15380859E-03  0.10682373E+00  0.43652721E+05  0.11901855E-02  0.10804321E+00 -0.62977881E+07 -0.11278080E+06  0.10502563E+00  0.10817139E+00  0.83223821E+07  0.36621094E-05  0.10526733E+00  0.17918309E+02      105280  0.73242187E-05  9
    10  0.20000000E-08  0.67321632E-11  0.87890625E+06  0.12948694E+12  0.91474256E+11 -0.10636904E+11  0.81657865E+07  0.36621094E-05  0.10509155E+00  0.29034052E+20  0.15380859E-03  0.10682373E+00  0.17498533E+00  0.10034180E-02  0.10735107E+00 -0.61584212E+07 -0.11278080E+06  0.10486084E+00  0.10817139E+00  0.81657865E+07  0.36621094E-05  0.10509155E+00  0.18871373E+02      104896  0.73242187E-05  9
    11  0.22000000E-08  0.68268119E-11  0.80566406E+06  0.13978442E+12  0.98840764E+11 -0.11398820E+11  0.80327027E+07  0.36621094E-05  0.10493042E+00  0.28965223E+20  0.15380859E-03  0.10682373E+00  0.10386209E+00  0.10034180E-02  0.10735107E+00 -0.60285979E+07 -0.11278080E+06  0.10469604E+00  0.10817139E+00  0.80327027E+07  0.36621094E-05  0.10493042E+00  0.19840500E+02      104320  0.73242187E-05  9
    12  0.24000000E-08  0.69144753E-11  0.80566406E+06  0.14924446E+12  0.10561889E+12 -0.12129321E+11  0.79214868E+07  0.36621094E-05  0.10476929E+00  0.28898032E+20  0.15380859E-03  0.10682373E+00  0.67187349E-01  0.10473633E-02  0.10742432E+00 -0.59140570E+07 -0.11278080E+06  0.10453491E+00  0.10817139E+00  0.79214868E+07  0.36621094E-05  0.10476929E+00  0.20807754E+02      103360  0.73242187E-05  9
    13  0.26000000E-08  0.69956338E-11  0.76904297E+06  0.15797600E+12  0.11188918E+12 -0.12831680E+11  0.78265346E+07  0.36621094E-05  0.10461548E+00  0.28833420E+20  0.15380859E-03  0.10682373E+00  0.15199979E+00  0.10034180E-02  0.10735107E+00 -0.58044378E+07 -0.11278080E+06  0.10439209E+00  0.10828857E+00  0.78265346E+07  0.36621094E-05  0.10461548E+00  0.21718978E+02      101824  0.73242187E-05  9
