it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286141E+09  0.54286141E+09  0.00000000E+00  0.12751411E+08  0.18310547E-05  0.10679993E+00  0.10000000E+12  0.46875000E-03  0.30468750E-01  0.91311862E+05  0.11901855E-02  0.10827759E+00 -0.95258548E+07 -0.12111120E+06  0.12000000E+00  0.00000000E+00  0.10088259E+07  0.11953125E+00  0.11296875E+00  0.00000000E+00      128128  0.36621094E-05 10
     1  0.20000000E-09  0.19734769E-11  0.00000000E+00  0.54623689E+09  0.54589324E+09 -0.83299273E+06  0.12740039E+08  0.18310547E-05  0.10679993E+00  0.11653746E+18  0.18310547E-05  0.10679993E+00  0.91311714E+05  0.11901855E-02  0.10827759E+00 -0.95257407E+07 -0.12111120E+06  0.10673767E+00  0.10718079E+00  0.12740039E+08  0.18310547E-05  0.10679993E+00  0.30743484E+01      128128  0.36621094E-05 10
     2  0.40000000E-09  0.21636489E-11  0.95214844E+06  0.14963793E+11  0.99214380E+10 -0.25354317E+10  0.11694092E+08  0.18310547E-05  0.10660950E+00  0.40372482E+20  0.12084961E-03  0.10681274E+00  0.90464571E+05  0.11901855E-02  0.10827759E+00 -0.90797143E+07 -0.12111120E+06  0.10645203E+00  0.10775757E+00  0.11694092E+08  0.18310547E-05  0.10660950E+00  0.63109645E+01      129856  0.36621094E-05 10
     3  0.60000000E-09  0.22485910E-11  0.12817383E+07  0.42746660E+11  0.29765476E+11 -0.48741696E+10  0.10811880E+08  0.18310547E-05  0.10635315E+00  0.37228517E+20  0.15380859E-03  0.10682373E+00  0.85424796E+05  0.11901855E-02  0.10827759E+00 -0.84803308E+07 -0.12111120E+06  0.10611694E+00  0.10793335E+00  0.10811880E+08  0.18310547E-05  0.10635315E+00  0.95803352E+01      130432  0.36621094E-05 10
     4  0.80000000E-09  0.23615184E-11  0.13549805E+07  0.72229715E+11  0.51243222E+11 -0.64310439E+10  0.10205239E+08  0.18310547E-05  0.10608215E+00  0.37196596E+20  0.15380859E-03  0.10682373E+00  0.78499579E+05  0.11901855E-02  0.10827759E+00 -0.78891818E+07 -0.12111120E+06  0.10582397E+00  0.10805054E+00  0.10205239E+08  0.18310547E-05  0.10608215E+00  0.12615316E+02      124864  0.36621094E-05 10
     5  0.10000000E-08  0.24911128E-11  0.13000488E+07  0.99682682E+11  0.71259558E+11 -0.77519663E+10  0.97319833E+07  0.18310547E-05  0.10582214E+00  0.37121020E+20  0.15380859E-03  0.10682373E+00  0.71367759E+05  0.11901855E-02  0.10827759E+00 -0.73856068E+07 -0.12111120E+06  0.10555298E+00  0.10816772E+00  0.97319833E+07  0.18310547E-05  0.10582214E+00  0.15392023E+02      118528  0.36621094E-05 10
     6  0.12000000E-08  0.38275777E-11  0.11993758E+07  0.12449512E+12  0.89302390E+11 -0.89798501E+10  0.93640627E+07  0.36621094E-05  0.10558228E+00  0.37025608E+20  0.15380859E-03  0.10682373E+00  0.64702137E+05  0.11901855E-02  0.10827759E+00 -0.70629967E+07 -0.12111120E+06  0.10531128E+00  0.10822632E+00  0.93640627E+07  0.36621094E-05  0.10558228E+00  0.17832189E+02      114880  0.36621094E-05 10
     7  0.14000000E-08  0.62442742E-11  0.11352539E+07  0.14676040E+12  0.10546157E+12 -0.10132903E+11  0.90805325E+07  0.36621094E-05  0.10535522E+00  0.36934005E+20  0.15380859E-03  0.10682373E+00  0.49454286E+05  0.11901855E-02  0.10804321E+00 -0.68495284E+07 -0.12111120E+06  0.10508423E+00  0.10828857E+00  0.90805325E+07  0.36621094E-05  0.10535522E+00  0.18905870E+02      114880  0.73242187E-05  9
     8  0.16000000E-08  0.63653949E-11  0.10986328E+07  0.16679807E+12  0.11999000E+12 -0.11218700E+11  0.88535037E+07  0.36621094E-05  0.10513550E+00  0.36847122E+20  0.15380859E-03  0.10682373E+00  0.41166460E+05  0.11901855E-02  0.10804321E+00 -0.66567055E+07 -0.12111120E+06  0.10486450E+00  0.10828857E+00  0.88535037E+07  0.36621094E-05  0.10513550E+00  0.19976115E+02      114496  0.73242187E-05  9
     9  0.18000000E-08  0.64723882E-11  0.10620117E+07  0.18493025E+12  0.13313590E+12 -0.12246492E+11  0.86676058E+07  0.36621094E-05  0.10492310E+00  0.36754785E+20  0.15380859E-03  0.10682373E+00  0.34242325E+05  0.11901855E-02  0.10804321E+00 -0.64829195E+07 -0.12111120E+06  0.10465942E+00  0.10828857E+00  0.86676058E+07  0.36621094E-05  0.10492310E+00  0.21053420E+02      113728  0.73242187E-05  9
    10  0.20000000E-08  0.65660039E-11  0.98876953E+06  0.20144856E+12  0.14512183E+12 -0.13223618E+11  0.85184245E+07  0.36621094E-05  0.10472534E+00  0.36670569E+20  0.15380859E-03  0.10682373E+00  0.28472726E+05  0.11901855E-02  0.10804321E+00 -0.63257352E+07 -0.12111120E+06  0.10446167E+00  0.10828857E+00  0.85184245E+07  0.36621094E-05  0.10472534E+00  0.22099003E+02      113152  0.73242187E-05  9
    11  0.22000000E-08  0.66506278E-11  0.95214844E+06  0.21661129E+12  0.15614661E+12 -0.14155435E+11  0.83931489E+07  0.36621094E-05  0.10453491E+00  0.36586058E+20  0.15380859E-03  0.10682373E+00  0.13730789E+04  0.11938477E-02  0.10781982E+00 -0.61834746E+07 -0.12111120E+06  0.10427124E+00  0.10840576E+00  0.83931489E+07  0.36621094E-05  0.10453491E+00  0.23207392E+02      112576  0.73242187E-05  9
    12  0.24000000E-08  0.67248636E-11  0.95214844E+06  0.23059182E+12  0.16633033E+12 -0.15050564E+11  0.82904752E+07  0.36621094E-05  0.10434448E+00  0.36505142E+20  0.15380859E-03  0.10682373E+00  0.12331447E+05  0.11938477E-02  0.10783447E+00 -0.60544375E+07 -0.12111120E+06  0.10408813E+00  0.10840576E+00  0.82904752E+07  0.36621094E-05  0.10434448E+00  0.24211287E+02      109504  0.73242187E-05  9
    13  0.26000000E-08  0.67930194E-11  0.91552734E+06  0.24357166E+12  0.17581193E+12 -0.15912491E+11  0.82040510E+07  0.36621094E-05  0.10416138E+00  0.36423553E+20  0.15380859E-03  0.10682373E+00  0.14463184E+05  0.11938477E-02  0.10786377E+00 -0.59314850E+07 -0.12111120E+06  0.10390503E+00  0.10840576E+00  0.82040510E+07  0.36621094E-05  0.10416138E+00  0.25231775E+02      110080  0.73242187E-05  9
    14  0.28000000E-08  0.68527044E-11  0.87890625E+06  0.25569027E+12  0.18469386E+12 -0.16745358E+11  0.81314524E+07  0.36621094E-05  0.10398560E+00  0.36342554E+20  0.15380859E-03  0.10682373E+00  0.20037283E+05  0.11938477E-02  0.10787842E+00 -0.58191716E+07 -0.12111120E+06  0.10372925E+00  0.10852295E+00  0.81314524E+07  0.36621094E-05  0.10398560E+00  0.26224924E+02      109888  0.73242187E-05  9
    15  0.30000000E-08  0.69041934E-11  0.87890625E+06  0.26705815E+12  0.19305663E+12 -0.17552674E+11  0.80712867E+07  0.36621094E-05  0.10380981E+00  0.36263005E+20  0.15380859E-03  0.10682373E+00  0.20489884E+05  0.11938477E-02  0.10787842E+00 -0.57122794E+07 -0.12111120E+06  0.10355347E+00  0.10852295E+00  0.80712867E+07  0.36621094E-05  0.10380981E+00  0.27229623E+02      108928  0.73242187E-05  9
    16  0.32000000E-08  0.69460837E-11  0.87890625E+06  0.27776692E+12  0.20096674E+12 -0.18337185E+11  0.80212322E+07  0.36621094E-05  0.10363403E+00  0.36186519E+20  0.15380859E-03  0.10682373E+00  0.16111204E+05  0.11938477E-02  0.10787842E+00 -0.56117597E+07 -0.12111120E+06  0.10338501E+00  0.10852295E+00  0.80212322E+07  0.36621094E-05  0.10363403E+00  0.28155936E+02      109312  0.73242187E-05  9
    17  0.34000000E-08  0.69819160E-11  0.84228516E+06  0.28789274E+12  0.20847923E+12 -0.19100831E+11  0.79803626E+07  0.36621094E-05  0.10346558E+00  0.36107358E+20  0.15380859E-03  0.10682373E+00  0.14337839E+05  0.12084961E-02  0.10789307E+00 -0.55183417E+07 -0.12111120E+06  0.10322021E+00  0.10864014E+00  0.79803626E+07  0.36621094E-05  0.10346558E+00  0.29119046E+02      108160  0.73242187E-05  9
    18  0.36000000E-08  0.70105710E-11  0.84228516E+06  0.29750111E+12  0.21564127E+12 -0.19845619E+11  0.79465933E+07  0.36621094E-05  0.10329712E+00  0.36030932E+20  0.15380859E-03  0.10682373E+00  0.15712880E+05  0.14208984E-02  0.10530762E+00 -0.54286131E+07 -0.12111120E+06  0.10305542E+00  0.10864014E+00  0.79465933E+07  0.36621094E-05  0.10329712E+00  0.30059049E+02      107968  0.73242187E-05  9
    19  0.38000000E-08  0.70334020E-11  0.80566406E+06  0.30664796E+12  0.22249278E+12 -0.20573396E+11  0.79204991E+07  0.36621094E-05  0.10313599E+00  0.35952665E+20  0.15380859E-03  0.10682373E+00  0.26491454E+05  0.14501953E-02  0.10524902E+00 -0.53417553E+07 -0.12111120E+06  0.10289429E+00  0.10864014E+00  0.79204991E+07  0.36621094E-05  0.10313599E+00  0.31003810E+02      107392  0.73242187E-05  9
    20  0.40000000E-08  0.70512457E-11  0.80566406E+06  0.31538049E+12  0.22906753E+12 -0.21285420E+11  0.78989361E+07  0.36621094E-05  0.10297485E+00  0.35876535E+20  0.15380859E-03  0.10682373E+00  0.35828451E+05  0.14794922E-02  0.10521973E+00 -0.52613481E+07 -0.12111120E+06  0.10273682E+00  0.10864014E+00  0.78989361E+07  0.36621094E-05  0.10297485E+00  0.31939692E+02      107008  0.73242187E-05  9
    21  0.42000000E-08  0.70643211E-11  0.84228516E+06  0.32373954E+12  0.23539446E+12 -0.21982950E+11  0.78839507E+07  0.36621094E-05  0.10280640E+00  0.35799086E+20  0.15380859E-03  0.10682373E+00  0.44144453E+05  0.15087891E-02  0.10516113E+00 -0.51836580E+07 -0.12111120E+06  0.10256470E+00  0.10875732E+00  0.78839507E+07  0.36621094E-05  0.10280640E+00  0.32894699E+02      107776  0.73242187E-05  9
    22  0.44000000E-08  0.70733096E-11  0.80566406E+06  0.33175986E+12  0.24149831E+12 -0.22666895E+11  0.78726368E+07  0.36621094E-05  0.10264526E+00  0.35722424E+20  0.15380859E-03  0.10682373E+00  0.50596225E+05  0.15527344E-02  0.10514648E+00 -0.51083782E+07 -0.12111120E+06  0.10241455E+00  0.10875732E+00  0.78726368E+07  0.36621094E-05  0.10264526E+00  0.33854693E+02      106432  0.73242187E-05  9
    23  0.46000000E-08  0.70790775E-11  0.76904297E+06  0.33947232E+12  0.24740066E+12 -0.23338459E+11  0.78675364E+07  0.36621094E-05  0.10249146E+00  0.35646467E+20  0.15380859E-03  0.10682373E+00  0.58796181E+05  0.16113281E-02  0.10508789E+00 -0.50353641E+07 -0.12111120E+06  0.10224976E+00  0.10875732E+00  0.78675364E+07  0.36621094E-05  0.10249146E+00  0.34789706E+02      105088  0.73242187E-05  9
    24  0.48000000E-08  0.70817982E-11  0.80566406E+06  0.34690435E+12  0.25312087E+12 -0.23998437E+11  0.78647387E+07  0.36621094E-05  0.10233032E+00  0.35570043E+20  0.15380859E-03  0.10682373E+00  0.64355415E+05  0.16113281E-02  0.10508789E+00 -0.49561869E+07 -0.12111120E+06  0.10209595E+00  0.10875732E+00  0.78647387E+07  0.36621094E-05  0.10233032E+00  0.35712897E+02      105088  0.73242187E-05  9
    25  0.50000000E-08  0.70820052E-11  0.76904297E+06  0.35407819E+12  0.25867460E+12 -0.24647490E+11  0.78627770E+07  0.36621094E-05  0.10217651E+00  0.35493243E+20  0.15380859E-03  0.10682373E+00  0.73695960E+05  0.16699219E-02  0.10502930E+00 -0.48910251E+07 -0.12111120E+06  0.10194580E+00  0.10887451E+00  0.78627770E+07  0.36621094E-05  0.10217651E+00  0.36652158E+02      105856  0.73242187E-05  9
    26  0.52000000E-08  0.70801275E-11  0.80566406E+06  0.36101496E+12  0.26407657E+12 -0.25286468E+11  0.78674524E+07  0.36621094E-05  0.10201538E+00  0.35417204E+20  0.15380859E-03  0.10682373E+00  0.77618794E+05  0.16699219E-02  0.10502930E+00 -0.48279552E+07 -0.12111120E+06  0.10178101E+00  0.10887451E+00  0.78674524E+07  0.36621094E-05  0.10201538E+00  0.37550688E+02      104704  0.73242187E-05  9
