it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286141E+09  0.54286141E+09  0.11920929E-06  0.13662277E+08  0.18310547E-05  0.10679993E+00  0.10000000E+12  0.46875000E-03  0.15468750E-01  0.14222223E+06  0.11956787E-02  0.10798645E+00 -0.10206375E+08 -0.12976200E+06  0.12000000E+00  0.00000000E+00  0.10808849E+07  0.11953125E+00  0.11296875E+00  0.00000000E+00      139648  0.36621094E-05 10
     1  0.50000000E-09  0.21517623E-11  0.86425781E+06  0.50900598E+11  0.36084697E+11 -0.51636377E+10  0.11638657E+08  0.18310547E-05  0.10636780E+00  0.46441992E+20  0.15380859E-03  0.10682373E+00  0.12794156E+06  0.11956787E-02  0.10798645E+00 -0.90812528E+07 -0.12976200E+06  0.10610962E+00  0.10799194E+00  0.11638657E+08  0.18310547E-05  0.10636780E+00  0.80252380E+01      145024  0.36621094E-05 10
     2  0.10000000E-08  0.24121413E-11  0.15673828E+07  0.15922556E+12  0.11595191E+12 -0.97961581E+10  0.10034802E+08  0.18310547E-05  0.10558411E+00  0.46245979E+20  0.15380859E-03  0.10682373E+00  0.69132598E+05  0.11901855E-02  0.10839478E+00 -0.75589417E+07 -0.12976200E+06  0.10528198E+00  0.10834351E+00  0.10034802E+08  0.18310547E-05  0.10558411E+00  0.15925466E+02      135232  0.36621094E-05 10
     3  0.15000000E-08  0.61678884E-11  0.13366749E+07  0.24203290E+12  0.17680521E+12 -0.13307924E+11  0.92459797E+07  0.36621094E-05  0.10491577E+00  0.45953201E+20  0.15380859E-03  0.10682373E+00  0.26976837E+04  0.11938477E-02  0.10784912E+00 -0.69079410E+07 -0.12976200E+06  0.10460815E+00  0.10840576E+00  0.92459797E+07  0.36621094E-05  0.10491577E+00  0.21387964E+02      122176  0.73242187E-05  9
     4  0.20000000E-08  0.64097313E-11  0.12011719E+07  0.30611391E+12  0.22387997E+12 -0.16361557E+11  0.88080076E+07  0.36621094E-05  0.10431519E+00  0.45684637E+20  0.15380859E-03  0.10682373E+00  0.13463687E+05  0.12084961E-02  0.10792236E+00 -0.64249873E+07 -0.12976200E+06  0.10402222E+00  0.10852295E+00  0.88080076E+07  0.36621094E-05  0.10431519E+00  0.23969717E+02      121600  0.73242187E-05  9
     5  0.25000000E-08  0.65840877E-11  0.10986328E+07  0.35841041E+12  0.26248157E+12 -0.19113553E+11  0.85452519E+07  0.36621094E-05  0.10376587E+00  0.45434512E+20  0.15380859E-03  0.10682373E+00  0.23357154E+05  0.12084961E-02  0.10795166E+00 -0.60516787E+07 -0.12976200E+06  0.10348022E+00  0.10864014E+00  0.85452519E+07  0.36621094E-05  0.10376587E+00  0.26428367E+02      118144  0.73242187E-05  9
     6  0.30000000E-08  0.67068593E-11  0.10400391E+07  0.40292763E+12  0.29560903E+12 -0.21649443E+11  0.83841514E+07  0.36621094E-05  0.10324585E+00  0.45187971E+20  0.15380859E-03  0.10682373E+00  0.40172253E+05  0.12084961E-02  0.10799561E+00 -0.57426414E+07 -0.12976200E+06  0.10296021E+00  0.10875732E+00  0.83841514E+07  0.36621094E-05  0.10324585E+00  0.28835480E+02      118336  0.73242187E-05  9
     7  0.35000000E-08  0.67819264E-11  0.99609375E+06  0.44203472E+12  0.32500725E+12 -0.24023334E+11  0.82910422E+07  0.36621094E-05  0.10274780E+00  0.44947081E+20  0.15380859E-03  0.10682373E+00  0.51627744E+05  0.12084961E-02  0.10799561E+00 -0.54827251E+07 -0.12976200E+06  0.10246216E+00  0.10887451E+00  0.82910422E+07  0.36621094E-05  0.10274780E+00  0.31204269E+02      117760  0.73242187E-05  9
     8  0.40000000E-08  0.68213600E-11  0.98144531E+06  0.47720122E+12  0.35174406E+12 -0.26271448E+11  0.82467276E+07  0.36621094E-05  0.10225708E+00  0.44710191E+20  0.15380859E-03  0.10682373E+00  0.64774761E+05  0.17285156E-02  0.10502930E+00 -0.52583150E+07 -0.12976200E+06  0.10197876E+00  0.10887451E+00  0.82467276E+07  0.36621094E-05  0.10225708E+00  0.33566836E+02      116224  0.73242187E-05  9
     9  0.45000000E-08  0.68347735E-11  0.95214844E+06  0.50941547E+12  0.37653087E+12 -0.28419338E+11  0.82378122E+07  0.36621094E-05  0.10178101E+00  0.44471479E+20  0.15380859E-03  0.10682373E+00  0.89150817E+05  0.17871094E-02  0.10491211E+00 -0.50596296E+07 -0.12976200E+06  0.10150269E+00  0.10899170E+00  0.82378122E+07  0.36621094E-05  0.10178101E+00  0.35864562E+02      115840  0.73242187E-05  9
    10  0.50000000E-08  0.68289413E-11  0.96679688E+06  0.53937903E+12  0.39987081E+12 -0.30485076E+11  0.82566147E+07  0.36621094E-05  0.10129761E+00  0.44234102E+20  0.15380859E-03  0.10682373E+00  0.10680484E+06  0.19042969E-02  0.10485352E+00 -0.48730545E+07 -0.12976200E+06  0.10102661E+00  0.10910889E+00  0.82566147E+07  0.36621094E-05  0.10129761E+00  0.38178626E+02      115648  0.73242187E-05  9
    11  0.55000000E-08  0.68100723E-11  0.95214844E+06  0.56761003E+12  0.42213354E+12 -0.32482794E+11  0.82947243E+07  0.36621094E-05  0.10082153E+00  0.43998119E+20  0.15380859E-03  0.10682373E+00  0.12466255E+06  0.19628906E-02  0.10479492E+00 -0.47230769E+07 -0.12976200E+06  0.10055786E+00  0.10922607E+00  0.82947243E+07  0.36621094E-05  0.10082153E+00  0.40504069E+02      113728  0.73242187E-05  9
    12  0.60000000E-08  0.67823938E-11  0.95214844E+06  0.59452834E+12  0.44361865E+12 -0.34423174E+11  0.83474060E+07  0.36621094E-05  0.10034546E+00  0.43759228E+20  0.15380859E-03  0.10682373E+00  0.13883006E+06  0.20214844E-02  0.10473633E+00 -0.45777544E+07 -0.12976200E+06  0.10008179E+00  0.10922607E+00  0.83474060E+07  0.36621094E-05  0.10034546E+00  0.42823625E+02      113344  0.73242187E-05  9
