it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286141E+09  0.54286141E+09 -0.11920929E-06  0.13313658E+08  0.18310547E-05  0.10679993E+00  0.10000000E+12  0.67968750E-01  0.10546875E+00  0.13853798E+06  0.11956787E-02  0.10798645E+00 -0.99459319E+07 -0.12645120E+06  0.12000000E+00  0.00000000E+00  0.10533068E+07  0.11953125E+00  0.11296875E+00  0.00000000E+00      135616  0.36621094E-05 10
     1  0.10000000E-08  0.24305302E-11  0.11206055E+07  0.13399393E+12  0.96908409E+11 -0.90513248E+10  0.99305023E+07  0.18310547E-05  0.10567932E+00  0.42587340E+20  0.15380859E-03  0.10682373E+00  0.69387012E+05  0.11901855E-02  0.10827759E+00 -0.74677751E+07 -0.12645120E+06  0.10538452E+00  0.10822632E+00  0.99305023E+07  0.18310547E-05  0.10567932E+00  0.15186347E+02      128128  0.36621094E-05 10
     2  0.20000000E-08  0.64667386E-11  0.12030043E+07  0.26193245E+12  0.19053704E+12 -0.15140487E+11  0.87159451E+07  0.36621094E-05  0.10447632E+00  0.42068722E+20  0.15380859E-03  0.10682373E+00  0.53399181E+04  0.11938477E-02  0.10787842E+00 -0.63956235E+07 -0.12645120E+06  0.10419067E+00  0.10840576E+00  0.87159451E+07  0.36621094E-05  0.10447632E+00  0.22393963E+02      117376  0.73242187E-05  9
     3  0.30000000E-08  0.67705120E-11  0.10107422E+07  0.34551012E+12  0.25216955E+12 -0.20025502E+11  0.82894178E+07  0.36621094E-05  0.10346558E+00  0.41610010E+20  0.15380859E-03  0.10682373E+00  0.22712838E+05  0.12084961E-02  0.10798096E+00 -0.57409465E+07 -0.12645120E+06  0.10319458E+00  0.10864014E+00  0.82894178E+07  0.36621094E-05  0.10346558E+00  0.26836889E+02      114496  0.73242187E-05  9
     4  0.40000000E-08  0.68900835E-11  0.93017578E+06  0.40869420E+12  0.29970274E+12 -0.24280635E+11  0.81438369E+07  0.36621094E-05  0.10253540E+00  0.41166365E+20  0.15380859E-03  0.10682373E+00  0.56253256E+05  0.16113281E-02  0.10508789E+00 -0.52681276E+07 -0.12645120E+06  0.10227173E+00  0.10887451E+00  0.81438369E+07  0.36621094E-05  0.10253540E+00  0.31260850E+02      113536  0.73242187E-05  9
     5  0.50000000E-08  0.69016021E-11  0.90087891E+06  0.46077871E+12  0.33987046E+12 -0.28144591E+11  0.81392992E+07  0.36621094E-05  0.10163452E+00  0.40730419E+20  0.15380859E-03  0.10682373E+00  0.99425284E+05  0.17871094E-02  0.10497070E+00 -0.48840872E+07 -0.12645120E+06  0.10137817E+00  0.10899170E+00  0.81392992E+07  0.36621094E-05  0.10163452E+00  0.35643800E+02      112192  0.73242187E-05  9
     6  0.60000000E-08  0.68641874E-11  0.89355469E+06  0.50622803E+12  0.37585250E+12 -0.31741682E+11  0.82031692E+07  0.36621094E-05  0.10074097E+00  0.40289628E+20  0.15380859E-03  0.10682373E+00  0.12456999E+06  0.19042969E-02  0.10479492E+00 -0.45909439E+07 -0.12645120E+06  0.10049194E+00  0.10910889E+00  0.82031692E+07  0.36621094E-05  0.10074097E+00  0.39909100E+02      110464  0.73242187E-05  9
     7  0.70000000E-08  0.68073525E-11  0.88623047E+06  0.54763911E+12  0.40948275E+12 -0.35144740E+11  0.83018302E+07  0.36621094E-05  0.99854736E-01  0.39854605E+20  0.15380859E-03  0.10682373E+00  0.14675571E+06  0.20214844E-02  0.10473633E+00 -0.43153715E+07 -0.12645120E+06  0.99602051E-01  0.10934326E+00  0.83018302E+07  0.36621094E-05  0.99854736E-01  0.44148315E+02      112000  0.73242187E-05  9
     8  0.80000000E-08  0.67472900E-11  0.90820313E+06  0.58662722E+12  0.44188580E+12 -0.38402093E+11  0.84101204E+07  0.36621094E-05  0.98946533E-01  0.39419789E+20  0.15380859E-03  0.10682373E+00  0.16097705E+06  0.21386719E-02  0.10461914E+00 -0.43043347E+07 -0.12645120E+06  0.98704834E-01  0.10946045E+00  0.84101204E+07  0.36621094E-05  0.98946533E-01  0.48496446E+02      112192  0.73242187E-05  9
     9  0.90000000E-08  0.66857486E-11  0.91552734E+06  0.62413940E+12  0.47370671E+12 -0.41544265E+11  0.85135101E+07  0.36621094E-05  0.98031006E-01  0.38984835E+20  0.15380859E-03  0.10682373E+00  0.16221758E+06  0.21679687E-02  0.10458984E+00 -0.43774324E+07 -0.12645120E+06  0.97789307E-01  0.10957764E+00  0.85135101E+07  0.36621094E-05  0.98031006E-01  0.52840724E+02      112192  0.73242187E-05  9
