BOLSIG+ script file: bolsig_to_coefficients_air.txt
READCOLLISIONS
N2
cross_section_air_phelps.txt
C1    N2    Effective (momentum)                                
R112  47.1 Td    1.20 eV                                        
R113  48.8 Td    1.22 eV                                        
R114  50.5 Td    1.24 eV                                        
R115  52.3 Td    1.27 eV                                        
R116  54.2 Td    1.30 eV                                        
R117  56.1 Td    1.33 eV                                        
R118  58.1 Td    1.36 eV                                        
R119  60.1 Td    1.41 eV                                        
R120  62.2 Td    1.45 eV                                        
R121  64.4 Td    1.50 eV                                        
R122  66.7 Td    1.56 eV                                        
R123  69.1 Td    1.62 eV                                        
R124  71.5 Td    1.69 eV                                        
R125  74.0 Td    1.77 eV                                        
R126  76.6 Td    1.85 eV                                        
R127  79.3 Td    1.93 eV                                        
R128  82.1 Td    2.03 eV                                        
R129  85.0 Td    2.12 eV                                        
R130  88.0 Td    2.23 eV                                        
R131  91.2 Td    2.33 eV                                        
R132  94.4 Td    2.45 eV                                        
R133  97.7 Td    2.56 eV                                        
R134  101. Td    2.68 eV                                        
R135  105. Td    2.81 eV                                        
R136  108. Td    2.93 eV                                        
R137  112. Td    3.06 eV                                        
R138  116. Td    3.20 eV                                        
R139  120. Td    3.33 eV                                        
R140  125. Td    3.46 eV                                        
R141  129. Td    3.60 eV                                        
R142  134. Td    3.74 eV                                        
R143  138. Td    3.87 eV                                        
R144  143. Td    4.01 eV                                        
R145  148. Td    4.15 eV                                        
R146  153. Td    4.29 eV                                        
R147  159. Td    4.42 eV                                        
R148  164. Td    4.56 eV                                        
R149  170. Td    4.70 eV                                        
R150  176. Td    4.84 eV                                        
R151  183. Td    4.98 eV                                        
R152  189. Td    5.12 eV                                        
R153  196. Td    5.26 eV                                        
R154  203. Td    5.40 eV                                        
R155  210. Td    5.54 eV                                        
R156  217. Td    5.68 eV                                        
R157  225. Td    5.83 eV                                        
R158  233. Td    5.97 eV                                        
R159  241. Td    6.12 eV                                        
R160  249. Td    6.27 eV                                        
R161  258. Td    6.42 eV                                        
R162  267. Td    6.57 eV                                        
R163  277. Td    6.73 eV                                        
R164  287. Td    6.89 eV                                        
R165  297. Td    7.05 eV                                        
R166  307. Td    7.22 eV                                        
R167  318. Td    7.39 eV                                        
R168  329. Td    7.56 eV                                        
R169  341. Td    7.73 eV                                        
R170  353. Td    7.91 eV                                        
R171  365. Td    8.10 eV                                        
R172  378. Td    8.29 eV                                        
R173  392. Td    8.48 eV                                        
R174  406. Td    8.68 eV                                        
R175  420. Td    8.88 eV                                        
R176  435. Td    9.09 eV                                        
R177  450. Td    9.31 eV                                        
R178  466. Td    9.53 eV                                        
R179  482. Td    9.76 eV                                        
R180  499. Td    9.99 eV                                        
R181  517. Td    10.2 eV                                        
R182  535. Td    10.5 eV                                        
R183  554. Td    10.7 eV                                        
R184  574. Td    11.0 eV                                        
R185  594. Td    11.3 eV                                        
R186  615. Td    11.6 eV                                        
R187  637. Td    11.8 eV                                        
R188  659. Td    12.1 eV                                        
R189  683. Td    12.4 eV                                        
R190  707. Td    12.8 eV                                        
R191  732. Td    13.1 eV                                        
R192  758. Td    13.4 eV                                        
R193  784. Td    13.8 eV                                        
R194  812. Td    14.1 eV                                        
R195  841. Td    14.5 eV                                        
R196  870. Td    14.9 eV                                        
R197  901. Td    15.3 eV                                        
R198  933. Td    15.7 eV                                        
R199  966. Td    16.1 eV                                        
R200  1000. Td    16.6 eV                                       
SAVERESULTS
convert_air.txt
FINISHED
