time  field
---------------
0.00000000e+00  1.50000000e+06
6.00120024e-12  1.50000000e+06
1.20024005e-11  1.50000000e+06
1.80036007e-11  1.50000000e+06
2.40048010e-11  1.50000000e+06
3.00060012e-11  1.50000000e+06
3.60072014e-11  1.50000000e+06
4.20084017e-11  1.50000000e+06
4.80096019e-11  1.50000000e+06
5.40108022e-11  1.50000000e+06
6.00120024e-11  1.50000000e+06
6.60132026e-11  1.50000000e+06
7.20144029e-11  1.50000000e+06
7.80156031e-11  1.50000000e+06
8.40168034e-11  1.50000000e+06
9.00180036e-11  1.50000000e+06
9.60192038e-11  1.50000000e+06
1.02020404e-10  1.50000000e+06
1.08021604e-10  1.50000000e+06
1.14022805e-10  1.50000000e+06
1.20024005e-10  1.50000000e+06
1.26025205e-10  1.50000000e+06
1.32026405e-10  1.50000000e+06
1.38027606e-10  1.50000000e+06
1.44028806e-10  1.50000000e+06
1.50030006e-10  1.50000000e+06
1.56031206e-10  1.50000000e+06
1.62032406e-10  1.50000000e+06
1.68033607e-10  1.50000000e+06
1.74034807e-10  1.50000000e+06
1.80036007e-10  1.50000000e+06
1.86037207e-10  1.50000000e+06
1.92038408e-10  1.50000000e+06
1.98039608e-10  1.50000000e+06
2.04040808e-10  1.50000000e+06
2.10042008e-10  1.50000000e+06
2.16043209e-10  1.50000000e+06
2.22044409e-10  1.50000000e+06
2.28045609e-10  1.50000000e+06
2.34046809e-10  1.50000000e+06
2.40048010e-10  1.50000000e+06
2.46049210e-10  1.50000000e+06
2.52050410e-10  1.50000000e+06
2.58051610e-10  1.50000000e+06
2.64052811e-10  1.50000000e+06
2.70054011e-10  1.50000000e+06
2.76055211e-10  1.50000000e+06
2.82056411e-10  1.50000000e+06
2.88057612e-10  1.50000000e+06
2.94058812e-10  1.50000000e+06
3.00060012e-10  1.50000000e+06
3.06061212e-10  1.50000000e+06
3.12062412e-10  1.50000000e+06
3.18063613e-10  1.50000000e+06
3.24064813e-10  1.50000000e+06
3.30066013e-10  1.50000000e+06
3.36067213e-10  1.50000000e+06
3.42068414e-10  1.50000000e+06
3.48069614e-10  1.50000000e+06
3.54070814e-10  1.50000000e+06
3.60072014e-10  1.50000000e+06
3.66073215e-10  1.50000000e+06
3.72074415e-10  1.50000000e+06
3.78075615e-10  1.50000000e+06
3.84076815e-10  1.50000000e+06
3.90078016e-10  1.50000000e+06
3.96079216e-10  1.50000000e+06
4.02080416e-10  1.50000000e+06
4.08081616e-10  1.50000000e+06
4.14082817e-10  1.50000000e+06
4.20084017e-10  1.50000000e+06
4.26085217e-10  1.50000000e+06
4.32086417e-10  1.50000000e+06
4.38087618e-10  1.50000000e+06
4.44088818e-10  1.50000000e+06
4.50090018e-10  1.50000000e+06
4.56091218e-10  1.50000000e+06
4.62092418e-10  1.50000000e+06
4.68093619e-10  1.50000000e+06
4.74094819e-10  1.50000000e+06
4.80096019e-10  1.50000000e+06
4.86097219e-10  1.50000000e+06
4.92098420e-10  1.50000000e+06
4.98099620e-10  1.50000000e+06
5.04100820e-10  1.50000000e+06
5.10102020e-10  1.50000000e+06
5.16103221e-10  1.50000000e+06
5.22104421e-10  1.50000000e+06
5.28105621e-10  1.50000000e+06
5.34106821e-10  1.50000000e+06
5.40108022e-10  1.50000000e+06
5.46109222e-10  1.50000000e+06
5.52110422e-10  1.50000000e+06
5.58111622e-10  1.50000000e+06
5.64112823e-10  1.50000000e+06
