BOLSIG+ version: 11/2019
Collision input data:
--------------------------------------------------
Ar                                                              
SigloDataBase-LXCat-04Jun2013.txt
How to reference in publications:
1) Yamabe, Buckman, and Phelps, Phys. Rev. 27, 1345 (1983). Revised Oct 1997
2) PHELPS database,http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013.
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. *N (1/m/s)                               
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29    
          23   51.28       6.280      0.8671E+24  0.7300E+25  0.1190E+25  0.5580E+25  0.1406E-12  0.2028E-12  0.7438E-17  0.1673E-21  0.2280E-14  0.3288E-16  0.2201E-14  0.4671E-16   30.06       4.000       1.000    
          24   55.87       6.354      0.8557E+24  0.7257E+25  0.1179E+25  0.5563E+25  0.1425E-12  0.2055E-12  0.1059E-16  0.2215E-21  0.2671E-14  0.3369E-16  0.2570E-14  0.6730E-16   30.06       4.000       1.000    
          25   60.65       6.429      0.8452E+24  0.7215E+25  0.1168E+25  0.5548E+25  0.1444E-12  0.2081E-12  0.1465E-16  0.2857E-21  0.3109E-14  0.3449E-16  0.2981E-14  0.9416E-16   35.85       9.000       2.000    
          26   65.64       6.503      0.8355E+24  0.7173E+25  0.1158E+25  0.5535E+25  0.1462E-12  0.2105E-12  0.1975E-16  0.3601E-21  0.3600E-14  0.3530E-16  0.3436E-14  0.1284E-15   35.85       5.000       1.000    
          27   70.83       6.577      0.8264E+24  0.7132E+25  0.1148E+25  0.5523E+25  0.1481E-12  0.2128E-12  0.2604E-16  0.4448E-21  0.4146E-14  0.3609E-16  0.3939E-14  0.1713E-15   35.85       5.000       1.000    
          28   76.23       6.650      0.8179E+24  0.7092E+25  0.1140E+25  0.5512E+25  0.1499E-12  0.2150E-12  0.3367E-16  0.5400E-21  0.4753E-14  0.3689E-16  0.4492E-14  0.2239E-15   35.85       5.000       1.000    
          29   81.83       6.723      0.8101E+24  0.7052E+25  0.1132E+25  0.5503E+25  0.1516E-12  0.2171E-12  0.4279E-16  0.6454E-21  0.5425E-14  0.3768E-16  0.5099E-14  0.2877E-15   35.85       5.000       1.000    
          30   87.64       6.796      0.8027E+24  0.7012E+25  0.1124E+25  0.5495E+25  0.1533E-12  0.2191E-12  0.5354E-16  0.7611E-21  0.6165E-14  0.3847E-16  0.5762E-14  0.3639E-15   42.75       10.00       2.000    
          31   93.64       6.869      0.7957E+24  0.6972E+25  0.1117E+25  0.5489E+25  0.1550E-12  0.2210E-12  0.6609E-16  0.8869E-21  0.6978E-14  0.3926E-16  0.6485E-14  0.4539E-15   42.75       5.000       1.000    
          32   99.86       6.941      0.7892E+24  0.6933E+25  0.1110E+25  0.5484E+25  0.1567E-12  0.2229E-12  0.8057E-16  0.1022E-20  0.7869E-14  0.4004E-16  0.7270E-14  0.5593E-15   42.75       5.000       1.000    
          33   106.3       7.013      0.7830E+24  0.6895E+25  0.1104E+25  0.5481E+25  0.1583E-12  0.2246E-12  0.9715E-16  0.1168E-20  0.8843E-14  0.4081E-16  0.8121E-14  0.6814E-15   42.75       5.000       1.000    
