it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
    13  0.26000000E-08  0.67124170E-11  0.98876953E+06  0.29167856E+12  0.21200225E+12 -0.17397483E+11  0.83331167E+07  0.36621094E-05  0.10395630E+00  0.40183525E+20  0.15380859E-03  0.10682373E+00  0.22169559E+05  0.11938477E-02  0.10787842E+00 -0.59639195E+07 -0.12480000E+06  0.10368896E+00  0.10852295E+00  0.83331167E+07  0.36621094E-05  0.10395630E+00  0.21480786E+02      103360  0.73242187E-05  9
    14  0.28000000E-08  0.67690007E-11  0.95214844E+06  0.30607408E+12  0.22262044E+12 -0.18308401E+11  0.82626393E+07  0.36621094E-05  0.10376587E+00  0.40094994E+20  0.15380859E-03  0.10682373E+00  0.20092975E+05  0.11938477E-02  0.10787842E+00 -0.58465945E+07 -0.12480000E+06  0.10349854E+00  0.10864014E+00  0.82626393E+07  0.36621094E-05  0.10376587E+00  0.22476823E+02      101440  0.73242187E-05  9
    15  0.30000000E-08  0.68215166E-11  0.95214844E+06  0.31961923E+12  0.23264929E+12 -0.19192222E+11  0.82044270E+07  0.36621094E-05  0.10357544E+00  0.40007689E+20  0.15380859E-03  0.10682373E+00  0.14623408E+05  0.11938477E-02  0.10787842E+00 -0.57325609E+07 -0.12480000E+06  0.10330811E+00  0.10864014E+00  0.82044270E+07  0.36621094E-05  0.10357544E+00  0.23453919E+02      102592  0.73242187E-05  9
    16  0.32000000E-08  0.68582673E-11  0.91552734E+06  0.33241978E+12  0.24216599E+12 -0.20051471E+11  0.81571431E+07  0.36621094E-05  0.10339233E+00  0.39920513E+20  0.15380859E-03  0.10682373E+00  0.10749349E+05  0.12084961E-02  0.10789307E+00 -0.56303728E+07 -0.12480000E+06  0.10313232E+00  0.10864014E+00  0.81571431E+07  0.36621094E-05  0.10339233E+00  0.24464180E+02      101440  0.73242187E-05  9
    17  0.34000000E-08  0.69144257E-11  0.91552734E+06  0.34456522E+12  0.25123541E+12 -0.20888777E+11  0.81187476E+07  0.36621094E-05  0.10320923E+00  0.39834213E+20  0.15380859E-03  0.10682373E+00  0.18527697E+05  0.14501953E-02  0.10527832E+00 -0.55324429E+07 -0.12480000E+06  0.10295654E+00  0.10864014E+00  0.81187476E+07  0.36621094E-05  0.10320923E+00  0.25454481E+02      100864  0.73242187E-05  9
    18  0.36000000E-08  0.69337636E-11  0.87890625E+06  0.35613131E+12  0.25991205E+12 -0.21706364E+11  0.80881327E+07  0.36621094E-05  0.10303345E+00  0.39752709E+20  0.15380859E-03  0.10682373E+00  0.29322038E+05  0.14794922E-02  0.10521973E+00 -0.54364404E+07 -0.12480000E+06  0.10278076E+00  0.10875732E+00  0.80881327E+07  0.36621094E-05  0.10303345E+00  0.26375654E+02      101248  0.73242187E-05  9
    19  0.38000000E-08  0.69497492E-11  0.87890625E+06  0.36717852E+12  0.26823943E+12 -0.22505739E+11  0.80634697E+07  0.36621094E-05  0.10285767E+00  0.39666745E+20  0.15380859E-03  0.10682373E+00  0.39334261E+05  0.15380859E-02  0.10519043E+00 -0.53492358E+07 -0.12480000E+06  0.10260498E+00  0.10875732E+00  0.80634697E+07  0.36621094E-05  0.10285767E+00  0.27348927E+02      101632  0.73242187E-05  9
    20  0.40000000E-08  0.69624325E-11  0.91552734E+06  0.37775659E+12  0.27625308E+12 -0.23288414E+11  0.80459815E+07  0.36621094E-05  0.10267456E+00  0.39582917E+20  0.15380859E-03  0.10682373E+00  0.45877574E+05  0.16113281E-02  0.10514648E+00 -0.52827061E+07 -0.12480000E+06  0.10242920E+00  0.10875732E+00  0.80459815E+07  0.36621094E-05  0.10267456E+00  0.28306469E+02      100288  0.73242187E-05  9
    21  0.42000000E-08  0.70245347E-11  0.84228516E+06  0.38791278E+12  0.28398668E+12 -0.24055920E+11  0.80347870E+07  0.36621094E-05  0.10250610E+00  0.39497425E+20  0.15380859E-03  0.10682373E+00  0.56846418E+05  0.16113281E-02  0.10508789E+00 -0.52134784E+07 -0.12480000E+06  0.10225342E+00  0.10887451E+00  0.80347870E+07  0.36621094E-05  0.10250610E+00  0.29262977E+02       99136  0.73242187E-05  9
    22  0.44000000E-08  0.70278773E-11  0.87890625E+06  0.39768997E+12  0.29147077E+12 -0.24809396E+11  0.80279725E+07  0.36621094E-05  0.10233032E+00  0.39412842E+20  0.15380859E-03  0.10682373E+00  0.65596728E+05  0.16699219E-02  0.10508789E+00 -0.51449819E+07 -0.12480000E+06  0.10207764E+00  0.10887451E+00  0.80279725E+07  0.36621094E-05  0.10233032E+00  0.30227466E+02       98560  0.73242187E-05  9
    23  0.46000000E-08  0.70280018E-11  0.87890625E+06  0.40712616E+12  0.29873257E+12 -0.25549804E+11  0.80234077E+07  0.36621094E-05  0.10215454E+00  0.39329174E+20  0.15380859E-03  0.10682373E+00  0.72179439E+05  0.16699219E-02  0.10497070E+00 -0.50800335E+07 -0.12480000E+06  0.10190186E+00  0.10887451E+00  0.80234077E+07  0.36621094E-05  0.10215454E+00  0.31114931E+02       98752  0.73242187E-05  9
    24  0.48000000E-08  0.70241935E-11  0.84228516E+06  0.41625413E+12  0.30579541E+12 -0.26277935E+11  0.80250197E+07  0.36621094E-05  0.10198608E+00  0.39245042E+20  0.15380859E-03  0.10682373E+00  0.81566125E+05  0.17285156E-02  0.10497070E+00 -0.50160810E+07 -0.12480000E+06  0.10174072E+00  0.10887451E+00  0.80250197E+07  0.36621094E-05  0.10198608E+00  0.32055823E+02       98944  0.73242187E-05  9
