it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
     0  0.00000000E+00  0.10000000E-13  0.00000000E+00  0.54286141E+09  0.54286141E+09  0.00000000E+00  0.11876160E+08  0.18310547E-05  0.10679993E+00  0.10000000E+12  0.52968750E-01  0.97968750E-01  0.25239015E+06  0.86791992E-03  0.10717163E+00 -0.88732695E+07 -0.11280000E+06  0.12000000E+00  0.00000000E+00  0.93959571E+06  0.11953125E+00  0.11296875E+00  0.00000000E+00      103168  0.36621094E-05 10
     1  0.20000000E-09  0.20619636E-11  0.00000000E+00  0.54230197E+09  0.54323559E+09 -0.11395259E+06  0.11874794E+08  0.18310547E-05  0.10679993E+00  0.12256783E+17  0.18310547E-05  0.10679993E+00  0.25238553E+06  0.86791992E-03  0.10717163E+00 -0.88732513E+07 -0.11280000E+06  0.10678894E+00  0.10682190E+00  0.11874794E+08  0.18310547E-05  0.10679993E+00  0.24138477E+01      103168  0.36621094E-05 10
     2  0.40000000E-09  0.22905610E-11  0.66839767E+06  0.56824557E+10  0.37537366E+10 -0.10858250E+10  0.10720844E+08  0.36621094E-05  0.10666626E+00  0.33997506E+20  0.36621094E-05  0.10680542E+00  0.19966333E+06  0.86791992E-03  0.10717163E+00 -0.87779441E+07 -0.11280000E+06  0.10657104E+00  0.10758179E+00  0.10720844E+08  0.36621094E-05  0.10666626E+00  0.54311505E+01      100672  0.36621094E-05 10
     3  0.60000000E-09  0.25382559E-11  0.95214844E+06  0.22531219E+11  0.15186381E+11 -0.32757783E+10  0.10461939E+08  0.36621094E-05  0.10647583E+00  0.29688990E+20  0.15380859E-03  0.10682373E+00  0.92591370E+05  0.11901855E-02  0.10804321E+00 -0.81575183E+07 -0.11280000E+06  0.10628540E+00  0.10781616E+00  0.10461939E+08  0.36621094E-05  0.10647583E+00  0.83993883E+01       96064  0.36621094E-05 10
     4  0.80000000E-09  0.57057758E-11  0.11352539E+07  0.41483648E+11  0.28635246E+11 -0.47660372E+10  0.98319092E+07  0.36621094E-05  0.10624878E+00  0.29557711E+20  0.15380859E-03  0.10682373E+00  0.85577429E+05  0.11901855E-02  0.10804321E+00 -0.79586145E+07 -0.11280000E+06  0.10602905E+00  0.10793335E+00  0.98319092E+07  0.36621094E-05  0.10624878E+00  0.99628952E+01       96448  0.73242187E-05  9
     5  0.10000000E-08  0.59384749E-11  0.10986328E+07  0.59969259E+11  0.41828357E+11 -0.60023959E+10  0.93791357E+07  0.36621094E-05  0.10602905E+00  0.29516087E+20  0.15380859E-03  0.10682373E+00  0.76861775E+05  0.11901855E-02  0.10804321E+00 -0.76006410E+07 -0.11280000E+06  0.10580200E+00  0.10799194E+00  0.93791357E+07  0.36621094E-05  0.10602905E+00  0.11166184E+02       97984  0.73242187E-05  9
     6  0.12000000E-08  0.61557113E-11  0.10253906E+07  0.76951741E+11  0.53977768E+11 -0.70777829E+10  0.90172171E+07  0.36621094E-05  0.10582397E+00  0.29453941E+20  0.15380859E-03  0.10682373E+00  0.67754744E+05  0.11901855E-02  0.10804321E+00 -0.73397085E+07 -0.11280000E+06  0.10558960E+00  0.10805420E+00  0.90172171E+07  0.36621094E-05  0.10582397E+00  0.12281477E+02       99712  0.73242187E-05  9
     7  0.14000000E-08  0.63588284E-11  0.98876953E+06  0.92393235E+11  0.65041734E+11 -0.80467645E+10  0.87252975E+07  0.36621094E-05  0.10562622E+00  0.29386882E+20  0.15380859E-03  0.10682373E+00  0.19961794E+00  0.11645508E-02  0.10771729E+00 -0.70924207E+07 -0.11280000E+06  0.10538452E+00  0.10805420E+00  0.87252975E+07  0.36621094E-05  0.10562622E+00  0.13360147E+02       97408  0.73242187E-05  9
     8  0.16000000E-08  0.65345998E-11  0.91552734E+06  0.10633523E+12  0.75018975E+11 -0.89453990E+10  0.84910453E+07  0.36621094E-05  0.10544312E+00  0.29315286E+20  0.15380859E-03  0.10682373E+00  0.18335382E-01  0.11499023E-02  0.10767334E+00 -0.68645460E+07 -0.11280000E+06  0.10519775E+00  0.10805420E+00  0.84910453E+07  0.36621094E-05  0.10544312E+00  0.14403414E+02       95872  0.73242187E-05  9
     9  0.18000000E-08  0.66511055E-11  0.91552734E+06  0.11896120E+12  0.84051352E+11 -0.97909563E+10  0.82968154E+07  0.36621094E-05  0.10526001E+00  0.29243088E+20  0.15380859E-03  0.10682373E+00  0.72478255E-01  0.10473633E-02  0.10742432E+00 -0.66699602E+07 -0.11280000E+06  0.10502197E+00  0.10817139E+00  0.82968154E+07  0.36621094E-05  0.10526001E+00  0.15446875E+02       95104  0.73242187E-05  9
    10  0.20000000E-08  0.67534117E-11  0.84228516E+06  0.13043861E+12  0.92263102E+11 -0.10593653E+11  0.81407415E+07  0.36621094E-05  0.10509155E+00  0.29173916E+20  0.15380859E-03  0.10682373E+00  0.16496380E+00  0.10034180E-02  0.10735107E+00 -0.64809519E+07 -0.11280000E+06  0.10486084E+00  0.10817139E+00  0.81407415E+07  0.36621094E-05  0.10509155E+00  0.16453634E+02       94720  0.73242187E-05  9
    11  0.22000000E-08  0.69070073E-11  0.80566406E+06  0.14093034E+12  0.99775498E+11 -0.11360173E+11  0.80076405E+07  0.36621094E-05  0.10493042E+00  0.29103892E+20  0.15380859E-03  0.10682373E+00  0.74280302E-01  0.10473633E-02  0.10742432E+00 -0.63073991E+07 -0.11280000E+06  0.10469971E+00  0.10817139E+00  0.80076405E+07  0.36621094E-05  0.10493042E+00  0.17576423E+02       94336  0.73242187E-05  9
    12  0.24000000E-08  0.70631933E-11  0.80566406E+06  0.15056377E+12  0.10668301E+12 -0.12095057E+11  0.78976309E+07  0.36621094E-05  0.10476929E+00  0.29038956E+20  0.15380859E-03  0.10682373E+00  0.15452504E+00  0.10034180E-02  0.10735107E+00 -0.61502940E+07 -0.11280000E+06  0.10453857E+00  0.10828857E+00  0.78976309E+07  0.36621094E-05  0.10476929E+00  0.18566212E+02       92992  0.73242187E-05  9
    13  0.26000000E-08  0.72326029E-11  0.76904297E+06  0.15944884E+12  0.11306653E+12 -0.12802391E+11  0.78041457E+07  0.36621094E-05  0.10461548E+00  0.28971698E+20  0.15380859E-03  0.10682373E+00  0.18154184E+00  0.10034180E-02  0.10735107E+00 -0.60085304E+07 -0.11280000E+06  0.10439209E+00  0.10828857E+00  0.78041457E+07  0.36621094E-05  0.10461548E+00  0.19461332E+02       92800  0.73242187E-05  9
