BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_phelps.txt
--------------------------------------------------
O2                                                              
cross_section_phelps.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction N2                          0.8000    
A22    Mole fraction O2                          0.2000    
          R#      A1         A16         A17    
         169   3.195       3.000       2.435    
         170   3.217       3.000       2.435    
         171   3.240       3.000       2.435    
         172   3.262       3.000       2.435    
         173   3.285       3.000       2.435    
         174   3.308       3.000       2.435    
         175   3.331       3.000       2.435    
         176   3.354       3.000       2.435    
         177   3.377       3.000       2.435    
         178   3.400       3.000       2.435    
         179   3.424       3.000       2.435    
         180   3.448       3.000       2.435    
         181   3.472       3.000       2.435    
         182   3.496       3.000       2.435    
         183   3.520       3.000       2.435    
         184   3.544       3.000       2.435    
         185   3.569       3.000       2.435    
         186   3.594       3.000       2.435    
         187   3.619       3.000       2.435    
         188   3.644       3.000       2.435    
         189   3.669       3.000       2.435    
         190   3.695       3.000       2.435    
         191   3.720       3.000       2.435    
         192   3.746       3.000       2.435    
         193   3.772       3.000       2.435    
         194   3.798       3.000       2.435    
         195   3.825       3.000       2.435    
         196   3.851       3.000       2.435    
         197   3.878       3.000       2.435    
         198   3.905       3.000       2.435    
         199   3.932       3.000       2.435    
         200   3.959       3.000       2.435    
         201   3.987       3.000       2.435    
         202   4.014       3.000       2.435    
         203   4.042       3.000       2.435    
         204   4.070       3.000       2.435    
         205   4.098       3.000       2.435    
         206   4.127       3.000       2.435    
         207   4.155       3.000       2.435    
         208   4.184       3.000       2.435    
         209   4.213       3.000       2.435    
         210   4.243       3.000       2.435    
         211   4.272       3.000       2.435    
         212   4.302       3.000       2.435    
         213   4.331       3.000       2.435    
         214   4.362       3.000       2.435    
         215   4.392       3.000       2.435    
         216   4.422       3.000       2.435    
         217   4.453       3.000       2.435    
         218   4.484       3.000       2.435    
         219   4.515       3.000       2.435    
         220   4.546       3.000       2.435    
         221   4.578       3.000       2.435    
         222   4.610       3.000       2.435    
         223   4.642       3.000       2.435    
         224   4.674       3.000       2.435    
         225   4.706       3.000       2.435    
         226   4.739       3.000       2.435    
         227   4.772       3.000       2.435    
         228   4.805       3.000       2.435    
         229   4.838       3.000       2.435    
         230   4.872       3.000       2.435    
         231   4.906       3.000       2.435    
         232   4.940       3.000       2.435    
         233   4.974       3.000       2.435    
         234   5.008       3.000       2.435    
         235   5.043       3.000       2.435    
         236   5.078       3.000       2.435    
         237   5.113       3.000       2.435    
         238   5.149       3.000       2.435    
         239   5.185       3.000       2.435    
         240   5.221       3.000       2.435    
         241   5.257       3.000       2.435    
         242   5.293       3.000       2.435    
         243   5.330       3.000       2.435    
         244   5.367       3.000       2.435    
         245   5.404       3.000       2.435    
         246   5.442       3.000       2.435    
         247   5.479       3.000       2.435    
         248   5.517       3.000       2.435    
         249   5.556       3.000       2.435    
         250   5.594       3.000       2.435    
         251   5.633       3.000       2.435    
         252   5.672       3.000       2.435    
         253   5.712       3.000       2.435    
         254   5.751       3.000       2.435    
         255   5.791       3.000       2.900    
         256   5.831       3.000       2.900    
         257   5.872       3.000       2.900    
         258   5.913       3.000       2.900    
         259   5.954       3.000       2.900    
         260   5.995       3.000       2.900    
         261   6.036       3.000       2.900    
         262   6.078       3.000       2.900    
         263   6.120       3.000       2.900    
         264   6.163       3.000       2.900    
         265   6.206       3.000       2.900    
         266   6.249       3.000       2.900    
         267   6.292       3.000       2.900    
         268   6.336       3.000       2.900    
         269   6.380       3.000       2.900    
         270   6.424       3.000       2.900    
         271   6.469       3.000       2.900    
         272   6.513       3.000       2.900    
         273   6.559       3.000       2.900    
         274   6.604       3.000       2.900    
         275   6.650       3.000       2.900    
         276   6.696       3.000       2.900    
         277   6.743       3.000       2.900    
         278   6.789       3.000       2.900    
         279   6.837       3.000       2.900    
         280   6.884       3.000       2.900    
         281   6.932       3.000       2.900    
         282   6.980       3.000       2.900    
         283   7.028       3.000       2.900    
         284   7.077       3.000       2.900    
         285   7.126       3.000       2.900    
         286   7.176       3.000       2.900    
         287   7.225       3.000       2.900    
         288   7.275       3.000       2.900    
         289   7.326       3.000       2.900    
         290   7.377       3.000       2.900    
         291   7.428       3.000       2.900    
         292   7.480       3.000       2.900    
         293   7.531       3.000       2.900    
         294   7.584       3.000       2.900    
         295   7.636       3.000       2.900    
         296   7.689       3.000       2.900    
         297   7.743       3.000       2.900    
         298   7.796       3.000       2.900    
         299   7.850       3.000       2.900    
         300   7.905       3.000       2.900    
