BOLSIG+ script file: bolsig_to_coefficients_CO2.txt
READCOLLISIONS
CO2
cross_section_CO2_IST-Lisbon.txt
C1    CO2    Attachment                                         
C2    CO2    Effective (momentum)                               
R136  108. Td    3.81 eV                                        
R137  112. Td    3.90 eV                                        
R138  116. Td    3.99 eV                                        
R139  120. Td    4.09 eV                                        
R140  125. Td    4.18 eV                                        
R141  129. Td    4.28 eV                                        
R142  134. Td    4.37 eV                                        
R143  138. Td    4.47 eV                                        
R144  143. Td    4.57 eV                                        
R145  148. Td    4.67 eV                                        
R146  153. Td    4.77 eV                                        
R147  159. Td    4.87 eV                                        
R148  164. Td    4.97 eV                                        
R149  170. Td    5.07 eV                                        
R150  176. Td    5.17 eV                                        
R151  183. Td    5.28 eV                                        
R152  189. Td    5.39 eV                                        
R153  196. Td    5.49 eV                                        
R154  203. Td    5.60 eV                                        
R155  210. Td    5.71 eV                                        
R156  217. Td    5.83 eV                                        
R157  225. Td    5.94 eV                                        
R158  233. Td    6.05 eV                                        
R159  241. Td    6.17 eV                                        
R160  249. Td    6.29 eV                                        
R161  258. Td    6.41 eV                                        
R162  267. Td    6.53 eV                                        
R163  277. Td    6.65 eV                                        
R164  287. Td    6.78 eV                                        
R165  297. Td    6.90 eV                                        
R166  307. Td    7.03 eV                                        
R167  318. Td    7.16 eV                                        
R168  329. Td    7.30 eV                                        
R169  341. Td    7.43 eV                                        
R170  353. Td    7.57 eV                                        
R171  365. Td    7.71 eV                                        
R172  378. Td    7.85 eV                                        
R173  392. Td    7.99 eV                                        
R174  406. Td    8.14 eV                                        
R175  420. Td    8.29 eV                                        
R176  435. Td    8.44 eV                                        
R177  450. Td    8.59 eV                                        
R178  466. Td    8.75 eV                                        
R179  482. Td    8.91 eV                                        
R180  499. Td    9.07 eV                                        
R181  517. Td    9.24 eV                                        
R182  535. Td    9.41 eV                                        
R183  554. Td    9.58 eV                                        
R184  574. Td    9.76 eV                                        
R185  594. Td    9.93 eV                                        
R186  615. Td    10.1 eV                                        
R187  637. Td    10.3 eV                                        
R188  659. Td    10.5 eV                                        
R189  683. Td    10.7 eV                                        
R190  707. Td    10.9 eV                                        
R191  732. Td    11.1 eV                                        
R192  758. Td    11.3 eV                                        
R193  784. Td    11.5 eV                                        
R194  812. Td    11.7 eV                                        
R195  841. Td    12.0 eV                                        
R196  870. Td    12.2 eV                                        
R197  901. Td    12.4 eV                                        
R198  933. Td    12.7 eV                                        
R199  966. Td    12.9 eV                                        
R200  1000. Td    13.2 eV                                       
SAVERESULTS
convert_CO2.txt
FINISHED
