BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
C4F7N                                                           
cross_section_C4F7N.txt
--------------------------------------------------
CO2                                                             
cross_section_CO2_IST-Lisbon.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction C4F7N                       0.8000E-01
A22    Mole fraction CO2                         0.9200    
          R#      A1         A16         A17    
         165   525.3       3.000       84.70    
         166   545.8       3.000       84.70    
         167   567.1       3.000       84.70    
         168   589.1       3.000       84.70    
         169   612.1       3.000       84.70    
         170   635.9       3.000       100.2    
         171   660.7       3.000       100.2    
         172   686.4       3.000       100.2    
         173   713.1       3.000       100.2    
         174   740.9       3.000       100.2    
         175   769.7       3.000       118.6    
         176   799.7       3.000       118.6    
         177   830.8       3.000       118.6    
         178   863.2       3.000       118.6    
         179   896.8       3.000       118.6    
         180   931.7       3.000       118.6    
         181   968.0       3.000       140.2    
         182   1006.       3.000       140.2    
         183   1045.       3.000       140.2    
         184   1085.       3.000       140.2    
         185   1128.       3.000       165.8    
         186   1172.       3.000       165.8    
         187   1217.       3.000       165.8    
         188   1265.       3.000       165.8    
         189   1314.       3.000       165.8    
         190   1365.       3.000       196.1    
         191   1418.       3.000       196.1    
         192   1473.       3.000       196.1    
         193   1531.       3.000       196.1    
         194   1590.       3.000       231.9    
         195   1652.       3.000       231.9    
         196   1717.       3.000       231.9    
         197   1783.       3.000       231.9    
         198   1853.       3.000       274.3    
         199   1925.       3.000       274.3    
         200   2000.       3.000       274.3    
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. D*N (1/m/s)                              
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A17    Total attachment freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A19    Townsend attach. coef. eta/N (m2)                               
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A17         A18         A19         A20         A21         A22         A23         A27         A28         A29    
           1   1.000      0.2516E-02  0.2008E+25  0.3940E+22  0.3596E+25  0.2310E+23  0.9217E-13  0.8761E-13   0.000      0.2208E-14   0.000      0.1100E-17  0.2008E-17 -0.8682E-19  0.7834E-17 -0.5731E-17  0.4677       73.00       2.000    
           2   1.039      0.2592E-02  0.2000E+25  0.4012E+22  0.3566E+25  0.2311E+23  0.9241E-13  0.8795E-13   0.000      0.2257E-14   0.000      0.1086E-17  0.2159E-17 -0.8653E-19  0.8274E-17 -0.6021E-17  0.4677       34.00       1.000    
           3   1.079      0.2671E-02  0.1992E+25  0.4088E+22  0.3537E+25  0.2314E+23  0.9265E-13  0.8829E-13   0.000      0.2307E-14   0.000      0.1073E-17  0.2321E-17 -0.8624E-19  0.8748E-17 -0.6333E-17  0.4677       34.00       1.000    
           4   1.121      0.2754E-02  0.1984E+25  0.4169E+22  0.3510E+25  0.2318E+23  0.9289E-13  0.8864E-13   0.000      0.2361E-14   0.000      0.1061E-17  0.2495E-17 -0.8596E-19  0.9257E-17 -0.6669E-17  0.4677       35.00       1.000    
           5   1.165      0.2841E-02  0.1977E+25  0.4254E+22  0.3482E+25  0.2323E+23  0.9314E-13  0.8898E-13   0.000      0.2417E-14   0.000      0.1049E-17  0.2683E-17 -0.8567E-19  0.9806E-17 -0.7030E-17  0.4677       36.00       1.000    
           6   1.210      0.2932E-02  0.1969E+25  0.4345E+22  0.3456E+25  0.2331E+23  0.9338E-13  0.8933E-13   0.000      0.2475E-14   0.000      0.1039E-17  0.2885E-17 -0.8538E-19  0.1040E-16 -0.7419E-17  0.4677       36.00       1.000    
           7   1.258      0.3027E-02  0.1961E+25  0.4441E+22  0.3431E+25  0.2340E+23  0.9362E-13  0.8967E-13   0.000      0.2536E-14   0.000      0.1028E-17  0.3102E-17 -0.8510E-19  0.1103E-16 -0.7837E-17  0.4677       37.00       1.000    
           8   1.307      0.3127E-02  0.1954E+25  0.4542E+22  0.3406E+25  0.2352E+23  0.9386E-13  0.9001E-13   0.000      0.2600E-14   0.000      0.1018E-17  0.3336E-17 -0.8480E-19  0.1171E-16 -0.8287E-17  0.4677       38.00       1.000    
           9   1.357      0.3231E-02  0.1947E+25  0.4649E+22  0.3383E+25  0.2365E+23  0.9410E-13  0.9034E-13   0.000      0.2667E-14   0.000      0.1009E-17  0.3587E-17 -0.8451E-19  0.1245E-16 -0.8772E-17  0.4677       38.00       1.000    
          10   1.410      0.3341E-02  0.1940E+25  0.4763E+22  0.3360E+25  0.2382E+23  0.9434E-13  0.9068E-13   0.000      0.2736E-14   0.000      0.1000E-17  0.3858E-17 -0.8421E-19  0.1324E-16 -0.9293E-17  0.4677       39.00       1.000    
          11   1.465      0.3455E-02  0.1933E+25  0.4882E+22  0.3339E+25  0.2401E+23  0.9458E-13  0.9101E-13   0.000      0.2809E-14   0.000      0.9921E-18  0.4149E-17 -0.8390E-19  0.1409E-16 -0.9855E-17  0.4677       40.00       1.000    
          12   1.522      0.3576E-02  0.1926E+25  0.5009E+22  0.3318E+25  0.2424E+23  0.9482E-13  0.9133E-13   0.000      0.2885E-14   0.000      0.9842E-18  0.4462E-17 -0.8358E-19  0.1501E-16 -0.1046E-16  0.4677       41.00       1.000    
          13   1.581      0.3702E-02  0.1919E+25  0.5142E+22  0.3298E+25  0.2451E+23  0.9505E-13  0.9165E-13   0.000      0.2964E-14   0.000      0.9767E-18  0.4799E-17 -0.8325E-19  0.1600E-16 -0.1111E-16  0.4677       43.00       1.000    
          14   1.643      0.3834E-02  0.1912E+25  0.5284E+22  0.3279E+25  0.2482E+23  0.9529E-13  0.9197E-13   0.000      0.3047E-14   0.000      0.9696E-18  0.5163E-17 -0.8292E-19  0.1707E-16 -0.1182E-16  0.4677       44.00       1.000    
          15   1.707      0.3973E-02  0.1906E+25  0.5434E+22  0.3261E+25  0.2518E+23  0.9552E-13  0.9228E-13   0.000      0.3133E-14   0.000      0.9628E-18  0.5554E-17 -0.8257E-19  0.1822E-16 -0.1258E-16  0.4677       46.00       1.000    
          16   1.773      0.4119E-02  0.1900E+25  0.5594E+22  0.3244E+25  0.2560E+23  0.9575E-13  0.9258E-13   0.000      0.3222E-14   0.000      0.9564E-18  0.5975E-17 -0.8220E-19  0.1947E-16 -0.1341E-16  0.4677       48.00       1.000    
          17   1.843      0.4274E-02  0.1894E+25  0.5764E+22  0.3228E+25  0.2609E+23  0.9598E-13  0.9288E-13   0.000      0.3316E-14   0.000      0.9503E-18  0.6429E-17 -0.8182E-19  0.2082E-16 -0.1430E-16  0.4677       50.00       1.000    
          18   1.914      0.4438E-02  0.1888E+25  0.5946E+22  0.3212E+25  0.2667E+23  0.9621E-13  0.9318E-13   0.000      0.3413E-14   0.000      0.9445E-18  0.6917E-17 -0.8142E-19  0.2228E-16 -0.1528E-16  0.4677       52.00       1.000    
          19   1.989      0.4613E-02  0.1882E+25  0.6141E+22  0.3198E+25  0.2736E+23  0.9644E-13  0.9346E-13   0.000      0.3514E-14   0.000      0.9390E-18  0.7443E-17 -0.8099E-19  0.2386E-16 -0.1634E-16  0.4677       55.00       1.000    
          20   2.066      0.4801E-02  0.1876E+25  0.6353E+22  0.3185E+25  0.2818E+23  0.9667E-13  0.9374E-13   0.000      0.3620E-14   0.000      0.9338E-18  0.8010E-17 -0.8054E-19  0.2560E-16 -0.1750E-16  0.4677       58.00       1.000    
          21   2.147      0.5004E-02  0.1871E+25  0.6584E+22  0.3173E+25  0.2918E+23  0.9690E-13  0.9402E-13   0.000      0.3730E-14   0.000      0.9288E-18  0.8621E-17 -0.8005E-19  0.2749E-16 -0.1878E-16  0.4677       62.00       1.000    
          22   2.230      0.5321E-02  0.1889E+25  0.7148E+22  0.3213E+25  0.3119E+23  0.9726E-13  0.9310E-13   0.000      0.3883E-14   0.000      0.9217E-18  0.9397E-17 -0.7949E-19  0.3032E-16 -0.2084E-16  0.5570       140.0       2.000    
          23   2.317      0.5577E-02  0.1883E+25  0.7441E+22  0.3202E+25  0.3284E+23  0.9747E-13  0.9341E-13   0.000      0.4002E-14   0.000      0.9172E-18  0.1011E-16 -0.7886E-19  0.3268E-16 -0.2249E-16  0.5570       80.00       1.000    
          24   2.407      0.5875E-02  0.1877E+25  0.7789E+22  0.3193E+25  0.3499E+23  0.9769E-13  0.9371E-13   0.000      0.4125E-14   0.000      0.9128E-18  0.1088E-16 -0.7814E-19  0.3536E-16 -0.2440E-16  0.5570       89.00       1.000    
          25   2.501      0.6238E-02  0.1871E+25  0.8221E+22  0.3188E+25  0.3792E+23  0.9792E-13  0.9399E-13   0.000      0.4253E-14   0.000      0.9086E-18  0.1171E-16 -0.7725E-19  0.3848E-16 -0.2669E-16  0.5570       102.0       1.000    
          26   2.598      0.6717E-02  0.1866E+25  0.8804E+22  0.3190E+25  0.4215E+23  0.9814E-13  0.9424E-13   0.000      0.4386E-14   0.000      0.9043E-18  0.1260E-16 -0.7610E-19  0.4230E-16 -0.2962E-16  0.5570       120.0       1.000    
          27   2.700      0.7435E-02  0.1862E+25  0.9699E+22  0.3202E+25  0.4879E+23  0.9836E-13  0.9444E-13   0.000      0.4523E-14   0.000      0.8997E-18  0.1357E-16 -0.7438E-19  0.4744E-16 -0.3379E-16  0.5570       149.0       1.000    
          28   2.805      0.8807E-02  0.1861E+25  0.1145E+23  0.3237E+25  0.6058E+23  0.9857E-13  0.9452E-13   0.000      0.4664E-14   0.000      0.8937E-18  0.1464E-16 -0.7111E-19  0.5594E-16 -0.4123E-16  0.5570       197.0       1.000    
          29   2.914      0.1458E-01  0.1889E+25  0.1911E+23  0.3367E+25  0.9050E+23  0.9878E-13  0.9313E-13   0.000      0.4814E-14   0.000      0.8748E-18  0.1604E-16 -0.5755E-19  0.8649E-16 -0.7039E-16  0.6634       534.0       2.000    
          30   3.027      0.2835E-01  0.1931E+25  0.3709E+23  0.3459E+25  0.1153E+24  0.9877E-13  0.9106E-13   0.000      0.4889E-14   0.000      0.8362E-18  0.1770E-16 -0.2487E-19  0.1565E-15 -0.1388E-15  0.6634       167.0       1.000    
          31   3.145      0.4113E-01  0.1974E+25  0.5388E+23  0.3498E+25  0.1252E+24  0.9867E-13  0.8911E-13   0.000      0.4930E-14   0.000      0.7942E-18  0.1952E-16  0.5259E-20  0.2225E-15 -0.2029E-15  0.6634       95.00       1.000    
          32   3.268      0.5152E-01  0.2017E+25  0.6774E+23  0.3526E+25  0.1312E+24  0.9856E-13  0.8720E-13   0.000      0.4963E-14   0.000      0.7530E-18  0.2154E-16  0.2959E-19  0.2773E-15 -0.2558E-15  0.7902       129.0       2.000    
          33   3.395      0.5773E-01  0.2038E+25  0.7607E+23  0.3543E+25  0.1352E+24  0.9845E-13  0.8631E-13   0.000      0.4992E-14   0.000      0.7215E-18  0.2349E-16  0.4397E-19  0.3117E-15 -0.2883E-15  0.7902       51.00       1.000    
          34   3.527      0.6266E-01  0.2055E+25  0.8279E+23  0.3559E+25  0.1390E+24  0.9834E-13  0.8558E-13   0.000      0.5018E-14   0.000      0.6922E-18  0.2557E-16  0.5527E-19  0.3400E-15 -0.3145E-15  0.7902       41.00       1.000    
          35   3.664      0.6757E-01  0.2079E+25  0.8963E+23  0.3579E+25  0.1428E+24  0.9821E-13  0.8459E-13   0.000      0.5040E-14   0.000      0.6614E-18  0.2792E-16  0.6649E-19  0.3685E-15 -0.3406E-15  0.9411       67.00       2.000    
          36   3.807      0.7088E-01  0.2092E+25  0.9430E+23  0.3596E+25  0.1465E+24  0.9808E-13  0.8409E-13   0.000      0.5060E-14   0.000      0.6355E-18  0.3031E-16  0.7382E-19  0.3890E-15 -0.3588E-15  0.9411       31.00       1.000    
          37   3.955      0.7421E-01  0.2108E+25  0.9915E+23  0.3616E+25  0.1504E+24  0.9795E-13  0.8345E-13   0.000      0.5077E-14   0.000      0.6091E-18  0.3297E-16  0.8122E-19  0.4098E-15 -0.3769E-15   1.121       55.00       2.000    
          38   4.109      0.7684E-01  0.2118E+25  0.1030E+24  0.3635E+25  0.1544E+24  0.9781E-13  0.8303E-13   0.000      0.5094E-14   0.000      0.5852E-18  0.3577E-16  0.8685E-19  0.4272E-15 -0.3915E-15   1.121       27.00       1.000    
          39   4.269      0.7975E-01  0.2136E+25  0.1074E+24  0.3658E+25  0.1588E+24  0.9765E-13  0.8236E-13   0.000      0.5106E-14   0.000      0.5601E-18  0.3892E-16  0.9314E-19  0.4462E-15 -0.4074E-15   1.335       74.00       2.000    
          40   4.435      0.4678      0.3019E+25  0.1225E+25  0.6303E+25  0.2871E+25  0.7593E-13  0.5827E-13   0.000      0.3963E-14   0.000      0.2960E-18  0.5939E-16  0.4264E-18  0.1913E-14 -0.1854E-14   3.223       819.0       6.000    
          41   4.608      0.5010      0.3065E+25  0.1317E+25  0.6287E+25  0.2927E+25  0.7435E-13  0.5738E-13   0.000      0.3875E-14   0.000      0.2743E-18  0.6509E-16  0.4546E-18  0.2006E-14 -0.1941E-14   3.223       50.00       1.000    
          42   4.788      0.5335      0.3105E+25  0.1405E+25  0.6263E+25  0.2979E+25  0.7286E-13  0.5664E-13   0.000      0.3787E-14   0.000      0.2547E-18  0.7118E-16  0.4823E-18  0.2091E-14 -0.2020E-14   3.223       46.00       1.000    
          43   4.974      0.5654      0.3140E+25  0.1491E+25  0.6233E+25  0.3027E+25  0.7146E-13  0.5601E-13   0.000      0.3699E-14   0.000      0.2368E-18  0.7768E-16  0.5096E-18  0.2168E-14 -0.2091E-14   3.223       43.00       1.000    
          44   5.168      0.5986      0.3173E+25  0.1580E+25  0.6196E+25  0.3072E+25  0.7005E-13  0.5544E-13   0.000      0.3611E-14   0.000      0.2203E-18  0.8472E-16  0.5389E-18  0.2246E-14 -0.2162E-14   3.839       78.00       2.000    
          45   5.369      0.6291      0.3196E+25  0.1660E+25  0.6155E+25  0.3114E+25  0.6882E-13  0.5504E-13   0.000      0.3525E-14   0.000      0.2054E-18  0.9211E-16  0.5654E-18  0.2309E-14 -0.2217E-14   3.839       35.00       1.000    
          46   5.578      0.6592      0.3214E+25  0.1738E+25  0.6110E+25  0.3154E+25  0.6767E-13  0.5473E-13   0.000      0.3438E-14   0.000      0.1918E-18  0.9998E-16  0.5917E-18  0.2366E-14 -0.2266E-14   3.839       34.00       1.000    
          47   5.795      0.6888      0.3227E+25  0.1813E+25  0.6060E+25  0.3191E+25  0.6658E-13  0.5451E-13   0.000      0.3353E-14   0.000      0.1793E-18  0.1084E-15  0.6179E-18  0.2417E-14 -0.2309E-14   3.839       32.00       1.000    
          48   6.021      0.7179      0.3235E+25  0.1886E+25  0.6007E+25  0.3227E+25  0.6557E-13  0.5437E-13   0.000      0.3269E-14   0.000      0.1678E-18  0.1173E-15  0.6441E-18  0.2463E-14 -0.2347E-14   3.839       31.00       1.000    
          49   6.255      0.7466      0.3239E+25  0.1957E+25  0.5950E+25  0.3262E+25  0.6462E-13  0.5431E-13   0.000      0.3185E-14   0.000      0.1572E-18  0.1267E-15  0.6703E-18  0.2504E-14 -0.2378E-14   3.839       29.00       1.000    
          50   6.499      0.7749      0.3238E+25  0.2026E+25  0.5890E+25  0.3294E+25  0.6375E-13  0.5431E-13   0.000      0.3103E-14   0.000      0.1475E-18  0.1368E-15  0.6966E-18  0.2541E-14 -0.2405E-14   3.839       28.00       1.000    
          51   6.752      0.8028      0.3234E+25  0.2092E+25  0.5827E+25  0.3326E+25  0.6293E-13  0.5439E-13   0.000      0.3022E-14   0.000      0.1384E-18  0.1474E-15  0.7229E-18  0.2573E-14 -0.2426E-14   3.839       27.00       1.000    
          52   7.014      0.8304      0.3226E+25  0.2156E+25  0.5762E+25  0.3355E+25  0.6218E-13  0.5453E-13   0.000      0.2943E-14   0.000      0.1301E-18  0.1587E-15  0.7494E-18  0.2602E-14 -0.2444E-14   3.839       26.00       1.000    
          53   7.288      0.8575      0.3214E+25  0.2217E+25  0.5695E+25  0.3384E+25  0.6149E-13  0.5473E-13   0.000      0.2865E-14   0.000      0.1223E-18  0.1707E-15  0.7761E-18  0.2627E-14 -0.2457E-14   3.839       25.00       1.000    
          54   7.571      0.8843      0.3198E+25  0.2277E+25  0.5625E+25  0.3411E+25  0.6086E-13  0.5499E-13   0.000      0.2789E-14   0.000      0.1152E-18  0.1833E-15  0.8030E-18  0.2649E-14 -0.2466E-14   3.839       24.00       1.000    
          55   7.866      0.9107      0.3180E+25  0.2334E+25  0.5553E+25  0.3437E+25  0.6028E-13  0.5531E-13   0.000      0.2714E-14   0.000      0.1085E-18  0.1968E-15  0.8301E-18  0.2668E-14 -0.2472E-14   3.839       23.00       1.000    
          56   8.172      0.9368      0.3158E+25  0.2388E+25  0.5480E+25  0.3462E+25  0.5976E-13  0.5569E-13   0.000      0.2642E-14   0.000      0.1024E-18  0.2109E-15  0.8576E-18  0.2685E-14 -0.2475E-14   3.839       23.00       1.000    
          57   8.490      0.9634      0.3135E+25  0.2443E+25  0.5405E+25  0.3486E+25  0.5926E-13  0.5610E-13   0.000      0.2571E-14   0.000      0.9660E-19  0.2260E-15  0.8863E-18  0.2702E-14 -0.2477E-14   4.572       43.00       2.000    
          58   8.821      0.9886      0.3108E+25  0.2493E+25  0.5329E+25  0.3508E+25  0.5885E-13  0.5659E-13   0.000      0.2503E-14   0.000      0.9129E-19  0.2418E-15  0.9143E-18  0.2715E-14 -0.2474E-14   4.572       20.00       1.000    
          59   9.165       1.013      0.3078E+25  0.2541E+25  0.5251E+25  0.3529E+25  0.5849E-13  0.5713E-13   0.000      0.2436E-14   0.000      0.8636E-19  0.2586E-15  0.9428E-18  0.2727E-14 -0.2469E-14   4.572       19.00       1.000    
          60   9.521       1.038      0.3047E+25  0.2587E+25  0.5172E+25  0.3549E+25  0.5818E-13  0.5772E-13   0.000      0.2372E-14   0.000      0.8177E-19  0.2762E-15  0.9716E-18  0.2738E-14 -0.2462E-14   4.572       19.00       1.000    
          61   9.892       1.062      0.3013E+25  0.2630E+25  0.5093E+25  0.3567E+25  0.5792E-13  0.5837E-13   0.000      0.2310E-14   0.000      0.7751E-19  0.2949E-15  0.1001E-17  0.2748E-14 -0.2454E-14   4.572       18.00       1.000    
          62   10.28       1.086      0.2978E+25  0.2671E+25  0.5012E+25  0.3585E+25  0.5770E-13  0.5905E-13   0.000      0.2251E-14   0.000      0.7354E-19  0.3146E-15  0.1031E-17  0.2758E-14 -0.2444E-14   4.572       18.00       1.000    
          63   10.68       1.109      0.2942E+25  0.2710E+25  0.4932E+25  0.3601E+25  0.5752E-13  0.5979E-13   0.000      0.2194E-14   0.000      0.6985E-19  0.3354E-15  0.1061E-17  0.2768E-14 -0.2434E-14   4.572       18.00       1.000    
          64   11.09       1.132      0.2904E+25  0.2747E+25  0.4850E+25  0.3616E+25  0.5739E-13  0.6057E-13   0.000      0.2139E-14   0.000      0.6642E-19  0.3573E-15  0.1092E-17  0.2779E-14 -0.2423E-14   4.572       17.00       1.000    
          65   11.52       1.155      0.2865E+25  0.2782E+25  0.4769E+25  0.3630E+25  0.5730E-13  0.6140E-13   0.000      0.2087E-14   0.000      0.6322E-19  0.3805E-15  0.1123E-17  0.2790E-14 -0.2411E-14   4.572       17.00       1.000    
          66   11.97       1.178      0.2826E+25  0.2816E+25  0.4688E+25  0.3642E+25  0.5723E-13  0.6225E-13   0.000      0.2038E-14   0.000      0.6023E-19  0.4051E-15  0.1155E-17  0.2804E-14 -0.2400E-14   5.445       32.00       2.000    
          67   12.44       1.199      0.2785E+25  0.2846E+25  0.4606E+25  0.3653E+25  0.5722E-13  0.6316E-13   0.000      0.1991E-14   0.000      0.5747E-19  0.4310E-15  0.1188E-17  0.2818E-14 -0.2388E-14   5.445       15.00       1.000    
          68   12.92       1.221      0.2744E+25  0.2875E+25  0.4525E+25  0.3663E+25  0.5724E-13  0.6410E-13   0.000      0.1946E-14   0.000      0.5489E-19  0.4583E-15  0.1221E-17  0.2833E-14 -0.2376E-14   5.445       15.00       1.000    
          69   13.43       1.243      0.2703E+25  0.2905E+25  0.4445E+25  0.3672E+25  0.5725E-13  0.6507E-13   0.000      0.1904E-14   0.000      0.5247E-19  0.4873E-15  0.1256E-17  0.2854E-14 -0.2368E-14   6.485       40.00       2.000    
