BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
CO2                                                             
cross_section_CO2_IST-Lisbon.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction CO2                          1.000    
         169   340.9       3.000       66.70    
         170   353.0       3.000       66.70    
         171   365.4       3.000       66.70    
         172   378.3       3.000       66.70    
         173   391.7       3.000       66.70    
         174   405.5       3.000       78.93    
         175   419.9       3.000       78.93    
         176   434.7       3.000       78.93    
         177   450.1       3.000       78.93    
         178   466.0       3.000       78.93    
         179   482.4       3.000       78.93    
         180   499.5       3.000       78.93    
         181   517.1       3.000       93.39    
         182   535.4       3.000       93.39    
         183   554.3       3.000       93.39    
         184   573.8       3.000       93.39    
         185   594.1       3.000       93.39    
         186   615.1       3.000       93.39    
         187   636.8       3.000       110.5    
         188   659.3       3.000       110.5    
         189   682.6       3.000       110.5    
         190   706.7       3.000       110.5    
         191   731.7       3.000       110.5    
         192   757.5       3.000       110.5    
         193   784.3       3.000       110.5    
         194   812.0       3.000       130.7    
         195   840.7       3.000       130.7    
         196   870.4       3.000       130.7    
         197   901.1       3.000       130.7    
         198   932.9       3.000       130.7    
         199   965.9       3.000       154.6    
         200   1000.       3.000       154.6    
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. D*N (1/m/s)                              
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A17    Total attachment freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A19    Townsend attach. coef. eta/N (m2)                               
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A17         A18         A19         A20         A21         A22         A23         A27         A28         A29    
           1   1.000      0.2990E-01  0.1727E+25  0.3436E+23  0.2902E+25  0.5207E+23  0.1027E-12  0.1018E-12   0.000       0.000       0.000       0.000      0.1727E-17 -0.2256E-19  0.1749E-17   0.000      0.6211       4.000       1.000    
           2   1.035      0.3004E-01  0.1727E+25  0.3452E+23  0.2903E+25  0.5226E+23  0.1027E-12  0.1018E-12   0.000       0.000       0.000       0.000      0.1851E-17 -0.2219E-19  0.1873E-17   0.000      0.6211       4.000       1.000    
           3   1.072      0.3018E-01  0.1727E+25  0.3469E+23  0.2903E+25  0.5247E+23  0.1027E-12  0.1018E-12   0.000       0.000       0.000       0.000      0.1985E-17 -0.2180E-19  0.2006E-17   0.000      0.6211       4.000       1.000    
           4   1.110      0.3033E-01  0.1728E+25  0.3486E+23  0.2904E+25  0.5268E+23  0.1027E-12  0.1018E-12   0.000       0.000       0.000       0.000      0.2128E-17 -0.2140E-19  0.2148E-17   0.000      0.6211       4.000       1.000    
           5   1.149      0.3048E-01  0.1728E+25  0.3504E+23  0.2905E+25  0.5289E+23  0.1027E-12  0.1018E-12   0.000       0.000       0.000       0.000      0.2281E-17 -0.2099E-19  0.2301E-17   0.000      0.6211       4.000       1.000    
           6   1.190      0.3064E-01  0.1728E+25  0.3523E+23  0.2906E+25  0.5312E+23  0.1027E-12  0.1018E-12   0.000       0.000       0.000       0.000      0.2446E-17 -0.2057E-19  0.2465E-17   0.000      0.6211       4.000       1.000    
           7   1.232      0.3081E-01  0.1729E+25  0.3542E+23  0.2907E+25  0.5336E+23  0.1027E-12  0.1017E-12   0.000       0.000       0.000       0.000      0.2622E-17 -0.2013E-19  0.2641E-17   0.000      0.6211       4.000       1.000    
           8   1.275      0.3098E-01  0.1729E+25  0.3562E+23  0.2908E+25  0.5361E+23  0.1027E-12  0.1017E-12   0.000       0.000       0.000       0.000      0.2811E-17 -0.1967E-19  0.2830E-17   0.000      0.6211       4.000       1.000    
           9   1.320      0.3115E-01  0.1729E+25  0.3582E+23  0.2909E+25  0.5387E+23  0.1027E-12  0.1017E-12   0.000       0.000       0.000       0.000      0.3013E-17 -0.1920E-19  0.3032E-17   0.000      0.6211       4.000       1.000    
          10   1.367      0.3134E-01  0.1730E+25  0.3604E+23  0.2910E+25  0.5414E+23  0.1027E-12  0.1017E-12   0.000       0.000       0.000       0.000      0.3231E-17 -0.1872E-19  0.3249E-17   0.000      0.6211       4.000       1.000    
          11   1.415      0.3152E-01  0.1730E+25  0.3626E+23  0.2911E+25  0.5442E+23  0.1027E-12  0.1017E-12   0.000       0.000       0.000       0.000      0.3464E-17 -0.1822E-19  0.3481E-17   0.000      0.6211       4.000       1.000    
          12   1.465      0.3172E-01  0.1730E+25  0.3649E+23  0.2912E+25  0.5472E+23  0.1027E-12  0.1016E-12   0.000       0.000       0.000       0.000      0.3714E-17 -0.1770E-19  0.3731E-17   0.000      0.6211       4.000       1.000    
          13   1.517      0.3192E-01  0.1731E+25  0.3673E+23  0.2913E+25  0.5503E+23  0.1027E-12  0.1016E-12   0.000       0.000       0.000       0.000      0.3982E-17 -0.1717E-19  0.3998E-17   0.000      0.6211       4.000       1.000    
          14   1.570      0.3213E-01  0.1731E+25  0.3697E+23  0.2915E+25  0.5535E+23  0.1027E-12  0.1016E-12   0.000       0.000       0.000       0.000      0.4269E-17 -0.1662E-19  0.4285E-17   0.000      0.6211       4.000       1.000    
          15   1.626      0.3235E-01  0.1732E+25  0.3723E+23  0.2916E+25  0.5569E+23  0.1026E-12  0.1016E-12   0.000       0.000       0.000       0.000      0.4577E-17 -0.1605E-19  0.4593E-17   0.000      0.6211       4.000       1.000    
          16   1.683      0.3257E-01  0.1732E+25  0.3749E+23  0.2918E+25  0.5604E+23  0.1026E-12  0.1015E-12   0.000       0.000       0.000       0.000      0.4908E-17 -0.1546E-19  0.4923E-17   0.000      0.6211       4.000       1.000    
          17   1.743      0.3280E-01  0.1733E+25  0.3776E+23  0.2919E+25  0.5641E+23  0.1026E-12  0.1015E-12   0.000       0.000       0.000       0.000      0.5263E-17 -0.1485E-19  0.5277E-17   0.000      0.6211       4.000       1.000    
          18   1.804      0.3304E-01  0.1734E+25  0.3805E+23  0.2921E+25  0.5680E+23  0.1026E-12  0.1015E-12   0.000       0.000       0.000       0.000      0.5643E-17 -0.1422E-19  0.5656E-17   0.000      0.6211       4.000       1.000    
          19   1.868      0.3329E-01  0.1734E+25  0.3834E+23  0.2922E+25  0.5721E+23  0.1026E-12  0.1014E-12   0.000       0.000       0.000       0.000      0.6051E-17 -0.1357E-19  0.6063E-17   0.000      0.6211       4.000       1.000    
          20   1.934      0.3355E-01  0.1735E+25  0.3865E+23  0.2924E+25  0.5764E+23  0.1026E-12  0.1014E-12   0.000       0.000       0.000       0.000      0.6488E-17 -0.1289E-19  0.6500E-17   0.000      0.6211       4.000       1.000    
          21   2.002      0.3381E-01  0.1736E+25  0.3897E+23  0.2926E+25  0.5809E+23  0.1026E-12  0.1013E-12   0.000       0.000       0.000       0.000      0.6958E-17 -0.1219E-19  0.6969E-17   0.000      0.6211       4.000       1.000    
          22   2.073      0.3409E-01  0.1736E+25  0.3930E+23  0.2928E+25  0.5856E+23  0.1026E-12  0.1013E-12   0.000       0.000       0.000       0.000      0.7461E-17 -0.1147E-19  0.7471E-17   0.000      0.6211       4.000       1.000    
          23   2.146      0.3437E-01  0.1737E+25  0.3964E+23  0.2930E+25  0.5906E+23  0.1026E-12  0.1013E-12   0.000       0.000       0.000       0.000      0.8001E-17 -0.1072E-19  0.8011E-17   0.000      0.6211       4.000       1.000    
          24   2.222      0.3467E-01  0.1738E+25  0.3999E+23  0.2933E+25  0.5958E+23  0.1026E-12  0.1012E-12   0.000       0.000       0.000       0.000      0.8580E-17 -0.9945E-20  0.8589E-17   0.000      0.6211       4.000       1.000    
