BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_air_phelps.txt
--------------------------------------------------
O2                                                              
cross_section_air_phelps.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction N2                          0.8000    
A22    Mole fraction O2                          0.2000    
          R#      A1         A16         A17    
         168   329.3       3.000       90.54    
         169   340.9       3.000       90.54    
         170   353.0       3.000       107.1    
         171   365.4       3.000       107.1    
         172   378.3       3.000       107.1    
         173   391.7       3.000       107.1    
         174   405.5       3.000       107.1    
         175   419.9       3.000       126.7    
         176   434.7       3.000       126.7    
         177   450.1       3.000       126.7    
         178   466.0       3.000       126.7    
         179   482.4       3.000       149.9    
         180   499.5       3.000       149.9    
         181   517.1       3.000       149.9    
         182   535.4       3.000       149.9    
         183   554.3       3.000       149.9    
         184   573.8       3.000       177.2    
         185   594.1       3.000       177.2    
         186   615.1       3.000       177.2    
         187   636.8       3.000       177.2    
         188   659.3       3.000       209.6    
         189   682.6       3.000       209.6    
         190   706.7       3.000       209.6    
         191   731.7       3.000       209.6    
         192   757.5       3.000       247.8    
         193   784.3       3.000       247.8    
         194   812.0       3.000       247.8    
         195   840.7       3.000       247.8    
         196   870.4       3.000       293.1    
         197   901.1       3.000       293.1    
         198   932.9       3.000       293.1    
         199   965.9       3.000       293.1    
         200   1000.       3.000       346.5    
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. D*N (1/m/s)                              
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A17    Total attachment freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A19    Townsend attach. coef. eta/N (m2)                               
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A17         A18         A19         A20         A21         A22         A23         A27         A28         A29    
           1   1.000      0.2349      0.6103E+25  0.1294E+25  0.9169E+25  0.1365E+25  0.2037E-13  0.2882E-13   0.000      0.4899E-36   0.000      0.8027E-40  0.6103E-17  0.1893E-18  0.5914E-17 -0.1151E-36   2.044       8.000       2.000    
           2   1.035      0.2389      0.6032E+25  0.1297E+25  0.9061E+25  0.1371E+25  0.2064E-13  0.2916E-13   0.000      0.4830E-36   0.000      0.7734E-40  0.6465E-17  0.1960E-18  0.6269E-17 -0.1154E-36   2.044       4.000       1.000    
           3   1.072      0.2430      0.5961E+25  0.1301E+25  0.8952E+25  0.1377E+25  0.2091E-13  0.2951E-13   0.000      0.4761E-36   0.000      0.7452E-40  0.6849E-17  0.2031E-18  0.6645E-17 -0.1157E-36   2.044       4.000       1.000    
           4   1.110      0.2473      0.5890E+25  0.1305E+25  0.8843E+25  0.1384E+25  0.2119E-13  0.2986E-13   0.000      0.4692E-36   0.000      0.7178E-40  0.7254E-17  0.2105E-18  0.7043E-17 -0.1160E-36   2.044       4.000       1.000    
           5   1.149      0.2518      0.5820E+25  0.1310E+25  0.8733E+25  0.1391E+25  0.2148E-13  0.3022E-13   0.000      0.4623E-36   0.000      0.6914E-40  0.7682E-17  0.2185E-18  0.7464E-17 -0.1164E-36   2.044       4.000       1.000    
           6   1.190      0.2564      0.5749E+25  0.1314E+25  0.8622E+25  0.1399E+25  0.2178E-13  0.3059E-13   0.000      0.4554E-36   0.000      0.6658E-40  0.8135E-17  0.2269E-18  0.7908E-17 -0.1168E-36   2.044       4.000       1.000    
           7   1.232      0.2613      0.5679E+25  0.1319E+25  0.8510E+25  0.1407E+25  0.2209E-13  0.3097E-13   0.000      0.4484E-36   0.000      0.6411E-40  0.8613E-17  0.2358E-18  0.8378E-17 -0.1172E-36   2.044       4.000       1.000    
           8   1.275      0.2665      0.5609E+25  0.1324E+25  0.8397E+25  0.1415E+25  0.2241E-13  0.3136E-13   0.000      0.4414E-36   0.000      0.6173E-40  0.9119E-17  0.2454E-18  0.8873E-17 -0.1176E-36   2.044       4.000       1.000    
           9   1.320      0.2719      0.5539E+25  0.1329E+25  0.8283E+25  0.1424E+25  0.2274E-13  0.3176E-13   0.000      0.4344E-36   0.000      0.5942E-40  0.9652E-17  0.2556E-18  0.9396E-17 -0.1181E-36   2.044       4.000       1.000    
          10   1.367      0.2776      0.5468E+25  0.1335E+25  0.8168E+25  0.1434E+25  0.2308E-13  0.3216E-13   0.000      0.4274E-36   0.000      0.5719E-40  0.1021E-16  0.2665E-18  0.9948E-17 -0.1186E-36   2.044       4.000       1.000    
          11   1.415      0.2835      0.5398E+25  0.1340E+25  0.8051E+25  0.1444E+25  0.2344E-13  0.3259E-13   0.000      0.4203E-36   0.000      0.5504E-40  0.1081E-16  0.2782E-18  0.1053E-16 -0.1192E-36   2.044       4.000       1.000    
          12   1.465      0.2898      0.5327E+25  0.1347E+25  0.7932E+25  0.1455E+25  0.2380E-13  0.3302E-13   0.000      0.4132E-36   0.000      0.5295E-40  0.1143E-16  0.2907E-18  0.1114E-16 -0.1198E-36   2.044       4.000       1.000    
          13   1.517      0.2965      0.5256E+25  0.1353E+25  0.7812E+25  0.1466E+25  0.2419E-13  0.3346E-13   0.000      0.4061E-36   0.000      0.5094E-40  0.1209E-16  0.3042E-18  0.1179E-16 -0.1204E-36   2.044       4.000       1.000    
          14   1.570      0.3035      0.5184E+25  0.1360E+25  0.7690E+25  0.1478E+25  0.2459E-13  0.3393E-13   0.000      0.3989E-36   0.000      0.4899E-40  0.1278E-16  0.3186E-18  0.1247E-16 -0.1210E-36   2.044       4.000       1.000    
