BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O2                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O3                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O                                                               
cross_section_Baohong_phelps.txt
--------------------------------------------------
N                                                               
cross_section_Baohong_phelps.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction N2                          0.8000    
A22    Mole fraction O2                          0.2000    
A23    Mole fraction O3                           0.000    
A24    Mole fraction O                            0.000    
A25    Mole fraction N                            0.000    
          R#      A1         A16         A17    
         121  0.3987E-01   3.000      0.7398    
         122  0.4033E-01   3.000      0.7398    
         123  0.4080E-01   3.000      0.7398    
         124  0.4127E-01   3.000      0.7398    
         125  0.4175E-01   3.000      0.7398    
         126  0.4223E-01   3.000      0.7398    
         127  0.4272E-01   3.000      0.7398    
         128  0.4322E-01   3.000      0.7398    
         129  0.4372E-01   3.000      0.7398    
         130  0.4422E-01   3.000      0.7398    
         131  0.4474E-01   3.000      0.7398    
         132  0.4525E-01   3.000      0.7398    
         133  0.4578E-01   3.000      0.7398    
         134  0.4631E-01   3.000      0.7398    
         135  0.4685E-01   3.000      0.7398    
         136  0.4739E-01   3.000      0.7398    
         137  0.4794E-01   3.000      0.7398    
         138  0.4849E-01   3.000      0.7398    
         139  0.4906E-01   3.000      0.7398    
         140  0.4962E-01   3.000      0.7398    
         141  0.5020E-01   3.000      0.7398    
         142  0.5078E-01   3.000      0.7398    
         143  0.5137E-01   3.000      0.7398    
         144  0.5197E-01   3.000      0.7398    
         145  0.5257E-01   3.000      0.7398    
         146  0.5318E-01   3.000      0.7398    
         147  0.5379E-01   3.000      0.7398    
         148  0.5442E-01   3.000      0.7398    
         149  0.5505E-01   3.000      0.7398    
         150  0.5569E-01   3.000      0.7398    
         151  0.5633E-01   3.000      0.7398    
         152  0.5698E-01   3.000      0.7398    
         153  0.5764E-01   3.000      0.7398    
         154  0.5831E-01   3.000      0.7398    
         155  0.5899E-01   3.000      0.7398    
         156  0.5967E-01   3.000      0.7398    
         157  0.6036E-01   3.000      0.7398    
         158  0.6106E-01   3.000      0.7398    
         159  0.6177E-01   3.000      0.7398    
         160  0.6249E-01   3.000      0.7398    
         161  0.6321E-01   3.000      0.7398    
         162  0.6394E-01   3.000      0.7398    
         163  0.6469E-01   3.000      0.7398    
         164  0.6544E-01   3.000      0.7398    
         165  0.6619E-01   3.000      0.7398    
         166  0.6696E-01   3.000      0.7398    
         167  0.6774E-01   3.000      0.7398    
         168  0.6852E-01   3.000      0.7398    
         169  0.6932E-01   3.000      0.7398    
         170  0.7012E-01   3.000      0.7398    
         171  0.7093E-01   3.000      0.7398    
         172  0.7176E-01   3.000      0.7398    
         173  0.7259E-01   3.000      0.7398    
         174  0.7343E-01   3.000      0.7398    
         175  0.7428E-01   3.000      0.7398    
         176  0.7514E-01   3.000      0.7398    
         177  0.7601E-01   3.000      0.7398    
         178  0.7689E-01   3.000      0.7398    
         179  0.7778E-01   3.000      0.7398    
         180  0.7869E-01   3.000      0.7398    
         181  0.7960E-01   3.000      0.7398    
         182  0.8052E-01   3.000      0.7398    
         183  0.8145E-01   3.000      0.7398    
         184  0.8240E-01   3.000      0.7398    
         185  0.8335E-01   3.000      0.7398    
         186  0.8432E-01   3.000      0.7398    
         187  0.8530E-01   3.000      0.7398    
         188  0.8629E-01   3.000      0.7398    
         189  0.8729E-01   3.000      0.7398    
         190  0.8830E-01   3.000      0.7398    
         191  0.8932E-01   3.000      0.7398    
         192  0.9036E-01   3.000      0.7398    
         193  0.9140E-01   3.000      0.7398    
         194  0.9246E-01   3.000      0.7398    
         195  0.9353E-01   3.000      0.7398    
         196  0.9462E-01   3.000      0.8811    
         197  0.9572E-01   3.000      0.8811    
         198  0.9682E-01   3.000      0.8811    
         199  0.9795E-01   3.000      0.8811    
         200  0.9908E-01   3.000      0.8811    
         201  0.1002       3.000      0.8811    
         202  0.1014       3.000      0.8811    
         203  0.1026       3.000      0.8811    
         204  0.1038       3.000      0.8811    
         205  0.1050       3.000      0.8811    
         206  0.1062       3.000      0.8811    
         207  0.1074       3.000      0.8811    
         208  0.1087       3.000      0.8811    
         209  0.1099       3.000      0.8811    
         210  0.1112       3.000      0.8811    
         211  0.1125       3.000      0.8811    
         212  0.1138       3.000      0.8811    
         213  0.1151       3.000      0.8811    
         214  0.1164       3.000      0.8811    
         215  0.1178       3.000      0.8811    
         216  0.1191       3.000      0.8811    
         217  0.1205       3.000      0.8811    
         218  0.1219       3.000      0.8811    
         219  0.1233       3.000      0.8811    
         220  0.1248       3.000      0.8811    
         221  0.1262       3.000      0.8811    
         222  0.1277       3.000      0.8811    
         223  0.1292       3.000      0.8811    
